a,budget,seed,n_checkpoints,init_distance,min_distance,min_at_step,final_distance,final_solved
1.4,16000,38,14840,5.351986103148982,5.27453116837914,87,121.34090261405467,True
1.6,8000,18,7128,5.394607543724868,4.623832747973599,200,51.067428482206296,True
1.4,32000,17,31980,4.434588164087878,4.3476475604222635,31,4.750199579458338,False
1.6,2000,36,1021,5.382535565716445,5.084304457736854,511,19.13637757305127,True
1.5,2000,36,825,5.380915922568831,4.956021657065449,511,19.52954360529727,True
1.3,2000,10,35,5.211959546063059,4.796212358574369,107,19.45508719705301,False
1.5,4000,30,2790,5.172243895558839,4.689489760588005,87,30.265702551216638,True
1.4,32000,37,31828,4.324273864238637,4.289033094705773,24,229.7227149591466,True
1.5,8000,7,7999,5.619467612149358,5.612920112234968,13,58.17863246789061,True
1.5,16000,5,14908,5.932940404774534,5.932940404774534,1,108.4681927441742,True
1.6,8000,38,7435,5.3606336184093655,5.166633719503062,79,54.84646335055436,True
1.6,8000,19,7286,5.6655547199185055,5.6655547199185055,1,53.09479823566544,True
1.5,8000,17,7981,4.456801432829785,4.365867269739605,31,4.414761515105516,False
1.5,8000,12,7180,5.538230353978742,5.302187731426052,50,57.52269271286968,True
1.4,16000,33,14297,4.896461239984817,4.702779674165396,813,116.6771679212571,True
1.6,32000,7,31999,5.621381486268498,5.612793344429244,14,203.49122663341961,True
1.35,16000,22,13169,4.253047421285911,4.253047421285911,1,111.83166969325856,True
1.45,32000,34,30676,5.490428886265766,5.487735959382991,4,226.17632238876374,True
1.35,2000,16,1749,4.46763104052617,4.46763104052617,1,5.263826466661565,False
1.35,8000,5,6121,5.913375602906015,5.913375602906015,1,62.723125666608986,True
1.3,4000,35,450,5.150200731630284,5.109899569488107,30,23.04918385551303,False
1.4,8000,36,6441,5.3702532627791735,4.847368204819381,503,62.75902658878885,True
1.35,4000,10,2417,5.224135180188229,4.799906105412981,107,35.10273999692078,True
1.5,8000,5,6909,5.932940404774534,5.932940404774534,1,55.98129007065185,True
1.45,16000,3,14270,5.426096735200866,5.426096735200866,1,107.80151491026425,True
1.35,2000,27,35,5.425246783573651,5.409218697761468,7,14.182143683202542,False
1.35,32000,6,31975,4.93987480827862,4.93987480827862,1,230.28928733066016,True
1.6,32000,38,31432,5.3606336184093655,5.154075230201536,91,207.27360540500382,True
1.5,2000,30,792,5.172243895558839,4.688661324720472,88,17.215858108528113,True
