a,seed,mult,placed_at,placed,solved,gap_final,w2_final,R_final,w2_at_start
1.3,25,1.0,,False,False,-0.010663407145743403,26.199960544328707,1.1237569383344144,0.41538354432870667
1.3,26,1.0,,False,False,-0.0019335936687999884,26.21207388671599,1.1242764983746327,0.42749688671598995
1.3,27,1.0,2500.0,True,True,0.0812138983446733,26.6734291308747,1.1440647402608422,0.8888521308746964
1.3,28,1.0,3000.0,True,True,0.08245183488920294,25.94672002628597,1.1128950597931688,0.16214302628596816
1.3,29,1.0,,False,False,-0.002167775290593501,26.112437966053843,1.1200029592232288,0.32786096605384013
1.3,30,1.0,2550.0,True,True,0.08219209778058412,26.771816904469127,1.1482847444488997,0.9872399044691241
1.3,31,1.0,2300.0,True,True,0.08175313706236143,27.074067316823143,1.1612487333611192,1.2894903168231413
1.3,32,1.0,2700.0,True,True,0.08185769088235606,26.634559922145502,1.1423975796205388,0.8499829221454999
1.3,33,1.0,,False,False,-0.009569086584701876,26.296083413146135,1.1278797972441992,0.5115064131461318
1.3,34,1.0,2200.0,True,True,0.08126493171882432,26.71751069651026,1.1459554669721206,0.932933696510256
1.3,35,1.0,2800.0,True,True,0.08203653550193701,26.22734529349888,1.1249315126942676,0.44276829349888097
1.3,36,1.0,,False,False,-0.015719973610207716,26.346721210600425,1.1300517309055096,0.5621442106004227
1.3,37,1.0,,False,False,-0.003980835110455997,25.970924393806342,1.1139332226519636,0.1863473938063396
1.3,38,1.0,2250.0,True,True,0.08161309488646973,27.662746595984665,1.186498100561203,1.8781695959846627
1.3,39,1.0,2350.0,True,True,0.0816455358109458,26.946477124066924,1.1557761921284468,1.1619001240669213
1.3,0,2.0,,False,False,-0.005098276180501072,51.93968028559022,2.2277734348892966,0.3705262855902129
1.3,1,2.0,2350.0,True,False,-0.14186918845737084,52.46606628651924,2.2503509467823113,0.8969122865192406
1.3,2,2.0,1450.0,True,False,-0.07128177928804824,52.83571345317421,2.266205687004586,1.2665594531742057
1.3,3,2.0,,False,False,-0.1836359761423263,52.393163119910675,2.2472240169091036,0.824009119910668
1.3,4,2.0,,False,False,-0.0006386772297758518,52.243966803985295,2.240824755547186,0.674812803985288
1.3,5,2.0,1850.0,True,False,-0.11708752547857015,52.680620692499616,2.2595535179832384,1.1114666924996148
1.3,6,2.0,,False,False,-0.001555292276658407,52.34920089488409,2.245338408901616,0.780046894884085
1.3,7,2.0,1500.0,True,False,-0.08122299714500691,53.075046579496835,2.2764710559475376,1.5058925794968299
1.3,8,2.0,,False,False,-0.00225450826090293,52.21984911308965,2.239790310383243,0.6506951130896442
1.3,9,2.0,2450.0,True,False,-0.15154923606739823,52.572575728542375,2.254919301924263,1.0034217285423708
1.3,10,2.0,1650.0,True,False,-0.10789637520550155,52.88396023975228,2.268275066501464,1.3148062397522715
1.3,11,2.0,,False,False,-0.003148650845878516,52.03984122832737,2.2320694930516956,0.47068722832736243
1.3,12,2.0,1550.0,True,False,-0.11402947716476186,52.8563480767526,2.267090738009793,1.2871940767525998
1.3,13,2.0,,False,False,-0.004048993695421488,51.873534705610496,2.2249363483861853,0.30438070561049335
1.3,14,2.0,,False,False,-0.0012428473569693448,52.072280672515454,2.2334608711196275,0.5031266725154472
1.3,15,2.0,,False,False,-0.00030921616577089545,51.85126417386609,2.223981130742791,0.2821101738660895
1.3,16,2.0,,False,False,-0.0005481922427928478,51.90933432931225,2.2264718497643856,0.34018032931224856
1.3,17,2.0,,False,False,-3.484333475239042e-05,52.42041274788871,2.2483927957114815,0.8512587478887047
1.3,18,2.0,2350.0,True,False,-0.13912694879459186,52.48795867681979,2.251289945352761,0.9188046768197845
1.3,19,2.0,1600.0,True,False,-0.0984492345407082,52.71140467900128,2.260873890903736,1.1422506790012714
1.3,20,2.0,,False,False,-0.18495173359843786,52.18720277881724,2.238390058478751,0.6180487788172362
1.3,21,2.0,,False,False,-0.002534650875549646,52.41490281265842,2.248156466044712,0.8457488126584117
1.3,22,2.0,,False,False,-0.0013882676171087954,51.61210780274696,2.213723343104627,0.04295380274695469
1.3,23,2.0,,False,False,-7.127992894053435e-05,51.84587807196403,2.2237501124795087,0.27672407196402454
1.3,24,2.0,,False,False,-0.00528723282058515,52.06115421013159,2.232983639893198,0.49200021013158257
1.3,25,2.0,,False,False,-0.005764283275487241,51.98453754432871,2.2296974322806955,0.41538354432870667
1.3,26,2.0,,False,False,-0.0010629549401093528,51.996650886716,2.230216992320914,0.42749688671598995
1.3,27,2.0,,False,False,-0.20909847462179654,52.4580061308747,2.250005234207123,0.8888521308746964
1.3,28,2.0,2850.0,True,False,-0.15944027039994424,51.73129702628597,2.2188355537394497,0.16214302628596816
1.3,29,2.0,,False,False,-0.002347479544278471,51.897014966053845,2.22594345316951,0.32786096605384013
1.3,30,2.0,2650.0,True,False,-0.15862267989771794,52.556393904469125,2.2542252383951804,0.9872399044691241
1.3,31,2.0,1700.0,True,False,-0.10933250837400577,52.858644316823145,2.2671892273074,1.2894903168231413
1.3,32,2.0,,False,False,-0.16641568502472515,52.419136922145505,2.2483380735668197,0.8499829221454999
1.3,33,2.0,,False,False,-0.0036326799504221505,52.080660413146134,2.23382029119048,0.5115064131461318
1.3,34,2.0,2100.0,True,False,-0.15093577004224823,52.50208769651026,2.2518959609184015,0.932933696510256
1.3,35,2.0,,False,False,-0.22216322322473747,52.011922293498884,2.2308720066405487,0.44276829349888097
1.3,36,2.0,,False,False,-0.0052883257747673995,52.13129821060043,2.2359922248517905,0.5621442106004227
1.3,37,2.0,,False,False,-0.0023162233718370135,51.75550139380634,2.2198737165982445,0.1863473938063396
1.3,38,2.0,1650.0,True,False,-0.10616319439177158,53.44732359598467,2.292438594507484,1.8781695959846627
1.3,39,2.0,1600.0,True,False,-0.08045071118195679,52.73105412406693,2.261716686074728,1.1619001240669213
1.3,0,4.0,,False,False,-0.00053548751369341,103.50883428559023,4.439654422781858,0.3705262855902129
1.3,1,4.0,,False,False,-0.970332917606922,104.03522028651925,4.462231934674874,0.8969122865192406
1.3,2,4.0,,False,False,-0.9584383353159374,104.40486745317422,4.478086674897148,1.2665594531742057
1.3,3,4.0,,False,False,-1.0120952616504444,103.96231711991068,4.459105004801666,0.824009119910668
1.3,4,4.0,,False,False,-0.001963340546861363,103.8131208039853,4.452705743439748,0.674812803985288
1.3,5,4.0,,False,False,-0.9896490673063103,104.24977469249963,4.4714345058758,1.1114666924996148
1.3,6,4.0,,False,False,-0.000545226698352671,103.91835489488409,4.457219396794177,0.780046894884085
1.3,7,4.0,,False,False,-0.9473020724587897,104.64420057949684,4.4883520438400994,1.5058925794968299
1.3,8,4.0,,False,False,-0.002639380232515299,103.78900311308965,4.451671298275804,0.6506951130896442
1.3,9,4.0,,False,False,-1.0143083212919475,104.14172972854237,4.466800289816825,1.0034217285423708
1.3,10,4.0,,False,False,-0.9822733708626408,104.45311423975228,4.480156054394025,1.3148062397522715
1.3,11,4.0,,False,False,-0.001213486716040176,103.60899522832737,4.443950480944257,0.47068722832736243
1.3,12,4.0,,False,False,-0.9892755379505855,104.42550207675261,4.478971725902355,1.2871940767525998
1.3,13,4.0,,False,False,-0.005171398650412813,103.44268870561051,4.4368173362787475,0.30438070561049335
1.3,14,4.0,,False,False,-0.00015806346993040704,103.64143467251546,4.445341859012189,0.5031266725154472
1.3,15,4.0,,False,False,-0.0020761767171730036,103.4204181738661,4.435862118635353,0.2821101738660895
1.3,16,4.0,,False,False,-0.002566284631500311,103.47848832931226,4.438352837656947,0.34018032931224856
1.3,17,4.0,,False,False,-0.0018355497509350734,103.98956674788872,4.460273783604044,0.8512587478887047
1.3,18,4.0,,False,False,-0.9631141571304687,104.0571126768198,4.4631709332453235,0.9188046768197845
1.3,19,4.0,,False,False,-0.9726844229043659,104.28055867900127,4.472754878796297,1.1422506790012714
1.3,20,4.0,,False,False,-1.0054931309444592,103.75635677881725,4.450271046371314,0.6180487788172362
1.3,21,4.0,,False,False,-0.0004693248101740278,103.98405681265842,4.460037453937274,0.8457488126584117
1.3,22,4.0,,False,False,-0.0028254297641285195,103.18126180274696,4.425604330997189,0.04295380274695469
1.3,23,4.0,,False,False,-0.0025950648945962614,103.41503207196403,4.4356311003720705,0.27672407196402454
1.3,24,4.0,,False,False,-0.004236775193913053,103.63030821013159,4.444864627785759,0.49200021013158257
1.3,25,4.0,,False,False,-0.0028024444124000944,103.55369154432871,4.441578420173258,0.41538354432870667
1.3,26,4.0,,False,False,-0.0008955568196569296,103.565804886716,4.442097980213475,0.42749688671598995
1.3,27,4.0,,False,False,-1.0008346895057145,104.0271601308747,4.461886222099685,0.8888521308746964
1.3,28,4.0,,False,False,-1.0295747699948423,103.30045102628598,4.4307165416320125,0.16214302628596816
1.3,29,4.0,,False,False,-0.0030918007498810553,103.46616896605384,4.437824441062071,0.32786096605384013
1.3,30,4.0,,False,False,-1.006254816200431,104.12554790446913,4.466106226287742,0.9872399044691241
1.3,31,4.0,,False,False,-0.9975910671355432,104.42779831682316,4.479070215199963,1.2894903168231413
1.3,32,4.0,,False,False,-1.0075283054175346,103.98829092214551,4.460219061459382,0.8499829221454999
1.3,33,4.0,,False,False,-0.003466559461316168,103.64981441314615,4.445701279083043,0.5115064131461318
1.3,34,4.0,,False,False,-0.9912162702749225,104.07124169651027,4.463776948810963,0.932933696510256
1.3,35,4.0,,False,False,-1.0275908306351207,103.5810762934989,4.442752994533111,0.44276829349888097
1.3,36,4.0,,False,False,-0.002233273558587022,103.70045221060043,4.447873212744352,0.5621442106004227
1.3,37,4.0,,False,False,-0.00386713290046606,103.32465539380635,4.431754704490807,0.1863473938063396
1.3,38,4.0,,False,False,-0.9883021936469718,105.01647759598467,4.504319582400046,1.8781695959846627
1.3,39,4.0,,False,False,-0.9845924633222825,104.30020812406693,4.47359767396729,1.1619001240669213
