a,seed,mult,placed_at,placed,solved,gap_final,w2_final,R_final,w2_at_start
1.3,0,,4050.0,True,True,0.08117548776616745,23.834483867856825,1.0222979753273533,
1.3,1,,2650.0,True,True,0.08180975205905705,27.606809374421672,1.1840988663815863,
1.3,2,,1900.0,True,True,0.08145752551416541,29.611097946716285,1.270065911474255,
1.3,3,,3250.0,True,True,0.08239723828141621,26.873365379000308,1.1526403160017125,
1.3,4,,,False,False,-0.00829351909004622,0.6854013909260109,0.029397928569166773,
1.3,5,,2450.0,True,True,0.08196814888860837,28.647008813997843,1.2287146334739654,
1.3,6,,4400.0,True,True,0.0816893889025474,24.0584646777897,1.0319048596121585,
1.3,7,,1900.0,True,True,0.08133749610003171,29.637362975820565,1.2711924593040334,
1.3,8,,,False,False,-0.010514831950120596,0.7366189971961408,0.03159473112974915,
1.3,9,,2850.0,True,True,0.08218347653332625,27.813356454014535,1.1929579909360861,
1.3,10,,2150.0,True,True,0.08189831025764827,29.14066269396313,1.2498882139382603,
1.3,11,,3900.0,True,True,0.08304150966711088,26.183548976760814,1.1230530207505631,
1.3,12,,2000.0,True,True,0.08143082319511175,29.192529284599633,1.2521128524447536,
1.3,13,,4350.0,True,True,0.08256746499783452,24.539866156883686,1.0525529156022053,
1.3,14,,4650.0,True,True,0.08156315093122268,23.284956784562347,0.9987279065247682,
1.3,15,,2850.0,True,True,0.08132469351068261,27.077891109233,1.16141274174747,
1.3,16,,3700.0,True,True,0.08161327053336631,26.61528214639445,1.14157072592283,
1.3,17,,,False,False,-0.0110684651257138,0.9834707329745837,0.042182584892031465,
1.3,18,,2650.0,True,True,0.08138347555388847,27.741718667896237,1.189885335194443,
1.3,19,,2200.0,True,True,0.08192503485957525,29.22972463792609,1.2537082188310382,
1.3,20,,3400.0,True,True,0.08226556682771369,26.291926348993915,1.1277014943159847,
1.3,21,,8500.0,True,True,0.08395211605645736,14.722493458549517,0.631470575905478,
1.3,22,,3550.0,True,True,0.08260192130800847,24.896146687293523,1.0678343400671053,
1.3,23,,2800.0,True,True,0.08135720918480205,28.18662812427675,1.2089681917389128,
1.3,24,,2800.0,True,True,0.0820627154508844,28.2167045556462,1.2102582165225217,
1.3,25,,4350.0,True,True,0.08208214707646899,24.128098273644877,1.034891552525342,
1.3,26,,3250.0,True,True,0.08234729172926825,27.984206556594383,1.2002860167880491,
1.3,27,,3200.0,True,True,0.08122982890635777,25.87395431950371,1.1097740257850823,
1.3,28,,3150.0,True,True,0.08245366347414818,27.163179759741258,1.165070904232397,
1.3,29,,6850.0,True,True,0.08279067313712662,18.3901804178544,0.7887833573955126,
1.3,30,,2800.0,True,True,0.08219289960916143,27.66916984696069,1.186773603756666,
1.3,31,,2100.0,True,True,0.08171124763661242,29.592054861181637,1.2692491240038828,
1.3,32,,3050.0,True,True,0.08183560150924496,27.38857050563668,1.1747382628571479,
1.3,33,,2550.0,True,True,0.08182460527475266,28.35672205027717,1.2162637840047146,
1.3,34,,2550.0,True,True,0.08126244230465529,27.33467709762708,1.172426691010358,
1.3,35,,3700.0,True,True,0.08209579615239582,25.12444390452057,1.077626361754591,
1.3,36,,2450.0,True,True,0.0826759791682452,29.305760438637893,1.2569695122389857,
1.3,37,,3650.0,True,True,0.08148078528590696,25.88480182235571,1.1102392920045834,
1.3,38,,2000.0,True,True,0.08154097603958954,30.067009248024235,1.2896206542091933,
1.3,39,,2150.0,True,True,0.08165952281699385,29.837016053218527,1.279755889413257,
1.3,0,0.5,,False,False,-0.011520227723977879,13.262814785590214,0.568862693969875,0.3705262855902129
1.3,1,0.5,4250.0,True,True,0.08421941516647324,13.789200786519242,0.5914402058628899,0.8969122865192406
1.3,2,0.5,3700.0,True,True,0.0834836450890637,14.158847953174206,0.6072949460851644,1.2665594531742057
1.3,3,0.5,4900.0,True,True,0.08495552288781782,13.71629761991067,0.5883132759896819,0.824009119910668
1.3,4,0.5,,False,False,-0.003748075057542738,13.56710130398529,0.5819140146277646,0.674812803985288
1.3,5,0.5,4200.0,True,True,0.08424209936270133,14.003755192499616,0.600642777063817,1.1114666924996148
1.3,6,0.5,,False,False,-0.004624613577040356,13.672335394884087,0.5864276679821944,0.780046894884085
1.3,7,0.5,3600.0,True,True,0.08353794208719467,14.398181079496831,0.6175603150281163,1.5058925794968299
1.3,8,0.5,,False,False,-0.005511556215366295,13.542983613089646,0.5808795694638214,0.6506951130896442
1.3,9,0.5,4750.0,True,True,0.08336846455088631,13.895710228542372,0.5960085610048417,1.0034217285423708
1.3,10,0.5,3950.0,True,True,0.08412139171419852,14.207094739752273,0.6093643255820422,1.3148062397522715
1.3,11,0.5,,False,False,-0.008370580823087042,13.362975728327363,0.5731587521322737,0.47068722832736243
1.3,12,0.5,3550.0,True,True,0.08338060678191273,14.179482576752601,0.6081799970903713,1.2871940767525998
1.3,13,0.5,,False,False,-0.021006095805404044,13.196669205610494,0.5660256074667637,0.30438070561049335
1.3,14,0.5,,False,False,-0.000645172933194757,13.395415172515449,0.5745501302002062,0.5031266725154472
1.3,15,0.5,,False,False,-0.00546950440283428,13.17439867386609,0.5650703898233697,0.2821101738660895
1.3,16,0.5,,False,False,-0.0027604714311681086,13.23246882931225,0.567561108844964,0.34018032931224856
1.3,17,0.5,,False,False,-0.0008593891352175476,13.743547247888706,0.5894820547920598,0.8512587478887047
1.3,18,0.5,4350.0,True,True,0.08383749008641805,13.811093176819785,0.5923792044333395,0.9188046768197845
1.3,19,0.5,3850.0,True,True,0.08381709571944285,14.034539179001273,0.6019631499843142,1.1422506790012714
1.3,20,0.5,4950.0,True,True,0.08483497664586581,13.510337278817238,0.5794793175593297,0.6180487788172362
1.3,21,0.5,,False,False,-0.011812192677902813,13.738037312658413,0.5892457251252903,0.8457488126584117
1.3,22,0.5,4900.0,True,True,0.08474102448403587,12.935242302746955,0.5548126021852053,0.04295380274695469
1.3,23,0.5,,False,False,-0.0045869053015308876,13.169012571964025,0.5648393715600871,0.27672407196402454
1.3,24,0.5,,False,False,-0.003046887692674187,13.384288710131583,0.5740728989737762,0.49200021013158257
1.3,25,0.5,,False,False,-0.020750608744889074,13.307672044328708,0.570786691361274,0.41538354432870667
1.3,26,0.5,,False,False,-0.0037578517949909684,13.31978538671599,0.5713062514014923,0.42749688671598995
1.3,27,0.5,4300.0,True,True,0.08343324765249971,13.781140630874697,0.5910944932877016,0.8888521308746964
1.3,28,0.5,5450.0,True,True,0.07533132674544474,13.054431526285969,0.5599248128200283,0.16214302628596816
1.3,29,0.5,,False,False,-0.006698946996106479,13.220149466053842,0.5670327122500884,0.32786096605384013
1.3,30,0.5,4500.0,True,True,0.08427409975212097,13.879528404469125,0.5953144974757593,0.9872399044691241
1.3,31,0.5,4100.0,True,True,0.08403584384885576,14.181778816823142,0.6082784863879787,1.2894903168231413
1.3,32,0.5,4750.0,True,True,0.08440763786984906,13.742271422145501,0.5894273326473983,0.8499829221454999
1.3,33,0.5,,False,False,-0.01906406348074737,13.403794913146132,0.5749095502710586,0.5115064131461318
1.3,34,0.5,3800.0,True,True,0.08318658409507318,13.825222196510257,0.59298521999898,0.932933696510256
1.3,35,0.5,4800.0,True,True,0.0844763876988397,13.335056793498882,0.5719612657211272,0.44276829349888097
1.3,36,0.5,5350.0,True,True,0.07971377480655706,13.454432710600424,0.577081483932369,0.5621442106004227
1.3,37,0.5,,False,False,-0.005495847493566693,13.078635893806341,0.5609629756788233,0.1863473938063396
1.3,38,0.5,3950.0,True,True,0.08400607665742621,14.770458095984663,0.6335278535880624,1.8781695959846627
1.3,39,0.5,4200.0,True,True,0.08366635192268879,14.054188624066922,0.6028059451553064,1.1619001240669213
1.3,0,1.0,,False,False,-0.006265239678718982,26.155103285590215,1.1218329409430154,0.3705262855902129
1.3,1,1.0,2400.0,True,True,0.08184436529721983,26.68148928651924,1.1444104528360304,0.8969122865192406
1.3,2,1.0,2100.0,True,True,0.08145834850158451,27.05113645317421,1.160265193058305,1.2665594531742057
1.3,3,1.0,2750.0,True,True,0.08241008443354758,26.60858611991067,1.1412835229628222,0.824009119910668
1.3,4,1.0,,False,False,-0.0002493811307959677,26.45938980398529,1.134884261600905,0.674812803985288
1.3,5,1.0,2350.0,True,True,0.08199262691971132,26.896043692499617,1.1536130240369575,1.1114666924996148
1.3,6,1.0,,False,False,-0.002378129014884635,26.564623894884086,1.1393979149553348,0.780046894884085
1.3,7,1.0,2050.0,True,True,0.08137148819688322,27.290469579496833,1.1705305620012567,1.5058925794968299
1.3,8,1.0,,False,False,-0.00033450355690101824,26.435272113089646,1.1338498164369617,0.6506951130896442
1.3,9,1.0,2650.0,True,True,0.0822092912264738,26.787998728542373,1.1489788079779821,1.0034217285423708
1.3,10,1.0,2250.0,True,True,0.08194738469074148,27.099383239752274,1.1623345725551828,1.3148062397522715
1.3,11,1.0,,False,False,-0.004169592026036851,26.255264228327366,1.1261289991054144,0.47068722832736243
1.3,12,1.0,2050.0,True,True,0.08145114273058995,27.0717710767526,1.1611502440635117,1.2871940767525998
1.3,13,1.0,,False,False,-0.008812640144619282,26.088957705610497,1.1189958544399043,0.30438070561049335
1.3,14,1.0,,False,False,-0.00024059550724729595,26.28770367251545,1.1275203771733466,0.5031266725154472
1.3,15,1.0,,False,False,-0.002771451847034064,26.066687173866093,1.1180406367965103,0.2821101738660895
1.3,16,1.0,,False,False,-0.0009607666356099432,26.12475732931225,1.1205313558181045,0.34018032931224856
1.3,17,1.0,,False,False,-0.00046600093780176446,26.635835747888706,1.1424523017652002,0.8512587478887047
1.3,18,1.0,2450.0,True,True,0.08140153224311986,26.703381676819788,1.1453494514064801,0.9188046768197845
1.3,19,1.0,2200.0,True,True,0.0819100958546728,26.926827679001274,1.1549333969574547,1.1422506790012714
1.3,20,1.0,2800.0,True,True,0.08225986135768881,26.40262577881724,1.1324495645324701,0.6180487788172362
1.3,21,1.0,,False,False,-0.006095203345615325,26.630325812658413,1.1422159720984308,0.8457488126584117
1.3,22,1.0,,False,False,-0.002726241565950016,25.827530802746956,1.107782849158346,0.04295380274695469
1.3,23,1.0,,False,False,-0.001519531347385584,26.061301071964028,1.1178096185332278,0.27672407196402454
1.3,24,1.0,,False,False,-0.008902671083551073,26.276577210131585,1.1270431459469168,0.49200021013158257
