window,a,Ghat_lo,Ghat_hi,w1,b1
base,1.3,0.08610308947359169,0.086169510734867,-0.7967442103794646,3.7441366547360646
base,1.5,0.175125862758013,0.17527190034580287,-0.9730139444040697,3.8806913809846297
G1_wide_gap,1.3,0.1671184652596791,0.16724526463281303,0.7814941406250002,3.788153381232894
G1_wide_gap,1.5,0.33864010636897657,0.338917685317441,-0.9517648450286413,3.930910990111838
G2_narrow_gap,1.3,0.02106313437703644,0.021080273303809034,0.7694067658677612,3.710944536715653
G2_narrow_gap,1.5,0.042938079273860286,0.04297562727244558,0.9410152616654608,3.84211967756226
G3_far_outer,1.3,0.0716983828844473,0.07173845423377621,0.6057388190936327,3.784784102002359
G3_far_outer,1.5,0.14594117549528773,0.14602883208101586,-0.7400532772666529,3.926753415198641
G4_shifted,1.3,0.1451470963462409,0.14522449475742222,0.5772728023672463,3.613809160019271
G4_shifted,1.5,0.28486509337827215,0.2850354639187198,0.7072007695701829,3.727001115379326
H10,1.3,0.053695561202216524,0.053727811332237405,-0.9001922607421875,3.771727003629285
H10,1.5,0.10937838809909639,0.10944721362950273,1.1004428894742224,3.9119066725730325
H35,1.3,0.08431265495828111,0.08437239447613537,-0.9829087717095937,3.7584538087563297
H35,1.5,0.1715157176088038,0.1716456862655932,-1.2004148187551267,3.896980796017892
H65,1.3,0.1170972153795442,0.11716692978579132,0.7203985305059525,3.7622035395711615
H65,1.5,0.23785484411312563,0.23800726910098816,0.8789184570312499,3.9014366449731788
H90,1.3,0.14319679447630973,0.14327189122702688,-0.6268581556866697,3.794234519356298
H90,1.5,0.29052042211469375,0.29067895118943105,0.7640404794730392,3.937631286896861
