a,seed,solved32,solved64,first_divergence,final_dist,final_rel,w2_32,w2_64
1.4,0,False,False,2000,7.203835337918961e-06,2.0080576813964232e-05,-0.25049126148223877,-0.25048702465988887
1.4,1,False,False,2000,4.5162703070494326e-05,3.332999713943592e-06,4.237933158874512,4.237946231187883
1.4,2,True,True,2000,3.480173226735279e-05,1.982363006788968e-06,5.470949649810791,5.470961211528976
1.4,3,False,False,2000,5.560297627372158e-05,4.597569124580548e-06,3.80136775970459,3.801384471267358
1.4,4,False,False,2000,1.69485293663342e-06,2.2697807129276516e-06,-0.6707332730293274,-0.6707316813878406
1.4,5,False,False,2000,5.1410226251033795e-05,3.469745931368587e-06,4.613890171051025,4.613905298343072
1.4,6,False,False,2000,5.137363963411389e-07,6.795549169725368e-07,0.7428405284881592,0.7428400395138839
1.4,7,False,False,2000,5.448247352022685e-05,3.0920725654021957e-06,5.48913049697876,5.48914734812704
1.4,8,False,False,2000,4.678319620859136e-06,4.581864304974208e-06,0.6442149877548218,0.6442159119784658
1.4,9,False,False,2000,4.923715726856932e-05,3.4907511724970593e-06,4.4079203605651855,4.407934931255093
1.4,10,False,False,2000,0.00045636650446905067,2.7015931887336328e-05,-5.274521350860596,-5.274376623982794
1.4,11,False,False,2000,2.904605355439468e-06,5.830011350809436e-06,0.4930746257305145,0.49307464497253667
1.4,12,False,False,2000,5.3872655832833985e-05,3.254429975797027e-06,5.1728515625,5.172867701392881
1.4,13,False,False,2000,6.591846094025765e-06,1.172729517269303e-05,0.5586068034172058,0.5586058377006053
1.4,14,False,False,2000,6.926469327443971e-06,5.861536038596222e-06,0.4789048433303833,0.4789075567123138
1.4,15,False,False,2000,1.8086355278460357e-05,1.7016495707791892e-06,3.3387210369110107,3.3387264810817103
1.4,16,False,False,2000,1.68167994942186e-06,3.666010975805278e-06,0.33233726024627686,0.3323365426171461
1.4,17,False,False,2000,1.338751593134022e-06,1.2848361470252555e-06,0.8444998264312744,0.844498550580974
1.4,18,False,False,2000,5.320478201448661e-05,3.7827304406508e-06,-4.4093194007873535,-4.409335379373571
1.4,19,False,False,2000,3.7361692278376934e-05,2.3946206183751153e-06,4.879417419433594,4.879429109474871
1.4,20,False,False,2000,4.6542982590326245e-05,4.28838687236818e-06,3.41030216217041,3.4103166160945237
1.4,21,False,False,2000,3.647257875012521e-08,3.423933566245831e-08,-0.9640609622001648,-0.9640609859095357
1.4,22,False,False,2000,4.516560816001132e-05,5.1063726135749105e-06,-2.778041362762451,-2.7780550847595
1.4,23,False,False,2000,2.5555803206657203e-05,2.2941332032681287e-06,-3.4986677169799805,-3.498675216702473
1.4,24,False,False,2000,6.170658506091604e-05,5.254230820503222e-06,-3.6962227821350098,-3.6962409745165847
1.4,25,False,False,2000,6.399645819439593e-05,1.0728913127044685e-05,-1.8817696571350098,-1.8817890543631508
1.4,26,False,False,2000,1.588488299659139e-06,2.2785124631977283e-06,0.3749062418937683,0.3749073739682561
1.4,27,False,False,2000,4.9752780517797645e-05,4.609665214705284e-06,3.437284231185913,3.437299198359784
1.4,28,False,False,2000,5.5461957501777033e-05,4.613032437554217e-06,3.7795093059539795,3.779526128106166
1.4,29,False,False,2000,5.174051407536296e-07,1.0929424098392417e-06,0.34804046154022217,0.3480407453577595
1.4,30,False,False,2000,6.115303216638543e-05,4.4318912200037115e-06,-4.313023567199707,-4.313042215802063
1.4,31,False,False,2000,4.9821009836553795e-05,2.8700452999022647e-06,-5.442425727844238,-5.442440237242407
1.4,32,False,False,2000,5.2249275060660325e-05,4.076498090690463e-06,4.008885860443115,4.0089018615824825
1.4,33,False,False,2000,5.207175514796608e-05,3.6752513786895354e-06,-4.4452948570251465,-4.445311216926621
1.4,34,False,False,2000,5.671256620039997e-05,4.40124036477151e-06,4.032858848571777,4.0328761287182955
1.4,35,False,False,2000,4.233017965722804e-05,4.662809070853445e-06,2.8607850074768066,2.8607978041940174
1.4,36,False,False,2000,2.362303820539608e-05,1.4144879881394096e-06,-5.228700160980225,-5.2287074336928026
1.4,37,False,False,2000,6.410328992966722e-06,1.979632477731532e-05,0.30443060398101807,0.3044314119030053
1.4,38,False,False,2000,6.90928741246852e-05,3.612469748724208e-06,-6.000284671783447,-6.000304876088216
1.4,39,False,False,2000,5.1900021610581855e-05,3.0467346587706074e-06,-5.312792778015137,-5.312808663844839
1.4,40,False,False,2000,6.042017471177732e-05,3.954734378868323e-06,-4.77623176574707,-4.776249788365062
1.4,41,False,False,2000,4.190731859829572e-05,4.1251799944850136e-06,3.1952779293060303,3.195290708337337
1.4,42,False,False,2000,6.948035572180864e-05,4.33967346438491e-06,-4.983133792877197,-4.983155169451053
1.4,43,False,False,2000,3.5608818774240385e-05,3.709746231745821e-06,3.0334699153900146,3.0334808077999997
1.4,44,True,True,2000,3.877998038188366e-05,1.95492570157658e-06,6.179807186126709,6.179819357152374
1.4,45,False,False,2000,4.52209087212754e-05,4.822147461391087e-06,-2.9767444133758545,-2.9767579959535397
1.4,46,False,False,2000,4.352347684197506e-06,7.75543386085764e-06,-0.5531485080718994,-0.5531487316026771
1.4,47,False,False,2000,4.977166605062577e-05,4.093027743293233e-06,3.828917980194092,3.8289330605676666
1.4,48,False,False,2000,8.710031079974526e-07,9.377044397461183e-07,-0.6555467844009399,-0.6555472632962086
1.4,49,False,False,2000,4.520791071109979e-05,4.776622119735375e-06,-2.981051206588745,-2.9810647107240955
1.4,50,False,False,2000,5.646221510414684e-06,5.496967971892152e-06,-1.0050841569900513,-1.0050845481831854
1.4,51,False,False,2000,2.6270878851185983e-05,1.7305496557829481e-06,-4.7205610275268555,-4.720569036695075
1.4,52,False,False,2000,4.5334298859003764e-05,3.4086252780503128e-06,4.160351753234863,4.160365404683649
1.4,53,False,False,2000,5.182948465330987e-05,3.7916493330634783e-06,4.28857421875,4.288589950464693
1.4,54,False,False,2000,0.0001371855566773236,3.4631756668965604e-05,1.186988353729248,1.1870290563229808
1.4,55,False,False,2000,4.1666667532805607e-07,7.874058097697999e-07,0.10404692590236664,0.10404712726922365
1.4,56,False,False,2000,4.0040947159681594e-05,3.303145235792825e-06,-3.7777957916259766,-3.7778080659998134
1.4,57,False,False,2000,3.394331039964804e-07,4.571718161872032e-07,-0.7291195392608643,-0.7291192628322672
1.4,58,False,False,2000,0.00010912540873531378,2.0738763447725716e-05,-1.6339260339736938,-1.6339586397319847
