activation,parameter,depth,width,seed,train_errors,eval_errors,dense_errors,solved,steps_to_criterion,final_eval_accuracy,at_chance,inactive_unit_fraction,duration_seconds
gelu,,3,3,100,91,93,-1,False,-1,0.9535,False,0.0,1.0907068341039121
gelu,,3,3,101,84,90,-1,False,-1,0.955,False,0.0,0.6323610830586404
gelu,,3,3,102,54,64,-1,False,-1,0.968,False,0.0,0.6328229589853436
gelu,,3,3,103,45,62,-1,False,-1,0.969,False,0.0,0.6327333329245448
gelu,,3,3,104,65,76,-1,False,-1,0.962,False,0.0,0.6246300409547985
gelu,,3,3,105,38,72,-1,False,-1,0.964,False,0.0,0.645301208132878
gelu,,3,3,106,81,79,-1,False,-1,0.9605,False,0.0,0.6402733330614865
gelu,,3,3,107,55,59,-1,False,-1,0.9705,False,0.0,0.6391134588047862
gelu,,3,3,108,91,91,-1,False,-1,0.9545,False,0.0,0.6622019589412957
gelu,,3,3,109,85,95,-1,False,-1,0.9525,False,0.0,0.6277781249955297
gelu,,3,3,110,69,73,-1,False,-1,0.9635,False,0.0,0.6262586249504238
gelu,,3,3,111,92,82,-1,False,-1,0.959,False,0.0,0.6243737500626594
gelu,,3,3,112,49,75,-1,False,-1,0.9625,False,0.1111111111111111,0.634208083152771
gelu,,3,3,113,79,88,-1,False,-1,0.956,False,0.0,0.6313128340989351
gelu,,3,3,114,90,82,-1,False,-1,0.959,False,0.0,0.6608278751373291
gelu,,3,3,115,95,96,-1,False,-1,0.952,False,0.0,0.6275729169137776
gelu,,3,3,116,68,65,-1,False,-1,0.9675,False,0.0,0.6280842910055071
gelu,,3,3,117,73,77,-1,False,-1,0.9615,False,0.0,0.6310295830480754
gelu,,3,3,118,91,91,-1,False,-1,0.9545,False,0.0,0.6302188748959452
gelu,,3,3,119,78,84,-1,False,-1,0.958,False,0.0,0.6269589581061155
gelu,,3,3,120,86,79,-1,False,-1,0.9605,False,0.0,0.6344413750339299
gelu,,3,3,121,60,68,-1,False,-1,0.966,False,0.0,0.6316503339912742
gelu,,3,3,122,78,88,-1,False,-1,0.956,False,0.1111111111111111,0.637209374923259
gelu,,3,3,123,89,83,-1,False,-1,0.9585,False,0.0,0.6480211671441793
gelu,,3,3,124,70,70,-1,False,-1,0.965,False,0.0,0.6327879999298602
gelu,,3,3,125,6,20,-1,False,-1,0.99,False,0.0,0.6479759579524398
gelu,,3,3,126,62,73,-1,False,-1,0.9635,False,0.0,0.6456819160375744
gelu,,3,3,127,55,69,-1,False,-1,0.9655,False,0.0,0.6591236249078065
gelu,,3,3,128,75,90,-1,False,-1,0.955,False,0.0,0.631627291906625
gelu,,3,3,129,58,68,-1,False,-1,0.966,False,0.0,0.6515848748385906
gelu,,3,3,130,85,85,-1,False,-1,0.9575,False,0.0,0.6351027090568095
gelu,,3,3,131,44,84,-1,False,-1,0.958,False,0.0,0.6519239998888224
gelu,,3,3,132,55,73,-1,False,-1,0.9635,False,0.0,0.6358221247792244
gelu,,3,3,133,90,78,-1,False,-1,0.961,False,0.0,0.6321741249412298
gelu,,3,3,134,55,63,-1,False,-1,0.9685,False,0.0,0.6417035418562591
gelu,,3,3,135,56,54,-1,False,-1,0.973,False,0.0,0.6398762920871377
gelu,,3,3,136,85,87,-1,False,-1,0.9565,False,0.0,0.6301196669228375
gelu,,3,3,137,103,101,-1,False,-1,0.9495,False,0.0,0.636097582988441
gelu,,3,3,138,60,67,-1,False,-1,0.9665,False,0.0,0.6360604169312865
gelu,,3,3,139,90,90,-1,False,-1,0.955,False,0.0,0.6533837090246379
gelu,,3,3,140,58,66,-1,False,-1,0.967,False,0.0,0.6483053751289845
