comparison,mean_diff,ci95_lo,ci95_hi,C_better_interval_excludes_zero
C - B1,-0.25729359647426275,-0.3704173469970752,-0.1311636151791475,True
C - B2,-0.054983582456451116,-0.10268191621888507,-0.010476685014828022,True
C - U,-0.0857743962886273,-0.11109002479472606,-0.06299352376704069,True
secondary: C - B3 (MAE of placed fraction),-0.044166666666666674,-0.06819444444444445,-0.01812326388888891,True
