a,opt,budget,w2,gstar,R,solved
1.02,adam,2000,2.180555820465088,0.0016156047879616,0.0017614582119805,False
1.02,adam,2000,1.976944923400879,0.0016156047879616,0.0015969808418914,False
1.02,adam,2000,2.66274356842041,0.0016156047879616,0.002150970629127,False
1.02,adam,2000,1.693675875663757,0.0016156047879616,0.0013681554269887,False
1.02,adam,2000,2.3936619758605957,0.0016156047879616,0.001933605874481,False
1.02,adam,2000,2.4227755069732666,0.0016156047879616,0.001957123854611,False
1.02,adam,2000,2.4670181274414062,0.0016156047879616,0.0019928631493412,False
1.02,adam,2000,1.65245258808136,0.0016156047879616,0.0013348551565919,False
1.02,adam,2000,1.5803767442703247,0.0016156047879616,0.0012766321174131,False
1.02,adam,2000,2.321530818939209,0.0016156047879616,0.0018753381532393,False
1.02,adam,2000,2.0537970066070557,0.0016156047879616,0.0016590621386878,False
1.02,adam,2000,1.9631832838058472,0.0016156047879616,0.0015858641564814,False
1.02,adam,2000,3.2651898860931396,0.0016156047879616,0.0026376282067879,False
1.02,adam,2000,0.3012093901634216,0.0016156047879616,0.0002433176664635,False
1.02,adam,2000,3.2727468013763428,0.0016156047879616,0.0026437327010448,False
1.02,adam,2000,2.05783748626709,0.0016156047879616,0.00166232604783,False
1.02,adam,2000,0.6474841833114624,0.0016156047879616,0.0005230392733437,False
1.02,adam,2000,0.7379094958305359,0.0016156047879616,0.000596085057273,False
1.02,adam,2000,1.6796776056289673,0.0016156047879616,0.001356847590943,False
1.02,adam,2000,2.6339476108551025,0.0016156047879616,0.0021277091856688,False
1.02,adam,2000,2.5644845962524414,0.0016156047879616,0.0020715967961796,False
1.02,adam,2000,0.3241135776042938,0.0016156047879616,0.0002618197239104,False
1.02,adam,2000,1.916837453842163,0.0016156047879616,0.0015484258840857,False
1.02,adam,2000,2.482865333557129,0.0016156047879616,0.0020056645603794,False
1.02,adam,2000,0.9352400302886964,0.0016156047879616,0.0007554891354139,False
1.02,adam,2000,2.2569127082824707,0.0016156047879616,0.0018231394887563,False
1.02,adam,2000,2.5623202323913574,0.0016156047879616,0.0020698484178712,False
1.02,adam,2000,2.172123432159424,0.0016156047879616,0.0017546465085202,False
1.02,adam,2000,1.9604510068893433,0.0016156047879616,0.0015836570166473,False
1.02,adam,2000,0.3784390687942505,0.0016156047879616,0.0003057039857478,False
1.02,adam,2000,2.6981282234191895,0.0016156047879616,0.0021795544381452,False
1.02,adam,2000,0.9610212445259094,0.0016156047879616,0.0007763152619944,False
1.02,adam,2000,0.4842777252197265,0.0016156047879616,0.000391200705784,False
1.02,adam,2000,2.078688144683838,0.0016156047879616,0.0016791692596151,False
1.02,adam,2000,1.7687381505966189,0.0016156047879616,0.0014287909123771,False
1.02,adam,2000,1.175806999206543,0.0016156047879616,0.0009498197088184,False
1.02,adam,2000,1.3314809799194336,0.0016156047879616,0.0010755735231188,False
1.02,adam,2000,2.045628309249878,0.0016156047879616,0.0016524634454069,False
1.02,adam,2000,1.894825458526611,0.0016156047879616,0.0015306445415735,False
1.02,adam,2000,0.5221442580223083,0.0016156047879616,0.0004217893816337,False
1.02,adam,2000,1.6924313306808472,0.0016156047879616,0.0013671500805721,False
1.02,adam,2000,2.3201327323913574,0.0016156047879616,0.0018742087755789,False
1.02,adam,2000,2.311551570892334,0.0016156047879616,0.0018672768927769,False
1.02,adam,2000,2.706500291824341,0.0016156047879616,0.0021863174150454,False
1.02,adam,2000,1.2308377027511597,0.0016156047879616,0.0009942736428842,False
1.02,adam,2000,0.310977429151535,0.0016156047879616,0.0002512083117426,False
1.02,adam,2000,3.6513967514038086,0.0016156047879616,0.0029496070371577,False
1.02,adam,2000,2.9860334396362305,0.0016156047879616,0.0024121249610449,False
1.02,adam,2000,2.6329774856567383,0.0016156047879616,0.0021269255162111,False
1.02,adam,2000,2.0946526527404785,0.0016156047879616,0.001692065427442,False
1.02,adam,2000,1.7023520469665527,0.0016156047879616,0.0013751640589377,False
1.02,adam,2000,1.920985221862793,0.0016156047879616,0.0015517764610225,False
1.02,adam,2000,1.1390855312347412,0.0016156047879616,0.0009201560190803,False
1.02,adam,2000,0.2643536925315857,0.0016156047879616,0.0002135455456846,False
1.02,adam,2000,0.2017287462949752,0.0016156047879616,0.0001629569641918,False
1.02,adam,2000,2.604384660720825,0.0016156047879616,0.0021038281637771,False
1.02,adam,2000,0.1111134067177772,0.0016156047879616,8.975767594998456e-05,False
1.02,adam,2000,0.3767443001270294,0.0016156047879616,0.0003043349475612,False
1.02,adam,2000,1.908212423324585,0.0016156047879616,0.0015414585637855,False
1.02,adam,2000,1.8091821670532229,0.0016156047879616,0.0014614616856929,False
1.02,adam,2000,2.6084632873535156,0.0016156047879616,0.0021071228881352,False
1.02,adam,2000,1.825259804725647,0.0016156047879616,0.0014744492398943,False
1.02,adam,2000,1.4602282047271729,0.0016156047879616,0.0011795758395369,False
