window,a,seed,cross_step,cross_R,cross_w2,final_placed,final_solved,R_final
base,1.3,0,4050.0,0.2143726061750376,4.994369798659602,True,True,1.0230056501472196
base,1.3,1,2650.0,0.22883314482121836,5.331265817117603,True,True,1.1849064417405355
base,1.3,2,1900.0,0.22064863616801625,5.140586310235811,True,True,1.2708607985123308
base,1.3,3,3250.0,0.2578563793898162,6.007437874616698,True,True,1.1534825979041925
base,1.3,4,,,,False,False,0.02926924614889879
base,1.3,5,2450.0,0.23363841978584138,5.4432172487197015,True,True,1.2296634546791365
base,1.3,6,4400.0,0.21231070571480784,4.946332441787589,True,True,1.0326709475086289
base,1.3,7,1900.0,0.22393443034220614,5.217137467965294,True,True,1.2721264035605009
base,1.3,8,,,,False,False,0.03157230589785322
base,1.3,9,2850.0,0.25701955704771273,5.98794191239085,True,True,1.193868953410629
base,1.3,10,2150.0,0.2355125428848851,5.486879841491428,True,True,1.2507935569295743
base,1.3,11,3900.0,0.23940018388015727,5.577452592932275,True,True,1.1239142839005292
base,1.3,12,2000.0,0.21555241119955224,5.021856438337489,True,True,1.2530155718814882
base,1.3,13,4350.0,0.2511753970265203,5.851786939844847,True,True,1.0533389900048238
base,1.3,14,4650.0,0.21432444299350337,4.993247711544304,True,True,0.9994657847925277
base,1.3,15,2850.0,0.22259383885248754,5.18590488760881,True,True,1.162270330370062
base,1.3,16,3700.0,0.22636043492122446,5.27365758131861,True,True,1.1424035089917695
base,1.3,17,,,,False,False,0.04235116791143517
base,1.3,18,2650.0,0.2379431184890219,5.543506448814323,True,True,1.190795667473179
base,1.3,19,2200.0,0.22113817442510325,5.151991382600736,True,True,1.2546439438974868
base,1.3,20,3400.0,0.25021958796110916,5.8295188711081325,True,True,1.1285377776753227
base,1.3,21,8500.0,0.24205043839612242,5.63919719430401,True,True,0.631811243737848
base,1.3,22,3550.0,0.2222342632334377,5.17752763435729,True,True,1.0686060606203402
base,1.3,23,2800.0,0.24663867149192842,5.746092068662132,True,True,1.209976366844644
base,1.3,24,2800.0,0.24768822818454783,5.770544233241964,True,True,1.211155310918467
base,1.3,25,4350.0,0.2596861184134944,6.050066424422292,True,True,1.0356313886507822
base,1.3,26,3250.0,0.2426604911294485,5.653409966174804,True,True,1.2011014749316176
base,1.3,27,3200.0,0.2293906520241549,5.34425440360989,True,True,1.110593826852283
base,1.3,28,3150.0,0.25294094497254904,5.89291999083053,True,True,1.1658744715146079
base,1.3,29,6850.0,0.22952288858724718,5.347335199746908,True,True,0.7893608598191219
base,1.3,30,2800.0,0.2456414994074789,5.722860340357375,True,True,1.1875853084670216
base,1.3,31,2100.0,0.23938551621069318,5.577110871260391,True,True,1.2701253352610107
base,1.3,32,3050.0,0.25311411269910133,5.896954385331893,True,True,1.1756129524730434
base,1.3,33,2550.0,0.24152571542578247,5.62697240214195,True,True,1.2171513530899454
base,1.3,34,2550.0,0.20974964455536585,4.8866658326276795,True,True,1.1732916422097335
base,1.3,35,3700.0,0.2368954977147979,5.519099386510101,True,True,1.0784272319046015
base,1.3,36,2450.0,0.26919505363981766,6.271601907705926,True,True,1.2578966434057837
base,1.3,37,3650.0,0.21705007662590456,5.0567484663224604,True,True,1.111010450687726
base,1.3,38,2000.0,0.2572964540600528,5.994392951543871,True,True,1.2905858447164433
base,1.3,39,2150.0,0.23467934607296273,5.467468345460975,True,True,1.2806988071083194
base,1.5,0,2900.0,0.23386667082262078,2.676413175443801,True,True,1.801044206403098
base,1.5,1,1250.0,0.24658385646774095,2.8219509859212066,True,True,2.0683048664308585
base,1.5,2,850.0,0.23304585159645025,2.6670195693183407,True,True,2.193546034179595
base,1.5,3,1550.0,0.27309533030833677,3.125353166479126,True,True,2.022047377960512
base,1.5,4,,,,False,False,0.057626993770955495
base,1.5,5,1200.0,0.25734522424571177,2.945106057165209,True,True,2.1330925661588056
base,1.5,6,4050.0,0.22723634965300257,2.600534561046244,True,True,1.7442675134337196
base,1.5,7,850.0,0.23986857229243091,2.745100039266731,True,True,2.186055409605247
base,1.5,8,,,,False,False,0.062204996895681035
base,1.5,9,1350.0,0.27758504585921107,3.176734296642256,True,True,2.0797839056343754
base,1.5,10,950.0,0.25047537602131525,2.866486251117602,True,True,2.1470868890004775
base,1.5,11,2950.0,0.2696898856566831,3.0863806318213625,True,True,2.005810880001396
base,1.5,12,900.0,0.2332071740447774,2.668865773074861,True,True,2.16359870238566
base,1.5,13,3050.0,0.27123937660180003,3.104113291059015,True,True,1.8858165283792683
base,1.5,14,3100.0,0.2293491628809497,2.62471398405098,True,True,1.8522884489550593
base,1.5,15,1750.0,0.23805038706453063,2.724292393259573,True,True,1.9997307332755299
base,1.5,16,3900.0,0.2569677220520018,2.94078585265958,True,True,1.823022716478694
base,1.5,17,,,,False,False,0.08294496449187581
base,1.5,18,1250.0,0.25773419322964203,2.949557489726198,True,True,2.085651080014503
base,1.5,19,1050.0,0.24343590763023532,2.785925280699135,True,True,2.1778993039593404
base,1.5,20,1700.0,0.2656984542837434,3.0407019573961462,True,True,1.9861831345217293
base,1.5,21,7950.0,0.27822772246872446,3.184089205912572,True,True,1.117180230797996
base,1.5,22,1850.0,0.23889439524254508,2.733951378013042,True,True,1.9065335143847844
base,1.5,23,1800.0,0.26067664431112675,2.983231440849219,True,True,2.084126188887297
base,1.5,24,1800.0,0.2676166701410796,3.062654372316414,True,True,2.059660342943974
base,1.5,25,2600.0,0.27758433703996144,3.176726184784452,True,True,1.8343234985802044
base,1.5,26,2750.0,0.27684697824306553,3.168287715155155,True,True,2.0387607650922512
base,1.5,27,1550.0,0.24667643178200296,2.823010434836865,True,True,1.9725039061900975
base,1.5,28,1600.0,0.27309206086449606,3.1253157503627516,True,True,2.057637050572007
base,1.5,29,6250.0,0.25708761510589334,2.942157930809711,True,True,1.3672238047507526
