width,activation,seed,test_errors,test_accuracy,train_errors_10k,batches_to_criterion,dead_bottleneck_fraction,duration_seconds
6,leaky_relu,2,498,0.9502,433,-1,,0.3292939579114318
6,leaky_relu,3,566,0.9434,459,-1,,0.328971124952659
6,leaky_relu,4,618,0.9382,503,-1,,0.3278803750872612
8,gelu,0,484,0.9516,394,-1,,0.4313298331107944
8,gelu,1,509,0.9491,461,-1,,0.43625229108147323
8,gelu,2,482,0.9518,392,-1,,0.4451272499281913
8,gelu,3,412,0.9588,386,-1,,0.429835082963109
8,gelu,4,415,0.9585,372,-1,,0.5621113330125809
8,gelu,5,450,0.955,385,-1,,0.47314716689288616
8,gelu,6,475,0.9525,406,-1,,0.42617404111661017
8,gelu,7,476,0.9524,437,-1,,0.4285297498572618
8,gelu,8,502,0.9498,420,-1,,0.42668279097415507
8,gelu,9,485,0.9515,406,-1,,0.5301536659244448
8,tanh,0,412,0.9588,311,-1,,0.7257958750706166
8,tanh,1,438,0.9562,328,-1,,0.8786609580274671
8,tanh,2,435,0.9565,332,-1,,0.6359811250586063
8,tanh,3,417,0.9583,317,-1,,0.5608267080970109
8,tanh,4,412,0.9588,310,-1,,0.6038205418735743
8,tanh,5,421,0.9579,327,-1,,0.5056920831557363
8,tanh,6,401,0.9599,322,-1,,0.523902750108391
8,tanh,7,465,0.9535,380,-1,,0.7584494999609888
8,tanh,8,431,0.9569,344,-1,,0.4910289580002427
8,tanh,9,386,0.9614,299,-1,,0.45085216709412634
8,relu,0,485,0.9515,408,-1,0.25,0.3271913328208029
8,relu,1,434,0.9566,363,-1,0.0,0.329917750088498
8,relu,2,459,0.9541,390,-1,0.0,0.3261357909068465
8,relu,3,444,0.9556,405,-1,0.0,0.3276353331748396
8,relu,4,472,0.9528,411,-1,0.125,0.348194417078048
8,leaky_relu,0,448,0.9552,394,-1,,0.33021558402106166
8,leaky_relu,1,446,0.9554,392,-1,,0.32848850009031594
8,leaky_relu,2,502,0.9498,406,-1,,0.3307309169322252
8,leaky_relu,3,453,0.9547,400,-1,,0.3294839160516858
8,leaky_relu,4,448,0.9552,374,-1,,0.32856087503023446
10,gelu,0,496,0.9504,409,-1,,0.43084999988786876
