population,a,seed,w2,grad_norm,loss,lambda_min,lambda_max,traj_grad_start,traj_grad_end
zero_basin_constructed,1.02,-1,1.0,0.019213794303405928,0.691872002027862,-0.17389388199878153,2.7181758685067043,0.14319274574518204,0.02107746247202158
zero_basin_constructed,1.1,-1,1.0,0.09063019835273546,0.6792013005908248,-0.3151255721769518,2.7285814326467897,0.1476372629404068,0.050547193735837936
zero_basin_constructed,1.25,-1,1.0,0.194732956603445,0.6404725519113862,-0.23666603249106247,2.7753979453839506,0.1563108265399933,0.006741054356098175
zero_basin_constructed,1.35,-1,1.0,0.23935644201193548,0.6101208184370402,-0.10317147243145695,2.8201448072818063,0.16232898831367493,0.0023369441041722894
zero_basin_constructed,1.45,-1,1.0,0.26555516505488685,0.5759309751581267,-0.01988386807944061,2.8844917917701203,0.16852673888206482,0.0014430583105422556
found_adam,1.45,2,5.466699600219727,0.011425692852735583,0.23354252309686618,0.0005273135684251814,2.8640044831157176,0.16852673888206482,0.0014430583105422556
zero_basin_constructed,1.5,-1,1.0,0.2723914076786173,0.5594610972220226,-0.010147750484726301,2.9138389140202605,0.17169075459241867,0.0012306551216170192
found_adam,1.5,1,4.394019603729248,0.013662310453123806,0.24420065897337995,0.0007569259300110314,2.5356423752753554,0.17169075459241867,0.0012306551216170192
zero_basin_constructed,2.0,-1,1.0,0.22494632141103424,0.40932094550033166,0.009544897160376153,3.0210166499973,0.20551711320877075,0.0005748772528022528
found_adam,2.0,1,4.2373456954956055,0.011325244927387753,0.08366030489818511,0.0016263465137832135,1.897254790067631,0.20551711320877075,0.0005748772528022528
zero_basin_constructed,3.0,-1,1.0,0.14588842841385638,0.21993050959362506,0.020558272005354306,2.4773368376098612,0.28311076760292053,0.00032944402482826263
found_adam,3.0,1,3.4715163707733154,0.005698605755870523,0.019154922699838796,0.0018416243336386966,1.0862664228721968,0.28311076760292053,0.00032944402482826263
