name,quantile,i,o1,o2,K_lo,K_hi,u,v,argmax_near_box_edge,kappa0_lo,kappa0_hi
V10,0.1,0.7,0.9,1.5,0.3588251960791551,0.3588558172721667,1.9805320739746093,1.1659004211425787,False,0.1902957970561223,0.1903120363960422
V20,0.2,0.8,1.1,1.9,0.4555466108625168,0.4555845801501845,1.6830604553222657,1.1813941955566412,False,0.2415900732655762,0.2416102095211662
V30,0.3,0.9,1.3,2.1,0.5260233408324445,0.5260618313313004,1.4624305725097655,1.1927070617675786,False,0.278966003523768,0.2789864161933322
V40,0.4,0.9,1.4,2.0,0.6306042050449184,0.6306383082578819,1.410503387451172,1.2094749450683606,False,0.3344283822240104,0.3344464681838704
V50,0.5,0.5,0.9,2.1,0.6760697142546376,0.6761165030058425,1.7351112365722656,-1.3225395202636716,False,0.3585401096282292,0.3585649231106744
V60,0.6,0.6,1.1,2.3,0.7513211575718615,0.7513689248338027,1.5407417297363275,1.309630584716798,False,0.3984482140259923,0.3984735464421203
V70,0.7,0.5,0.9,1.5,0.8164797538752095,0.8165490222544313,2.1895919799804693,-1.2650985717773426,False,0.4330037780000129,0.433040513105515
V80,0.8,0.9,1.7,2.3,0.8909495911802996,0.8910264414720858,1.2680419921875004,1.2513427734375009,False,0.472497373214229,0.4725381292360726
