depth,activation,seed,warmup,test_errors,train_errors_10k,final_train_loss,penultimate_train_loss,loss_plateaued,duration_seconds
8,gelu,3,0,2012,158,0.09137904160261154,0.1018103286075592,False,1211.5151740841102
8,gelu,4,0,2084,270,0.10017598584413528,0.10792363101482391,False,1223.2647733751219
8,gelu,5,0,2030,216,0.08839713276147843,0.1159912035560608,False,1223.2413216670975
8,gelu,6,0,2065,220,0.09516197613239288,0.10822660581588744,False,1224.170724082971
8,gelu,7,0,2054,205,0.08998723460674286,0.10474671750068665,False,1222.799519791035
8,gelu,8,0,1994,175,0.09452936073541642,0.11294531251907348,False,1223.8178935830947
8,gelu,9,0,2030,262,0.09702776539325714,0.10652821142435073,False,1223.6896550410893
8,gelu,10,0,2128,296,0.09221100496530533,0.10390000443935395,False,1224.814953791909
8,gelu,11,0,2063,222,0.09242880315065384,0.09439924270629883,False,1224.227296374971
8,gelu,12,0,2037,220,0.0956658571267128,0.1076803171634674,False,1223.6690765421372
8,relu,3,0,2113,577,0.23183836815834044,0.27526668557167056,False,1100.5452392499428
8,relu,4,0,2185,682,0.22782394861221314,0.2502869900894165,False,1106.7207469160203
8,relu,5,0,2232,693,0.2306351686000824,0.2725472573900223,False,1153.911399625009
8,relu,6,0,2175,531,0.2347918842983246,0.2771221974849701,False,1134.8007439170033
8,relu,7,0,2124,552,0.2341520138835907,0.26652698112487794,False,1576.300100625027
8,relu,8,0,2451,906,0.20776439440727235,0.2552257657623291,False,1346.8845337498933
8,relu,9,0,2206,573,0.2291799605846405,0.2763593176651001,False,1116.3715120831039
8,relu,10,0,2093,478,0.207608163394928,0.2503469156742096,False,1731.5033350840677
8,relu,11,0,2125,635,0.26135510294914244,0.3062637091445923,False,1774.6059592911042
8,relu,12,0,2116,412,0.20556414017677307,0.24019365934371947,False,1865.884717459092
8,tanh,3,0,2570,935,0.3259097704219818,0.358282080039978,False,1659.1889610840008
8,tanh,4,0,2542,905,0.29055735563278196,0.32915280929565427,False,1547.9844185828697
8,tanh,5,0,2469,835,0.3238147879123688,0.34494149612426755,False,1258.2003647501115
8,tanh,6,0,2524,1011,0.3133745164489746,0.3316540451812744,False,1281.6108064579312
8,tanh,7,0,2465,839,0.29537136519432067,0.32369120990753175,False,1322.6469941660762
4,gelu,3,0,2570,214,0.05401853516817093,0.049677665061950683,True,895.3539979159832
4,gelu,4,0,2490,150,0.047996097685098646,0.05140069249987602,False,879.4290405830834
4,gelu,5,0,2482,133,0.04592755014240742,0.055165121136903764,False,897.5375783338677
4,gelu,6,0,2404,104,0.05327771208286285,0.05867141592621803,False,947.6831167498603
4,gelu,7,0,2531,137,0.05239172508716583,0.059572336843013766,False,899.0051437921356
4,gelu,8,0,2530,140,0.047917887761592864,0.05870430603981018,False,952.9713087501004
4,gelu,9,0,2617,226,0.059229780638217926,0.04812819943547249,True,943.6801298330538
4,gelu,10,0,2465,111,0.047095756287574765,0.0584557283604145,False,938.4418902918696
4,gelu,11,0,2449,100,0.05066732054591179,0.05924792164206505,False,864.86897554202
4,gelu,12,0,2438,149,0.05146811525464058,0.05563649324893952,False,895.2491222079843
4,relu,3,0,2696,438,0.11651896679162979,0.14107532870292663,False,780.409672249807
4,relu,4,0,2697,381,0.11955752506256104,0.14879540856838228,False,924.6264420410153
4,relu,5,0,2562,252,0.1367550081539154,0.17409092270851134,False,768.3655369579792
4,relu,6,0,2567,206,0.10108060108184815,0.12497792303204537,False,735.4220522500109
4,relu,7,0,2588,266,0.11469540446758271,0.1396805915093422,False,731.1407365838531
4,relu,8,0,2595,436,0.1595140213596821,0.20177835741519928,False,732.9176692499314
4,relu,9,0,2697,240,0.11616018773794175,0.15082255263328553,False,790.1228836670052
4,relu,10,0,2718,327,0.13558193539619445,0.17455194509983063,False,794.0458504999988
4,relu,11,0,2607,278,0.1052667044019699,0.12772355399608612,False,797.1714476249181
4,relu,12,0,2409,181,0.11527457464456559,0.15065976035118103,False,794.1974635000806
