a,n,n_own,n_crossings,own_excess,free_offset,N3_pass
1.3,400,50,49,0.04224464060529609,0.0706079644141755,True
1.3,1600,50,48,0.0390920554854981,0.05587248371935205,True
1.3,6400,50,48,0.011979823455233074,0.04214727870231538,False
1.5,400,50,49,0.04444444444444429,0.10620004391810789,False
1.5,1600,50,48,0.03580246913580254,0.0853060131370893,False
1.5,6400,50,48,0.011111111111111072,0.07479115738141973,False
