optimizer,budget,seed,w2,solved,gstar,R
adamw,5000,0,6.172813892364502,False,0.06624635170956061,0.20446320007562033
adamw,5000,1,8.851411819458008,False,0.06624635170956061,0.2931868702589885
adamw,5000,2,10.513899803161621,True,0.06624635170956061,0.3482537520996624
adamw,5000,3,8.195381164550781,False,0.06624635170956061,0.27145705151036975
adamw,5000,4,0.4649389088153839,False,0.06624635170956061,0.015400253238421627
adamw,5000,5,9.611382484436035,True,0.06624635170956061,0.31835951223953
adamw,5000,6,7.394359111785889,False,0.06624635170956061,0.2449246571930811
adamw,5000,7,10.569877624511719,True,0.06624635170956061,0.3501079153202092
adamw,5000,8,0.44469815492630005,False,0.06624635170956061,0.014729815187920174
adamw,5000,9,9.032849311828613,False,0.06624635170956061,0.29919665622543046
adamw,5000,10,10.165509223937988,False,0.06624635170956061,0.33671394967788926
adamw,5000,11,8.210227012634277,False,0.06624635170956061,0.27194879314715276
adamw,5000,12,10.110355377197266,False,0.06624635170956061,0.33488707911322874
adamw,5000,13,6.832086563110352,False,0.06624635170956061,0.22630040468498577
adamw,5000,14,2.7917938232421875,False,0.06624635170956061,0.09247307775754042
adamw,5000,15,8.662333488464355,False,0.06624635170956061,0.28692399545115743
adamw,5000,16,8.819534301757812,False,0.06624635170956061,0.29213098563439105
adamw,5000,17,0.6246532797813416,False,0.06624635170956061,0.02069050043446266
adamw,5000,18,9.015820503234863,False,0.06624635170956061,0.2986326080037823
adamw,5000,19,9.967485427856445,False,0.06624635170956061,0.33015477265684917
adamw,5000,20,7.703138828277588,False,0.06624635170956061,0.25515242204282484
adamw,5000,21,0.840736448764801,False,0.06624635170956061,0.027847861239959998
adamw,5000,22,6.700899124145508,False,0.06624635170956061,0.22195506007421498
adamw,5000,23,9.970850944519043,False,0.06624635170956061,0.33026624925710657
adamw,5000,24,9.603495597839355,False,0.06624635170956061,0.31809827350784153
adamw,5000,25,6.163984775543213,False,0.06624635170956061,0.20417075168650636
adamw,5000,26,9.560277938842773,False,0.06624635170956061,0.3166667673888658
adamw,5000,27,7.523833274841309,False,0.06624635170956061,0.24921325266461627
adamw,5000,28,8.345683097839355,False,0.06624635170956061,0.27643552887800066
adamw,5000,29,2.6796000003814697,False,0.06624635170956061,0.0887568620331048
adamw,6000,0,7.96382474899292,False,0.06624635170956061,0.2637871676375441
adamw,6000,1,10.590758323669434,True,0.06624635170956061,0.35079955039038097
adamw,6000,2,12.14840316772461,True,0.06624635170956061,0.4023936944793124
adamw,6000,3,9.974039077758789,False,0.06624635170956061,0.3303718503550552
adamw,6000,4,0.43531733751296997,False,0.06624635170956061,0.014419092723076857
adamw,6000,5,11.359025955200195,True,0.06624635170956061,0.3762470142531099
adamw,6000,6,9.351899147033691,False,0.06624635170956061,0.3097646000233669
adamw,6000,7,12.197311401367188,True,0.06624635170956061,0.4040136905030022
adamw,6000,8,0.41411352157592773,False,0.06624635170956061,0.013716754999001813
adamw,6000,9,10.755270004272461,True,0.06624635170956061,0.35624869971716044
adamw,6000,10,11.818553924560547,True,0.06624635170956061,0.39146803999242297
adamw,6000,11,10.149227142333984,True,0.06624635170956061,0.33617463542563797
adamw,6000,12,11.780233383178711,True,0.06624635170956061,0.390198741961382
adamw,6000,13,8.70325756072998,False,0.06624635170956061,0.2882795306935054
adamw,6000,14,5.538610935211182,False,0.06624635170956061,0.18345638399820918
adamw,6000,15,10.42501449584961,True,0.06624635170956061,0.3453095884346605
adamw,6000,16,10.748100280761719,True,0.06624635170956061,0.356011215704484
adamw,6000,17,0.6016183495521545,False,0.06624635170956061,0.019927510389678705
adamw,6000,18,10.718653678894043,False,0.06624635170956061,0.3550358507324953
adamw,6000,19,11.712408065795898,True,0.06624635170956061,0.38795215204630484
adamw,6000,20,9.47884750366211,False,0.06624635170956061,0.3139695327644454
adamw,6000,21,3.3276498317718506,False,0.06624635170956061,0.11022233056090912
adamw,6000,22,8.445977210998535,False,0.06624635170956061,0.2797575884253714
adamw,6000,23,11.657636642456055,True,0.06624635170956061,0.3861379485592026
adamw,6000,24,11.354037284851074,True,0.06624635170956061,0.37608177364785444
adamw,6000,25,7.924798488616943,False,0.06624635170956061,0.2624944939521562
adamw,6000,26,11.415349006652832,True,0.06624635170956061,0.37811261259105344
adamw,6000,27,9.250635147094727,False,0.06624635170956061,0.30641041474563013
adamw,6000,28,10.112194061279297,False,0.06624635170956061,0.33494798216941923
adamw,6000,29,5.289226055145264,False,0.06624635170956061,0.1751959647602625
adamw,8000,0,11.399816513061523,True,0.06624635170956061,0.3775981270743653
adamw,8000,1,13.741379737854004,True,0.06624635170956061,0.4551581375442531
adamw,8000,2,15.064447402954102,True,0.06624635170956061,0.4989823404831372
adamw,8000,3,13.237064361572266,True,0.06624635170956061,0.43845361064940336
adamw,8000,4,0.3976683020591736,False,0.06624635170956061,0.0131720371009779
adamw,8000,5,14.465821266174316,True,0.06624635170956061,0.4791539416833126
adamw,8000,6,12.710665702819824,True,0.06624635170956061,0.42101761530582577
adamw,8000,7,15.102849006652832,True,0.06624635170956061,0.5002543235555559
adamw,8000,8,0.3708410859107971,False,0.06624635170956061,0.012283434502801024
adamw,8000,9,13.869388580322266,True,0.06624635170956061,0.4593981969442962
adamw,8000,10,14.7810640335083,True,0.06624635170956061,0.48959578330266373
adamw,8000,11,13.504237174987793,True,0.06624635170956061,0.4473032227317823
adamw,8000,12,14.759550094604492,True,0.06624635170956061,0.48888317332102393
adamw,8000,13,12.128313064575195,True,0.06624635170956061,0.40172824645975364
adamw,8000,14,9.61750316619873,False,0.06624635170956061,0.31856224865790694
adamw,8000,15,13.600505828857422,True,0.06624635170956061,0.450491946283209
adamw,8000,16,14.033968925476074,True,0.06624635170956061,0.4648496206590662
adamw,8000,17,0.5968577265739441,False,0.06624635170956061,0.01976982343759313
adamw,8000,18,13.811461448669434,True,0.06624635170956061,0.4574794663757964
adamw,8000,19,14.79709529876709,True,0.06624635170956061,0.49012678972100526
adamw,8000,20,12.783041000366211,True,0.06624635170956061,0.42341491501399675
adamw,8000,21,7.977753162384033,False,0.06624635170956061,0.26424852092367607
adamw,8000,22,11.810173034667969,True,0.06624635170956061,0.3911904383026915
adamw,8000,23,14.637935638427734,True,0.06624635170956061,0.4848549163025977
adamw,8000,24,14.446600914001465,True,0.06624635170956061,0.47851730257830044
adamw,8000,25,11.369719505310059,False,0.06624635170956061,0.3766012185939108
adamw,8000,26,14.593640327453613,True,0.06624635170956061,0.4833877149276597
adamw,8000,27,12.505702018737793,False,0.06624635170956061,0.414228567154133
adamw,8000,28,13.345954895019531,True,0.06624635170956061,0.442060410937698
adamw,8000,29,9.357929229736328,False,0.06624635170956061,0.30996433551314523
adamw,4000,0,4.417346477508545,False,0.06624635170956061,0.14631654418600987
adamw,4000,1,7.037173271179199,False,0.06624635170956061,0.2330935277818282
adamw,4000,2,8.749534606933594,False,0.06624635170956061,0.2898123734329475
adamw,4000,3,6.382327556610107,False,0.06624635170956061,0.2114029580204069
adamw,4000,4,0.499581515789032,False,0.06624635170956061,0.016547726401277812
adamw,4000,5,7.749643802642822,False,0.06624635170956061,0.25669281448684655
adamw,4000,6,5.083879470825195,False,0.06624635170956061,0.16839423373665038
adamw,4000,7,8.811686515808105,False,0.06624635170956061,0.2918710420403082
adamw,4000,8,0.4795442819595337,False,0.06624635170956061,0.015884029581499984
adamw,4000,9,7.228919506072998,False,0.06624635170956061,0.23944477203970752
adamw,4000,10,8.399784088134766,False,0.06624635170956061,0.2782275254934733
adamw,4000,11,6.0282883644104,False,0.06624635170956061,0.19967605559769164
adamw,4000,12,8.321624755859375,False,0.06624635170956061,0.2756386401858233
