a,Ghat_restricted,Ghat_certified,Ghat_cert_hi,ratio,pct
1.02,0.001615604787961633,0.001626744762345922,0.001628037562345922,1.006895234816891,0.6895234816890916
1.05,0.006335790677169939,0.006360085993950548,0.006361397993950548,1.0038346148126631,0.38346148126631174
1.1,0.017554463353818495,0.017671950853019425,0.017678670853019426,1.006692742286273,0.6692742286273035
1.15,0.03165256267415195,0.031918407628364065,0.031925287628364066,1.008398844572203,0.8398844572202968
1.25,0.06624635170956061,0.0665056222110576,0.0665416222110576,1.0039137325272445,0.39137325272444734
1.3,0.08578310157628577,0.08610179387777928,0.08613859387777928,1.003715094180992,0.3715094180992029
1.35,0.1067705918459203,0.10691355066123354,0.10695115066123353,1.0013389343717372,0.1338934371737155
1.4,0.1286030010801844,0.12877189555569046,0.12881029555569046,1.0013133011989412,0.13133011989412413
1.45,0.1512839606725933,0.15154531873732013,0.15158451873732012,1.001727599301108,0.1727599301108107
1.5,0.17447768424209897,0.1751262004888403,0.17516620048884032,1.0037169008149,0.37169008149000593
1.6,0.22290642494654067,0.22436020212556196,0.22456820212556197,1.0065219168957107,0.6521916895710689
2.0,0.4402489042560642,0.441033924063305,0.441273924063305,1.001783127225648,0.17831272256481068
3.0,1.0489010419504075,1.0522977578507096,1.0526177578507097,1.0032383568749117,0.32383568749116964
