A,U,mean_abs_h,p,q,region,sup_bridge_to_next,sup_over_neighbourhood,margin_B24,margin_Bfull
0.6,0.3713592768484782,2.4814539929493757,1.7015380859375,1.4043528734006785,-,0.3912214991571797,0.3912214991571797,-0.0032479160703897114,0.08616412706392995
0.62,0.36684803133605537,2.4373467821124306,1.6929931640625,1.395327939607222,-,0.38636505313208735,0.3912214991571797,-0.0032479160703897114,0.08616412706392995
0.64,0.36239722980267397,2.3967823329413362,1.6849365234375,1.3870347572024249,-,0.3815923684505154,0.3912214991571797,-0.0032479160703897114,0.08616412706392995
0.66,0.35800543693071873,2.3586931519796686,1.6773681640625,1.3789854919271798,-,0.37689420025196163,0.3912214991571797,-0.0032479160703897114,0.08616412706392995
0.68,0.3536713044967129,2.322289575524869,1.6700439453125,1.3711801437814837,-,0.37227338195469495,0.3912214991571797,-0.0032479160703897114,0.08616412706392995
0.7,0.34939358847180274,2.2879793482892223,1.6629638671875,1.3638626298948975,+,0.3677350065059121,0.3912214991571797,-0.0032479160703897114,0.08616412706392995
0.72,0.3451710967803512,2.2563909725560922,1.6563720703125,1.3570329502674172,+,0.3632727782334025,0.3912214991571797,-0.0032479160703897114,0.08616412706392995
0.74,0.34100273496604333,2.227004326735916,1.6502685546875,1.3504471877694895,+,0.35887128938298923,0.3912214991571797,-0.0032479160703897114,0.08616412706392995
0.76,0.33688744608965776,2.1983843293331473,1.6441650390625,1.3441053424011147,+,,0.3912214991571797,-0.0032479160703897114,0.08616412706392995
