optimizer,budget,seed,w2,R,solved
adam,4500,100,10.025213241577148,0.333366522214811,True
adam,4500,101,7.957201957702637,0.26459933362802973,False
adam,4500,102,7.988896369934082,0.26565326193106276,False
adam,4500,103,3.646721839904785,0.12126375249676026,False
adam,4500,104,9.498398780822754,0.3158484604636841,False
adam,4500,105,9.144299507141113,0.30407366420334353,False
adam,4500,106,11.134553909301758,0.3702552178903386,True
adam,4500,107,8.402256965637207,0.27939866373844763,False
adam,4500,108,10.44688892364502,0.3473884240184089,True
adam,4500,109,10.211342811584473,0.33955585364741786,False
adam,4500,110,10.647083282470703,0.35404544921683184,True
adam,4500,111,7.956166744232178,0.26456490987004266,False
adam,4500,112,7.631300449371338,0.25376219233248215,False
adam,4500,113,10.486785888671875,0.34871511026013086,False
adam,4500,114,9.842775344848633,0.3272999492964077,False
adam,4500,115,11.4579439163208,0.3810088447071585,True
adam,4500,116,13.263712882995605,0.4410557390562217,True
adam,4500,117,0.3540099859237671,0.011771827191393937,False
adam,4500,118,11.529107093811035,0.3833752204059105,False
adam,4500,119,9.81926441192627,0.3265181446850256,False
adam,4500,120,6.435757160186768,0.21400701716874504,False
adam,4500,121,0.6030727028846741,0.02005386267192476,False
adam,4500,122,8.946194648742676,0.2974861207679328,False
adam,4500,123,11.083475112915039,0.3685567043225933,False
adam,4500,124,11.568168640136719,0.3846741266273683,True
adam,4500,125,0.37388375401496887,0.012432685847685756,False
adam,4500,126,9.593155860900879,0.31899939974843344,False
adam,4500,127,11.340189933776855,0.37709319376870093,True
adam,4500,128,4.397063732147217,0.14621472970406288,False
adam,4500,129,10.711917877197266,0.35620138174837773,True
adam,4500,130,11.241966247558594,0.37382698008479637,True
adam,4500,131,9.866597175598145,0.3280920921345091,True
adam,4500,132,8.733345031738281,0.2904082726598015,False
adam,4500,133,6.714362144470215,0.22327141608418133,False
adam,4500,134,11.129125595092773,0.3700747111833258,True
adam,4500,135,5.974433898925781,0.19866672190344695,False
