dataset,depth,width,activation,seed,quantizer,n_inputs,output_full_precision_pairs,output_post_hoc_pairs,output_interleaved_pairs,post_hoc_superset_holds,interleaved_superset_holds,f_not_g_pairs,f_not_g_within_class,f_not_g_between_class,final_post_hoc_pairs,final_interleaved_pairs,final_qf_not_g,final_qf_not_g_within,final_qf_not_g_between,final_g_not_qf,final_g_not_qf_within,final_g_not_qf_between,final_containment_holds,recovery_max_saturation_deviation
linked_tori,6,15,tanh,3,float16,2000,0,26506,25649,True,True,0,0,0,5088,5102,128,128,0,142,142,0,False,0.0
linked_tori,6,15,tanh,3,bfloat16,2000,0,172683,182539,True,True,0,0,0,31575,31797,2543,2543,0,2765,2765,0,False,0.0
linked_tori,6,15,tanh,3,fixed-8,2000,0,999000,999000,True,True,0,0,0,145354,144547,7291,7291,0,6484,6484,0,False,0.0
linked_tori,6,15,tanh,3,fixed-6,2000,0,999000,999000,True,True,0,0,0,466955,455622,29025,29025,0,17692,17692,0,False,0.0
linked_tori,6,15,tanh,3,fixed-4,2000,0,999000,989042,True,True,0,0,0,769605,686281,149280,149280,0,65956,65132,824,False,0.0
linked_tori,6,15,tanh,4,float64,2000,0,0,0,True,True,0,0,0,0,0,0,0,0,0,0,0,True,0.0
linked_tori,6,15,tanh,4,float32,2000,0,0,1,True,True,0,0,0,0,0,0,0,0,0,0,0,True,0.0
linked_tori,6,15,tanh,4,float16,2000,0,51670,52079,True,True,0,0,0,9220,9213,472,472,0,465,465,0,False,0.0
linked_tori,6,15,tanh,4,bfloat16,2000,0,193232,200184,True,True,0,0,0,78818,78897,3330,3330,0,3409,3409,0,False,0.0
linked_tori,6,15,tanh,4,fixed-8,2000,0,999000,999000,True,True,0,0,0,307599,310421,6084,6084,0,8906,8906,0,False,0.0
linked_tori,6,15,tanh,4,fixed-6,2000,0,999000,999001,True,True,0,0,0,538071,543211,27951,27951,0,33091,33091,0,False,0.0
linked_tori,6,15,tanh,4,fixed-4,2000,0,999000,977727,True,True,0,0,0,764744,677451,165963,165963,0,78670,70387,8283,False,0.0
linked_tori,6,30,tanh,0,float64,2000,0,0,0,True,True,0,0,0,0,0,0,0,0,0,0,0,True,0.0
