a,EXT,n,pred,obs,tol,median_ratio
1.3,PASS,30,0.02513353149982995,0.029518046014339827,0.01,0.0035418534444108503
1.5,PASS,30,0.05302960089679768,0.0643322397616437,0.01325740022419942,0.01403531295133275
