w2_glob,R_glob,w2_solve,R_solve,window,a,gstar
4.95999999999999,0.21289735632182294,7.109999999999998,0.3051814926306781,base,1.3,0.08584570819428361
2.5299999999999994,0.22107299523479518,3.4799999999999898,0.30408459423600204,base,1.5,0.1747612610551741
2.679999999999996,0.22299594452241436,5.099999999999998,0.42435795412847555,G1_wide_gap,1.3,0.16641488397195126
1.4100000000000004,0.23789505114254794,2.51,0.42348693501262064,G1_wide_gap,1.5,0.33743978885467785
12.229999999999995,0.12868019387481414,12.589999999999998,0.13246800007227394,G2_narrow_gap,1.3,0.021043367763665444
6.149999999999997,0.1319213974936204,6.46999999999999,0.13878560029003625,G2_narrow_gap,1.5,0.04290126747760015
5.699999999999996,0.20386102608617593,,,G3_far_outer,1.3,0.07153018459164073
2.879999999999992,0.209052254177829,8.51,0.6177203760601839,G3_far_outer,1.5,0.14517517651238165
2.1299999999999972,0.1531267939147481,7.52,0.540616662083994,G4_shifted,1.3,0.1437810271499984
1.1500000000000001,0.16314434645404233,3.7099999999999955,0.526317848125649,G4_shifted,1.5,0.28372929818094317
