a,Ghat_cert,w2_glob,R_glob_cert,w2_glob_fine,R_glob_fine_cert,w2_solve,R_solve_cert,n_runs,n_crossings,budgets,cross_R_median_pooled,cross_R_ci95_lo,cross_R_ci95_hi,cross_R_median_of_cell_medians,cross_w2_median_pooled,cross_w2_median_of_cell_medians,offset_vs_R_glob_pct
1.3,0.0861017938777792,4.999999999999998,0.21525448469444794,,,7.1499999999999995,0.30781391311306067,200,145,2000/4000/8000/16000/32000,0.2340508491581853,0.2320964238586,0.2386471851074995,0.23384115717928716,5.43660796406678,5.4317371717300755,8.634743434601532
1.35,0.1069135506612335,4.05,0.2164999400889978,4.039999999999973,0.21596537233569024,5.749999999999999,0.30737645815104625,200,154,2000/4000/8000/16000/32000,0.2381477940467965,0.23625642873563,0.2427384716863254,0.23779549964207397,4.454959966700426,4.448369700030884,9.836288889651467
1.4,0.1287718955556904,3.3999999999999986,0.2189122224446736,3.3799999999999835,0.21762450348911572,4.749999999999999,0.3058332519447647,200,162,2000/4000/8000/16000/32000,0.2421299317363019,0.2404346810027162,0.24677792113977845,0.2421299317363019,3.7606021203840583,3.7606021203840583,10.605944717178218
1.45,0.1515453187373201,2.8999999999999986,0.21974071216911403,2.8999999999999893,0.21974071216911334,4.05,0.3068792704430732,200,170,2000/4000/8000/16000/32000,0.2459760475179313,0.2447677863770432,0.2518322852686139,0.2459760475179313,3.2462374894508224,3.2462374894508224,11.93922377416634
1.5,0.1751262004888403,2.55,0.22328590562327139,2.529999999999993,0.2215346436183824,3.4999999999999982,0.3064708508554704,200,172,2000/4000/8000/16000/32000,0.249837738915896,0.24877798753103625,0.2562408571214933,0.249837738915896,2.853230849735892,2.853230849735892,11.891405871995776
1.6,0.2243602021255619,2.05,0.22996920717870092,2.01,0.22548200313618968,2.749999999999999,0.3084952779226475,200,171,2000/4000/8000/16000/32000,0.2579534995726019,0.257478499290098,0.2654120201360672,0.2579534995726019,2.299458612791227,2.299458612791227,12.168712819084227
