a,n,seed,cross_step,w2_abs,R_cross
1.3,400,300000,1827.0,5.05059977271746,0.2174328502948386
1.3,400,300001,3843.0,5.086017289027005,0.21895760613931228
1.3,400,300002,1569.0,5.397799213803126,0.23238009765025772
1.3,400,300003,3535.0,5.952938882770676,0.256279358325669
1.3,400,300004,2621.0,4.820574355696129,0.2075300497733282
1.3,400,300005,4935.0,5.69205408387881,0.24504803373565234
1.3,400,300006,4045.0,5.259467166328933,0.22642477893110063
1.3,400,300007,5050.0,5.097918974771606,0.21946998438570214
1.3,400,300008,3459.0,5.324431721658177,0.22922156130726073
1.3,400,300009,3549.0,5.752095116081558,0.2476328540251174
1.3,400,300010,5232.0,5.333346930587507,0.22960536904806597
1.3,400,300011,3135.0,5.873718195820645,0.2528688366963552
1.3,400,300012,2293.0,5.892050905302811,0.2536580762828825
1.3,400,300013,3891.0,5.831875209488536,0.2510674586041562
1.3,400,300014,6123.0,5.093342369544031,0.21927295742571984
1.3,400,300015,3036.0,5.306200723627758,0.22843670048996007
1.3,400,300016,6163.0,5.139079135057083,0.22124196620414038
1.3,400,300017,2500.0,5.20784372712603,0.22420234357034544
1.3,400,300018,3996.0,5.875890914760594,0.2529623741955161
1.3,400,300019,2812.0,5.160928908662593,0.2221826185557693
1.3,400,300020,5073.0,5.523737706201419,0.23780186270713574
1.3,400,300021,4294.0,5.203556746829984,0.22401778522344132
1.3,400,300022,2664.0,5.485367703002759,0.2361499996538854
1.3,400,300023,3826.0,5.8686176059904245,0.2526492517292468
1.3,400,300024,1949.0,5.514410291687948,0.23740030914621002
1.3,400,300025,3401.0,5.30913026374347,0.22856281981955992
1.3,400,300026,1830.0,4.573683439312817,0.19690117437696222
1.3,400,300027,2312.0,4.924172307083485,0.21199003450158538
1.3,400,300028,,,
1.3,400,300029,2725.0,4.594582010476549,0.19780087661030213
1.3,400,300030,3341.0,5.211111783869474,0.22434303634439787
1.3,400,300031,3403.0,5.990289891196758,0.25788735273998387
1.3,400,300032,1980.0,4.908496156266022,0.21131516214834425
1.3,400,300033,1979.0,5.359820601283679,0.23074508431680096
1.3,400,300034,2308.0,4.596580698031738,0.19788692190225357
1.3,400,300035,2871.0,5.2518237948021715,0.2260957249312364
1.3,400,300036,3011.0,4.998550677475771,0.21519209005982623
1.3,400,300037,2489.0,5.630057340278743,0.24237901831637906
1.3,400,300038,1810.0,4.62851426012659,0.19926169039289068
1.3,400,300039,2288.0,5.0211297431615085,0.21616413908963933
1.3,400,300040,3353.0,5.4157314980368145,0.23315209857068112
1.3,400,300041,2155.0,4.796716239627811,0.20650293647731496
1.3,400,300042,5377.0,5.835671828109369,0.25123090644111795
1.3,400,300043,2528.0,5.636438801600129,0.24265374595004555
1.3,400,300044,16795.0,4.991199025761625,0.2148755948595499
1.3,400,300045,3008.0,4.9541008345840645,0.21327848445454553
1.3,400,300046,2690.0,6.325390820142077,0.27231374829613497
1.3,400,300047,2868.0,4.9441622332392585,0.21285061875233358
1.3,400,300048,3980.0,6.2399845038369035,0.2686369297749507
1.3,400,300049,3412.0,5.442286779717276,0.23429532726548982
