a,threshold,R_A,R_q2,diff,tol,within,q2_frac_outside
1.01,glob,0.2006781499999999,0.20067815,1.1102230246251565e-16,0.00430509,True,0.0
1.01,solve,0.3083053999999999,0.3083053999999999,0.0,0.00430509,True,0.0
1.02,glob,0.20067815,0.20067815,0.0,0.00430509,True,0.0
1.02,solve,0.3083054,0.3083054,0.0,0.00430509,True,0.0
1.03,glob,0.20067815,0.20067815,0.0,0.00430509,True,0.0
1.03,solve,0.3083053999999998,0.3083053999999997,-1.1102230246251565e-16,0.00430509,True,0.0
1.04,glob,0.202830695,0.2006781499999999,-0.0021525450000001167,0.00430509,True,0.0
1.04,solve,0.3083053999999999,0.3083053999999999,0.0,0.00430509,True,0.0
