a,s,G,inner_active,outer_active,margin_inner_abs,margin_outer_abs
1.3,4.95,-0.00027129783980983646,I:x=+0.8,O-:x=-1.2,0.09388539873339807,0.013910498410548033
1.3,4.9625,0.00014642415336663106,I:x=+0.8,O-:x=-1.2,0.09343210969115434,0.014009749192473997
1.35,4.025,-0.0003645414002897418,I:x=+0.8,O-:x=-1.2,0.11673863042661559,0.016879602649404912
1.35,4.0375,0.0002642025295309658,I:x=+0.8,O-:x=-1.2,0.11605562395773505,0.017030075989163063
1.4,3.375,-0.00027212287959876846,I:x=+0.8,O-:x=-1.2,0.14057757260057047,0.019920217025766185
1.4,3.3875,0.0006259157882499977,I:x=+0.8,O-:x=-1.2,0.1396022571590949,0.020090817516804194
1.45,2.8875,-0.0008014669360019155,I:x=+0.8,O-:x=-1.2,0.16613785403793857,0.022795257862135543
1.45,2.9,0.0003636695159712211,I:x=+0.8,O-:x=-1.2,0.16486903897058802,0.023097747092121423
1.5,2.525,-0.00025260426594542196,I:x=+0.8,O-:x=-1.2,0.19145106933431633,0.025968338616154885
1.5,2.5375,0.001318309656547001,I:x=+0.8,O-:x=-1.2,0.18973519521417925,0.026497166460302424
1.6,2.0,-0.0004656256981130369,I:x=+0.8,O-:x=-1.2,0.2459201540688949,0.03185344627076736
1.6,2.0125,0.0021110533205663806,I:x=+0.8,O-:x=-1.2,0.24310583047446244,0.032530259592223665
