eps_lo,eps_hi,krawczyk_ok,u_mid,v_mid,box_width_u,box_width_v,shape_ok,inner_decreasing_on_negative_part,outer_minus_window_negative_sigma,outer_plus_increasing,outer_plus_dominated,other_orientation_negative,strict_max_barycentric_min,strict_max,all_ok
-0.05,-0.04975,True,1.6360096073462684,1.2249795741204672,0.00029359967469377857,0.0002914578634511944,True,True,True,True,True,True,0.004703080356328707,True,True
-0.04975,-0.0495,True,1.6358522869390526,1.2248722277335697,0.00029352433360396724,0.00029137741822959917,True,True,True,True,True,True,0.0047020268787189,True,True
-0.0495,-0.04925,True,1.6356950163481807,1.2247649136619057,0.00029344903108019516,0.00029129701485830495,True,True,True,True,True,True,0.0047009742515361315,True,True
-0.04925,-0.049,True,1.6355377955458221,1.2246576318878837,0.0002933737670929304,0.0002912166533044491,True,True,True,True,True,True,0.004699922474254805,True,True
-0.049,-0.04875,True,1.6353806245041684,1.2245503823939259,0.00029329854161330715,0.00029113633353583523,True,True,True,True,True,True,0.004698871546349746,True,True
-0.04875,-0.0485,True,1.6352235031954336,1.2244431651624694,0.0002932233546117935,0.00029105605552004477,True,True,True,True,True,True,0.004697821467296085,True,True
-0.0485,-0.04825,True,1.635066431591855,1.2243359801759646,0.00029314820605863545,0.0002909758192246592,True,True,True,True,True,True,0.004696772236569525,True,True
-0.04825,-0.048,True,1.6349094096656915,1.224228827416876,0.00029307309592518926,0.00029089562461770413,True,True,True,True,True,True,0.004695723853645932,True,True
-0.048,-0.04775,True,1.6347524373892253,1.2241217068676828,0.000292998024181923,0.00029081547166631694,True,True,True,True,True,True,0.004694676318001641,True,True
-0.04775,-0.0475,True,1.6345955147347602,1.2240146185108778,0.00029292299079952677,0.00029073536033874525,True,True,True,True,True,True,0.00469362962911337,True,True
-0.0475,-0.04725,True,1.6344386416746228,1.2239075623289666,0.0002928479957491348,0.00029065529060257056,True,True,True,True,True,True,0.004692583786458266,True,True
-0.04725,-0.047,True,1.634281818181162,1.223800538304471,0.00029277303900143714,0.0002905752624255964,True,True,True,True,True,True,0.004691538789513741,True,True
-0.047,-0.04675,True,1.6341250442267499,1.2236935464199257,0.00029269812052712396,0.00029049527577584833,True,True,True,True,True,True,0.004690494637757729,True,True
-0.04675,-0.0465,True,1.633968319783779,1.223586586657878,0.0002926232402975515,0.00029041533062090785,True,True,True,True,True,True,0.004689451330668411,True,True
-0.0465,-0.04625,True,1.6338116448246665,1.2234796590008912,0.0002925483982836319,0.0002903354269290226,True,True,True,True,True,True,0.004688408867724429,True,True
-0.04625,-0.046,True,1.6336550193218498,1.2233727634315414,0.00029247359445605525,0.000290255564667774,True,True,True,True,True,True,0.004687367248404797,True,True
