family,a,seed,window,source,stored_cross_step,reproduced,cross_step_check,first_positive_step,R_check,R_step,R_interp_step,R_ref,check_interval,R_interp_check,growth_over_interval_rel,growth_one_step_rel,residual_check,residual_interp_step,residual_interp_check,R_ref_kind
phase 2b (S3),1.3,31,base,stored,2089,True,2089,2089,0.2388271613617621,0.2388271613617621,0.23873379483182405,0.2315331050994656,1,0.23873379483182405,0.00045797589169296237,0.00045797589169296237,0.03150329737582469,0.0311000438976754,0.0311000438976754,R_own (n = 400)
phase 2b (S3),1.3,32,base,stored,3004,True,3004,3004,0.24938458890768314,0.24938458890768314,0.24929902485415514,0.1960161151248817,1,0.24929902485415514,0.0004858475024202724,0.0004858475024202724,0.2722657458485003,0.2718292304452976,0.2718292304452976,R_own (n = 400)
phase 2b (S3),1.3,33,base,stored,2519,True,2519,2519,0.23884310146755278,0.23884310146755278,0.2388256262197922,0.2318021732053337,1,0.2388256262197922,0.0004589473423547029,0.0004589473423547029,0.030374729299807335,0.030299340672000685,0.030299340672000685,R_own (n = 400)
phase 2b (S3),1.3,34,base,stored,2510,True,2510,2510,0.20664267631822958,0.20664267631822958,0.2066263081005229,0.2003212048187707,1,0.2066263081005229,0.00045348479089010567,0.00045348479089010567,0.03155667671416951,0.03147496685364093,0.03147496685364093,R_own (n = 400)
phase 2b (S3),1.3,35,base,stored,3654,True,3654,3654,0.23357045543203045,0.23357045543203045,0.23356984454204846,0.2266898791938405,1,0.23356984454204846,0.0003771651644643557,0.0003771651644643557,0.030352375071435844,0.03034968024454665,0.03034968024454665,R_own (n = 400)
phase 2b (S3),1.3,36,base,stored,2430,True,2430,2430,0.2677313440089386,0.2677313440089386,0.2676343877484701,0.2608615286390842,1,0.2676343877484701,0.00041388634647133803,0.00041388634647133803,0.026335103553576156,0.025963426438233128,0.025963426438233128,R_own (n = 400)
phase 2b (S3),1.3,37,base,stored,3639,True,3639,3639,0.21609933559797923,0.21609933559797923,0.21596860146894076,0.2092004523124166,1,0.21596860146894076,0.0006377111434389426,0.0006377111434389426,0.03297738226330371,0.03235245947946952,0.03235245947946952,R_own (n = 400)
phase 2b (S3),1.3,38,base,stored,1982,True,1982,1982,0.25602724658926945,0.25602724658926945,0.25600640452761053,0.2482153276632853,1,0.25600640452761053,0.00043193195856268055,0.00043193195856268055,0.03147234701227375,0.03138837934655725,0.03138837934655725,R_own (n = 400)
phase 2b (S3),1.3,39,base,stored,2141,True,2141,2141,0.23429814159454046,0.23429814159454046,0.23419749212279567,0.2291114921466531,1,0.23419749212279567,0.00047188239049882427,0.00047188239049882427,0.022638102520703862,0.022198799058438468,0.022198799058438468,R_own (n = 400)
phase 2b (S3),1.35,0,base,stored,3540,True,3540,3540,0.21577424165365333,0.21577424165365333,0.2157240356117006,,1,0.2157240356117006,0.0005451101168622362,0.0005451101168622362,,,,none (growth relative to R_check)
phase 2b (S3),1.35,1,base,stored,2101,True,2101,2101,0.231116969456936,0.231116969456936,0.2310816257934043,,1,0.2310816257934043,0.0004938499545523176,0.0004938499545523176,,,,none (growth relative to R_check)
phase 2b (S3),1.35,2,base,stored,1466,True,1466,1466,0.22085203182756263,0.22085203182756263,0.22084367082669248,,1,0.22084367082669248,0.0006031888147859466,0.0006031888147859466,,,,none (growth relative to R_check)
phase 2b (S3),1.35,3,base,stored,2601,True,2601,2601,0.25965732234741956,0.25965732234741956,0.2595765832512825,,1,0.2595765832512825,0.0004265948613145361,0.0004265948613145361,,,,none (growth relative to R_check)
phase 2b (S3),1.35,4,base,stored,27616,True,27616,27616,0.19850656960182683,0.19850656960182683,0.19845381251947083,,1,0.19845381251947083,0.0011289453415937996,0.0011289453415937996,,,,none (growth relative to R_check)
phase 2b (S3),1.35,5,base,stored,1959,True,1959,1959,0.23729851160727874,0.23729851160727874,0.2372702177227286,,1,0.2372702177227286,0.0005097619530859457,0.0005097619530859457,,,,none (growth relative to R_check)
phase 2b (S3),1.35,6,base,stored,4176,True,4176,4176,0.21328970491848337,0.21328970491848337,0.21317210829190197,,1,0.21317210829190197,0.0009529911498654175,0.0009529911498654175,,,,none (growth relative to R_check)
phase 2b (S3),1.35,7,base,stored,1490,True,1490,1490,0.22741055789590214,0.22741055789590214,0.22737774579542333,,1,0.22737774579542333,0.0005729790846051449,0.0005729790846051449,,,,none (growth relative to R_check)
