protocol,dataset,depth,width,activation,monotonic,seed,train_data_seed,eval_data_seed,final_train_accuracy,final_eval_accuracy,perfect_eval,at_chance,best_epoch,epochs_run,stopped_early,learning_rate,batch_size,max_epochs,patience,initialization_scheme,initialization_gain,duration_seconds
author,linked_tori,3,3,tanh,True,0,10000,20000,0.967,0.9635,False,False,168,318,True,0.001,128,800,150,torch.nn.Linear.reset_parameters: kaiming_uniform_(a=sqrt(5)); bias_uniform_bound=1/sqrt(fan_in),0.5773502691896257,1.4447226249612868
author,linked_tori,3,3,tanh,True,1,10001,20001,0.951,0.952,False,False,133,283,True,0.001,128,800,150,torch.nn.Linear.reset_parameters: kaiming_uniform_(a=sqrt(5)); bias_uniform_bound=1/sqrt(fan_in),0.5773502691896257,0.7768850829452276
author,linked_tori,3,3,tanh,True,2,10002,20002,0.9585,0.957,False,False,426,576,True,0.001,128,800,150,torch.nn.Linear.reset_parameters: kaiming_uniform_(a=sqrt(5)); bias_uniform_bound=1/sqrt(fan_in),0.5773502691896257,1.5474397498182952
author,linked_tori,3,3,tanh,True,3,10003,20003,0.9475,0.952,False,False,95,245,True,0.001,128,800,150,torch.nn.Linear.reset_parameters: kaiming_uniform_(a=sqrt(5)); bias_uniform_bound=1/sqrt(fan_in),0.5773502691896257,0.614692207891494
author,linked_tori,3,3,tanh,True,4,10004,20004,0.9635,0.969,False,False,121,271,True,0.001,128,800,150,torch.nn.Linear.reset_parameters: kaiming_uniform_(a=sqrt(5)); bias_uniform_bound=1/sqrt(fan_in),0.5773502691896257,0.6856395001523197
author,linked_tori,3,3,tanh,True,5,10005,20005,0.949,0.9575,False,False,63,213,True,0.001,128,800,150,torch.nn.Linear.reset_parameters: kaiming_uniform_(a=sqrt(5)); bias_uniform_bound=1/sqrt(fan_in),0.5773502691896257,0.5220031670760363
author,linked_tori,3,3,tanh,True,6,10006,20006,0.9655,0.9635,False,False,413,563,True,0.001,128,800,150,torch.nn.Linear.reset_parameters: kaiming_uniform_(a=sqrt(5)); bias_uniform_bound=1/sqrt(fan_in),0.5773502691896257,1.490759916137904
author,linked_tori,3,3,tanh,True,7,10007,20007,0.959,0.9575,False,False,199,349,True,0.001,128,800,150,torch.nn.Linear.reset_parameters: kaiming_uniform_(a=sqrt(5)); bias_uniform_bound=1/sqrt(fan_in),0.5773502691896257,0.9431282919831574
author,linked_tori,3,3,tanh,True,8,10008,20008,0.9595,0.956,False,False,84,234,True,0.001,128,800,150,torch.nn.Linear.reset_parameters: kaiming_uniform_(a=sqrt(5)); bias_uniform_bound=1/sqrt(fan_in),0.5773502691896257,0.9710406670346856
author,linked_tori,3,3,tanh,True,9,10009,20009,0.961,0.957,False,False,126,276,True,0.001,128,800,150,torch.nn.Linear.reset_parameters: kaiming_uniform_(a=sqrt(5)); bias_uniform_bound=1/sqrt(fan_in),0.5773502691896257,0.842973958933726
