group,a,seed,init_branch,T_plus,T_minus
B45,1.3,200125,1,5.065625,4.828125
B45,1.3,200126,1,5.865625,4.171875
B45,1.3,200127,1,3.996875,6.065625
B45,1.3,200128,-1,4.871875,4.640625
B45,1.3,200129,-1,4.559375,5.303125
B45,1.3,200130,1,4.221875,6.046875
B45,1.3,200131,-1,5.240625,5.084375
B45,1.3,200132,-1,4.796875,5.390625
B45,1.3,200133,1,4.909375,4.821875
B45,1.3,200134,1,5.065625,4.934375
B45,1.3,200135,-1,5.965625,4.465625
B45,1.3,200136,-1,5.578125,4.521875
B45,1.3,200137,-1,4.303125,5.434375
B45,1.3,200138,-1,5.003125,5.203125
B45,1.3,200139,-1,5.334375,4.621875
B45,1.3,200140,-1,5.221875,4.734375
B45,1.3,200141,1,5.828125,4.128125
B45,1.3,200142,-1,4.959375,4.903125
B45,1.3,200143,-1,6.034375,3.640625
B45,1.3,200144,-1,5.528125,4.571875
B45,1.3,200145,1,5.340625,4.709375
B45,1.3,200146,-1,4.878125,5.353125
B45,1.3,200147,1,5.171875,4.909375
B45,1.3,200148,-1,5.971875,5.196875
B45,1.3,200149,-1,5.015625,4.640625
B45,1.3,200150,-1,5.053125,4.846875
B45,1.3,200151,1,5.771875,4.353125
B45,1.3,200152,1,5.103125,4.778125
B45,1.3,200153,1,4.915625,5.215625
B45,1.3,200154,-1,5.328125,4.934375
B45,1.3,200155,1,5.096875,4.890625
B45,1.3,200156,-1,4.859375,4.915625
B45,1.3,200157,-1,4.978125,4.690625
B45,1.3,200158,1,5.046875,4.609375
B45,1.3,200159,-1,4.203125,5.971875
B45,1.3,200160,1,5.140625,5.196875
B45,1.3,200161,-1,5.078125,4.553125
B45,1.3,200163,-1,5.559375,4.465625
B45,1.3,200164,-1,6.071875,4.321875
B45,1.3,200165,1,4.984375,4.903125
B45,1.3,200166,-1,4.390625,5.740625
B45,1.3,200167,1,4.453125,5.453125
B45,1.3,200168,1,4.903125,4.853125
B45,1.3,200169,1,4.915625,4.740625
B45,1.3,200170,1,4.959375,4.840625
B45,1.3,200171,-1,5.221875,4.496875
B45,1.3,200172,-1,5.634375,4.334375
B45,1.3,200173,1,5.546875,4.640625
B45,1.3,200174,1,4.815625,5.171875
B45,1.3,200175,1,4.121875,6.140625
B45,1.3,200176,1,4.978125,4.865625
B45,1.3,200177,1,5.146875,4.990625
B45,1.3,200178,-1,5.159375,4.815625
B45,1.3,200179,1,5.109375,5.103125
cross,1.3,0,1,4.740625,4.828125
cross,1.3,1,-1,5.103125,5.253125
cross,1.3,2,1,4.915625,4.884375
cross,1.3,3,1,4.628125,5.790625
cross,1.3,4,-1,4.346875,5.840625
cross,1.3,5,1,5.284375,4.834375
cross,1.3,6,1,4.684375,5.209375
cross,1.3,7,1,4.809375,5.028125
cross,1.3,8,1,5.028125,4.871875
cross,1.3,9,-1,4.521875,5.784375
cross,1.3,10,1,5.234375,4.853125
cross,1.3,11,-1,5.409375,4.671875
cross,1.3,12,1,4.834375,4.740625
