margin,budget,onset,bracketed
0.0,2000,1.6,True
0.0,8000,1.18,True
0.0,32000,1.06,True
0.01,2000,1.6,True
0.01,8000,1.18,True
0.01,32000,1.06,True
0.05,2000,1.7,True
0.05,8000,1.2,True
0.05,32000,1.08,True
