a,eps,s_lo,s_hi,s_rel_width,stopped_unresolved,Ghat_lo,Ghat_hi,Ghat_rel_width,Ghat_converged,Ghat_argmax_u,Ghat_argmax_v,R_lo,R_hi,A_lo,A_hi,K_lo,K_hi,all_converged,evaluations
1.01,0.010000000000000009,689.7292705,690.15767375,0.0006211179782023966,True,0.0005772852777999656,0.0005772855860686108,5.339970670607238e-07,True,1.5996940553188332,1.2001550734043136,0.19908527676368007,0.1992090385852589,0.6897292705000009,0.6901576737500009,0.5772852777999649,0.57728558606861,True,7
1.02,0.020000000000000018,245.37681525,245.682771375,0.0012468827777729276,True,0.0016267452597542587,0.001626746146710232,5.45233476461986e-07,True,1.5938825315997152,-1.1961739559713531,0.199582785530767,0.19983175082368604,0.6940304400369355,0.6948958146398677,0.5751413022176532,0.5751416158039449,True,7
1.03,0.030000000000000027,134.482197313,134.565468,0.0006191948723607,True,0.0029775168527597096,0.002977518645536517,6.021046718806246e-07,True,1.588139551177698,-1.1922375064798136,0.20021150444780703,0.20033559500767378,0.6987899953788572,0.6992226825608527,0.5730233854858211,0.5730237305058786,True,8
1.04,0.040000000000000036,87.839851,88.058358,0.002487561141241035,True,0.004567447818924819,0.00456745144240684,7.93327513342237e-07,True,1.5824637386060891,-1.1883448203511764,0.20060196793231552,0.20110113713153893,0.7027188080000009,0.7044668640000009,0.5709309773656016,0.5709314303008542,True,7
