q,a,budget,seed,w2,solved,gstar,R
2.0,1.05,2000,0,0.8763349652290344,False,0.004190706182271242,0.0018362311782628843
2.0,1.05,2000,1,9.428360939025879,False,0.004190706182271242,0.019755745237930222
2.0,1.05,2000,2,10.9348726272583,False,0.004190706182271242,0.02291241916069997
2.0,1.05,2000,3,8.25265121459961,False,0.004190706182271242,0.01729221823257543
2.0,1.05,2000,4,1.3588019609451294,False,0.004190706182271242,0.0028471698891075203
2.0,1.05,2000,5,0.3622246980667114,False,0.004190706182271242,0.0007589886407797508
2.0,1.05,2000,6,11.683677673339844,False,0.004190706182271242,0.024481430128664883
2.0,1.05,2000,7,0.6270037293434143,False,0.004190706182271242,0.0013137942024332855
2.0,1.05,2000,8,11.010089874267578,False,0.004190706182271242,0.02307002585172757
2.0,1.05,2000,9,9.362370491027832,False,0.004190706182271242,0.01961747194873209
2.0,1.05,2000,10,10.231517791748047,False,0.004190706182271242,0.021438642431948374
2.0,1.05,2000,11,10.866494178771973,False,0.004190706182271242,0.022769142167297085
2.0,1.05,2000,12,9.644670486450195,False,0.004190706182271242,0.02020899011676791
2.0,1.05,2000,13,9.389618873596191,False,0.004190706182271242,0.019674566931375148
2.0,1.05,2000,14,0.8633797764778137,False,0.004190706182271242,0.0018090854834667686
2.0,1.05,2000,15,0.2993849813938141,False,0.004190706182271242,0.0006273172462031087
2.0,1.05,2000,16,10.297876358032227,False,0.004190706182271242,0.021577687058935258
2.0,1.05,2000,17,10.57408618927002,False,0.004190706182271242,0.022156444182621415
2.0,1.05,2000,18,10.802932739257812,False,0.004190706182271242,0.02263595850853406
2.0,1.05,2000,19,7.780956268310547,False,0.004190706182271242,0.01630385076879559
2.0,1.05,8000,0,1.4751214981079102,False,0.004190706182271242,0.0030909003908610178
2.0,1.05,8000,1,52.4870719909668,False,0.004190706182271242,0.10997894854093015
2.0,1.05,8000,2,58.3197135925293,False,0.004190706182271242,0.12220039215025036
2.0,1.05,8000,3,48.703861236572266,False,0.004190706182271242,0.10205178619229205
2.0,1.05,8000,4,1.3426954746246338,False,0.004190706182271242,0.0028134211132085363
2.0,1.05,8000,5,0.36222827434539795,False,0.004190706182271242,0.0007589961343463514
2.0,1.05,8000,6,58.89283752441406,False,0.004190706182271242,0.1234012891525289
2.0,1.05,8000,7,0.6211695671081543,False,0.004190706182271242,0.0013015695725594467
2.0,1.05,8000,8,57.18464279174805,False,0.004190706182271242,0.11982201803917558
2.0,1.05,8000,9,51.73828125,False,0.004190706182271242,0.10840996754723164
2.0,1.05,8000,10,54.06645584106445,False,0.004190706182271242,0.11328831537332196
2.0,1.05,8000,11,57.09334945678711,False,0.004190706182271242,0.1196307262675651
2.0,1.05,8000,12,53.53652572631836,False,0.004190706182271242,0.11217792466930288
2.0,1.05,8000,13,51.2111701965332,False,0.004190706182271242,0.10730548377197824
2.0,1.05,8000,14,0.8571930527687073,False,0.004190706182271242,0.0017961221128188903
2.0,1.05,8000,15,37.292232513427734,False,0.004190706182271242,0.07814039467235911
2.0,1.05,8000,16,55.094581604003906,False,0.004190706182271242,0.11544260186877331
2.0,1.05,8000,17,55.83095169067383,False,0.004190706182271242,0.11698555720609694
2.0,1.05,8000,18,56.990386962890625,False,0.004190706182271242,0.11941498348770807
2.0,1.05,8000,19,44.3543701171875,False,0.004190706182271242,0.09293806653042225
2.0,1.05,32000,0,1.2929877042770386,False,0.004190706182271242,0.002709265782957243
2.0,1.05,32000,1,280.63470458984375,True,0.004190706182271242,0.588028795742261
2.0,1.05,32000,2,286.6629943847656,True,0.004190706182271242,0.6006601913983118
2.0,1.05,32000,3,276.6024475097656,True,0.004190706182271242,0.5795797934052658
2.0,1.05,32000,4,225.24656677246094,True,0.004190706182271242,0.4719710899543621
2.0,1.05,32000,5,0.321876585483551,False,0.004190706182271242,0.0006744450983571376
2.0,1.05,32000,6,287.3357238769531,True,0.004190706182271242,0.602069797219265
2.0,1.05,32000,7,0.4693460464477539,False,0.004190706182271242,0.000983445689236584
