variant,level,k,n,frac,ci95_lo,ci95_hi
preserved,0.6,0,543,0.0,0.0,0.006770492723878585
preserved,0.8,0,543,0.0,0.0,0.006770492723878585
preserved,0.9,7,543,0.01289134438305709,0.005198273720236329,0.02637984765684614
preserved,1.0,168,543,0.30939226519337015,0.2707203911044486,0.350153509348165
preserved,1.1,380,543,0.6998158379373849,0.6593307347921028,0.7381100838448732
preserved,1.25,525,543,0.9668508287292817,0.9481147411969688,0.9802376883697497
preserved,1.5,537,543,0.988950276243094,0.9761054573782658,0.99593445017771
preserved,2.0,537,543,0.988950276243094,0.9761054573782658,0.99593445017771
reset,0.6,0,543,0.0,0.0,0.006770492723878585
reset,0.8,0,543,0.0,0.0,0.006770492723878585
reset,0.9,7,543,0.01289134438305709,0.005198273720236329,0.02637984765684614
reset,1.0,168,543,0.30939226519337015,0.2707203911044486,0.350153509348165
reset,1.1,380,543,0.6998158379373849,0.6593307347921028,0.7381100838448732
reset,1.25,525,543,0.9668508287292817,0.9481147411969688,0.9802376883697497
reset,1.5,537,543,0.988950276243094,0.9761054573782658,0.99593445017771
reset,2.0,537,543,0.988950276243094,0.9761054573782658,0.99593445017771
