family,a,threshold,ghat,w2,R,t_min,t_max,frac_outside
A,1.01,glob,0.000577284785790777,695.2483590057087,0.2006781499999999,,,
A,1.01,solve,0.000577284785790777,1068.122381149112,0.3083053999999999,,,
A,1.02,glob,0.001626744762345922,246.72358521763778,0.20067815,,,
A,1.02,solve,0.001626744762345922,379.04581854057307,0.3083054,,,
A,1.03,glob,0.002977489696180058,134.7968728539737,0.20067815000000003,,,
A,1.03,solve,0.002977489696180058,207.09082580237796,0.30830539999999984,,,
A,1.04,glob,0.004567447367084476,88.81577769749858,0.202830695,,,
A,1.04,solve,0.004567447367084476,135.00118347145815,0.3083053999999999,,,
q2,1.01,glob,0.0004077036309763051,984.4315073645399,0.20067815000000008,-0.13822612346052113,0.3305341371652336,0.0
q2,1.01,solve,0.0004077036309763051,1512.3995793793554,0.3083053999999999,-0.13221742478563736,0.3115783824132526,0.0
q2,1.02,glob,0.0011474933296441202,349.76787196181374,0.20067815,-0.1945206565825442,0.46514881377453715,0.0
q2,1.02,solve,0.0011474933296441202,537.3545833083261,0.3083054,-0.18606483089158887,0.4384730614153085,0.0
q2,1.03,glob,0.002097821054778893,191.32056048617667,0.20067815000000006,-0.23707885400534098,0.5669163816595547,0.0
q2,1.03,solve,0.002097821054778893,293.9291693137236,0.30830539999999973,-0.22677302177607156,0.5344043796529776,0.0
q2,1.04,glob,0.003214240090707288,124.86817682361809,0.20067814999999994,-0.2724357585167386,0.6514638036926077,0.0
q2,1.04,solve,0.003214240090707288,191.83719404866105,0.30830539999999995,-0.2605929618700714,0.6141031129340708,0.0
