a,kind,s,w1,b1,b2,loss,gap,solves,steps
1.3,glob,4.9,-0.8349615095194078,-2.4498298983389137,14.791355657021814,0.35109024246229614,-0.0019592362830254118,False,0
1.3,glob,4.95,0.8336677309811489,-2.4511881389306143,14.948494822757185,0.3495050145126737,-0.00026766148246881727,False,0
1.3,glob,5.0,0.8323957692550212,-2.4525230620480576,15.105629597773714,0.3479278134951697,0.0013878829230673517,False,0
1.3,glob,5.05,0.831145070004654,-2.4538352458517543,15.262759976323453,0.3463585659565117,0.003008480175081374,False,0
1.3,glob,5.1,-0.8299151043494702,-2.4551252432123825,15.419885866034775,0.344797200320147,0.0045951636034060606,False,0
1.3,solve,7.05,-0.7939614192289721,-2.4924925645298157,21.544094016448078,0.2894429065040147,0.04778894689033697,False,0
1.3,solve,7.1,0.7932693100096655,-2.4932014526734463,21.70102786410621,0.28815288970123343,0.04855738538238086,False,0
1.3,solve,7.15,0.7925858019784757,-2.4939009435768615,21.857956848955293,0.2868688119532479,0.0493138070472563,True,0
1.3,solve,7.2,0.7919107381618703,-2.494591204788277,22.01488098242181,0.28559064056646066,0.050058467638999016,True,0
1.3,solve,7.25,0.7912439658346003,-2.4952723995516544,22.171800270057467,0.28431834326644567,0.05079161545644162,True,0
1.35,glob,3.95,0.891007462071761,3.880967108960007,-13.009692586690747,0.3521599949811987,-0.004254151762264513,False,0
1.35,glob,4.0,0.8892779534245621,3.8791511506724685,-13.166726106875416,0.35018472230776626,-0.0016445402196958447,False,0
1.35,glob,4.05,0.8875844809721313,-2.4058116172425064,12.12313502903263,0.3482219981988935,0.000896644458421747,False,0
1.35,glob,4.1,0.8859259209170174,-2.4075517530292907,12.280249003366066,0.34627167538167003,0.0033719223279096155,False,0
1.35,glob,4.15,0.8843011989509576,-2.4092556859582586,12.437356927369462,0.3443336113425655,0.005783689558154226,False,0
1.35,solve,5.65,0.8473619810922055,-2.447665858311828,17.147468528579893,0.2913281375827602,0.05702784079985079,False,0
1.35,solve,5.7,-0.8464269835272423,-2.448625035367004,17.304362679593737,0.2897172257859926,0.058231889119116254,False,0
1.35,solve,5.75,0.8455064391678448,-2.449568439045505,17.461249657450225,0.28811555732122857,0.05941259259665177,True,0
1.35,solve,5.8,0.8446000239204049,-2.450496416058957,17.61812942945127,0.2865230673743833,0.06057056345903922,True,0
1.35,solve,5.85,0.8437074201408427,-2.451409305409394,17.775002010295342,0.2849396922047464,0.061706396317005474,True,0
1.4,glob,3.3,0.9406293346183862,-2.360023363722412,9.768992052958149,0.35238834788392753,-0.005848431904609264,False,0
1.4,glob,3.35,-0.9384305754920708,-2.362332064648625,9.926088143533516,0.35000714292589663,-0.002105783775361303,False,0
1.4,glob,3.4,-0.9362864382438948,-2.364582416324743,10.083177187404598,0.34764430593266693,0.001520299617249421,False,0
