a,seed,w2_16000,w2_32000,w2_64000,w2_128000
1.3,700000,11.512166116933232,17.169547984612706,23.574759259931387,30.513511379759077
1.3,700001,12.402249876725548,17.93065096794502,24.3510747103955,31.434071408020756
1.3,700002,12.035951049436653,17.29762108308029,23.37769456355723,30.03207746903483
1.3,700003,12.076305449441378,17.460305852994235,23.74179369969239,30.667268972980082
1.3,700004,12.136779240448726,17.453604598562045,23.58832693954492,30.281039033090902
1.3,700005,12.212954962467807,17.69988554858983,24.117600874104017,31.221892953294258
1.3,700006,12.08776653557973,17.40828638206453,23.573671966570686,30.351669280246195
1.3,700007,12.116267499854478,17.625790409200327,23.982713038704016,30.962191095846283
1.3,700008,11.691263699031303,17.065877636400444,23.293959098553863,30.11912376593843
1.3,700009,12.557381847501244,18.197340036099593,24.72968569277651,31.924620571939624
1.3,700010,11.369107970931811,16.71786392068677,23.03998276161366,30.078225025100043
1.3,700011,12.515347578871749,18.106069236573262,24.601532848091672,31.77121770305349
1.3,700012,12.316547581714081,17.849487638084735,24.294801008089323,31.40039079854444
1.3,700013,0.1395606517710079,0.18305898567864587,0.2927951708318258,0.5603786113547622
1.3,700014,12.45097855984141,18.00082696429367,24.46946780216333,31.612552552635997
1.3,700015,12.187826474942892,17.620772754528282,23.915932749027725,30.804411931964076
1.3,700016,0.5100491128722818,11.068028948888324,20.724420667179324,29.084898588046507
1.3,700017,12.27794839869154,17.71013975453145,23.962152340471807,30.77415345055155
1.3,700018,12.412484658101002,17.996324235961197,24.453305601470134,31.544404240132195
1.3,700019,12.591831467545557,18.123913726343197,24.47742631089367,31.413909572285093
1.5,700000,11.468632922056265,15.11403080153339,18.925779258402773,22.985435440136595
1.5,700001,12.257359742117153,15.799084383279824,19.630875869586575,23.764969781937168
1.5,700002,11.765616904008317,15.084227263029529,18.657293024286147,22.512909775215444
1.5,700003,11.960898182252166,15.418030014152444,19.14918742433461,23.163692775104018
1.5,700004,11.879779171524996,15.216486014567382,18.790844656250776,22.620819481401522
1.5,700005,12.143341509108003,15.686463972599048,19.523534178797952,23.657179772521566
1.5,700006,11.861858247468255,15.243128846002742,18.90107304547963,22.858758735816522
1.5,700007,11.997676149419313,15.514032544685103,19.303122415289753,23.40111568338487
1.5,700008,11.624005418801106,15.07481886143177,18.754787329958575,22.683293385686838
1.5,700009,12.424315491847196,16.019177713309134,19.904454015601495,24.091412404967233
1.5,700010,11.515178869053678,15.073399622894392,18.92234750140668,23.078838219619154
1.5,700011,12.384739327965983,15.968955837992755,19.842878546687874,24.011450653992913
1.5,700012,12.233672227948583,15.78038882459278,19.612316077535098,23.74232040484394
1.5,700013,0.13645129438227038,0.17657822811966437,0.28223867885391135,0.5530956678138246
1.5,700014,12.334636470657639,15.894751330277545,19.74544570779013,23.888026376651737
1.5,700015,12.034872670546408,15.474155773872543,19.154242302379114,23.078526171321347
1.5,700016,0.5274404516218695,10.8563421165502,17.093078785374118,21.95182051443542
1.5,700017,12.050535115415709,15.45817270537178,19.1019474946301,23.00090813001178
1.5,700018,12.283064167587455,15.832870905616387,19.652290700816675,23.752136665022363
1.5,700019,12.302028735163736,15.761575189790383,19.472144759190314,23.445681108588097
