arm,depth,activation,seed,test_errors,train_errors_10k,final_train_loss,penultimate_train_loss,loss_plateaued,duration_seconds
mnist_mlp_25ep,8,gelu,3,201,19,0.01337204465760539,0.010535889806536337,True,16.585643250029534
mnist_mlp_25ep,8,gelu,4,224,32,0.012658645348468174,0.00932147302730785,True,16.30559358303435
mnist_mlp_25ep,8,gelu,5,204,44,0.01021181832010237,0.016771953481063247,False,16.535055459011346
mnist_mlp_25ep,8,gelu,6,164,9,0.010672653510763,0.012341939032520167,False,16.417925541987643
mnist_mlp_25ep,8,gelu,7,193,17,0.013820909822328637,0.013423572396983703,True,16.484762249980122
mnist_mlp_25ep,8,gelu,8,213,24,0.014508329854781428,0.011098347962771853,True,16.69154933304526
mnist_mlp_25ep,8,gelu,9,194,24,0.013671692725860824,0.013497673962265254,True,16.426394500071183
mnist_mlp_25ep,8,gelu,10,182,31,0.01301212555517753,0.01113447131086141,True,16.34900675015524
mnist_mlp_25ep,8,gelu,11,197,14,0.01051103398995474,0.011475704851994912,False,16.548426124965772
mnist_mlp_25ep,8,gelu,12,195,13,0.009753384472616016,0.011940887935149172,False,16.46744495909661
mnist_mlp_25ep,8,relu,3,232,48,0.013638594048904875,0.016500826580449938,False,10.457080584019423
mnist_mlp_25ep,8,relu,4,205,18,0.012370145737628142,0.015257732451272507,False,10.287995125167072
mnist_mlp_25ep,8,relu,5,187,11,0.010560082591542353,0.015860212118551136,False,10.368373249890283
mnist_mlp_25ep,8,relu,6,210,28,0.01359231437019383,0.011308925927554567,True,10.672927082981914
mnist_mlp_25ep,8,relu,7,210,34,0.014580896439403296,0.01472531625678142,True,10.359243874903768
mnist_mlp_25ep,8,relu,8,216,28,0.014457285950581232,0.012872807538571457,True,10.455243374919519
mnist_mlp_25ep,8,relu,9,201,17,0.014004158686101437,0.013336185479909182,True,10.490591083886102
mnist_mlp_25ep,8,relu,10,196,34,0.014598293248936535,0.013661494014877826,True,10.293016166891903
mnist_mlp_25ep,8,relu,11,216,27,0.017013922005084652,0.013139894301940997,True,10.344807249959558
mnist_mlp_25ep,8,relu,12,222,24,0.015276687995779017,0.016122260598962504,False,10.277774000074714
mnist_mlp_25ep,8,tanh,3,239,45,0.017934785437335572,0.023546046935518584,False,16.996985958190635
mnist_mlp_25ep,8,tanh,4,229,28,0.026190719459950922,0.02387683342670401,True,16.60566550004296
mnist_mlp_25ep,8,tanh,5,291,102,0.025241964013905573,0.025366348516196013,True,16.485525333089754
mnist_mlp_25ep,8,tanh,6,243,66,0.023604933105409145,0.023662912492950758,True,16.49378287489526
mnist_mlp_25ep,8,tanh,7,224,41,0.02615947984084487,0.019981106945251424,True,16.687053375178948
mnist_mlp_25ep,8,tanh,8,225,50,0.02186461487263441,0.021733039758602777,True,16.141826249891892
mnist_mlp_25ep,8,tanh,9,265,56,0.026496363920966784,0.025467207769552868,True,15.875139749841765
mnist_mlp_25ep,8,tanh,10,276,84,0.022797580936054388,0.0211356612170736,True,16.005345250014216
mnist_mlp_25ep,8,tanh,11,279,73,0.023584140492479005,0.022330553259840236,True,16.22388220904395
mnist_mlp_25ep,8,tanh,12,280,60,0.020732969416181246,0.022256893786787985,False,15.66204912494868
mnist_mlp_25ep,12,gelu,3,234,64,0.024470596253623564,0.025045040977249543,False,22.946636833949015
mnist_mlp_25ep,12,gelu,4,187,30,0.019928117907171448,0.016300384148955346,True,22.544941749889404
