a,seed,point,step,s,branch,dist,soft_component,stiff_component,hess_min,hess_max,sqrt_vhat_w1,sqrt_vhat_b1,sqrt_vhat_w2,sqrt_vhat_b2,log_vhat_ratio_w2_w1,mhat_w2,residual
1.3,300000,tstar,16,0.0532375229988908,-1,1.516836913639679,1.138311701965537,1.002517177782142,0.0265375122110289,0.0431867193076573,0.0087015773210483,0.0095565892798351,0.0937427260307987,0.0215583492169491,4.754099524676292,0.0546388863749014,-0.02955044144878416
1.3,300000,primary,1246,3.581259924032683,-1,0.0082666751547751,0.0070363952153768,0.0043390160736736,1.2947807890409555,1.9469719458974744,0.0040414513977137,0.0128348102641067,0.0102081127480057,0.0140665168124803,1.853157774578211,0.0025551600165218,-0.02955044144878416
1.3,300001,tstar,1,0.7606363202865071,1,1.2433682982059624,1.082090200692622,0.6124096035731256,0.3235316999469821,0.5701088055949882,0.217595790799929,0.1241735213302568,0.5801429644282481,0.3101917581665921,1.961270785031723,-0.5801429644282481,0.09949251939718162
1.3,300001,primary,2813,3.35789244782676,1,0.0084855003409079,0.0072124484114947,0.0044703807384913,1.2386248288618535,1.8480989095235123,0.0073155090109147,0.0038328883211776,0.0271089733358997,0.0225218050137904,2.619736351783585,0.0041260989763856,0.09949251939718162
1.3,300002,tstar,111,0.0505883869972212,-1,1.7373559947068802,1.2625961716448495,1.1934222889202726,0.0253203514826858,0.040924846528442,0.0238300887703424,0.0210280389708791,0.0992980338115139,0.0023304773726954,2.854353508224699,0.0058770886522621,0.024320262220741906
1.3,300002,primary,991,3.557847099621238,-1,0.0064854916501941,0.0053941458808019,0.0036006655164519,1.2958287449650816,1.9357866940391055,0.0107047930105643,0.0142762065796519,0.0345070896517353,0.0082187614669935,2.3409464279887455,0.0109901333085318,0.024320262220741906
1.3,300003,tstar,513,0.0503160359426644,1,1.7200665536218094,1.2428438882906183,1.189103871925016,0.025310595552362,0.0406720552488208,0.018453600666211,0.0333419243486245,0.0904697476468424,0.0418931791237211,3.1795120103410697,0.0041625479776283,0.07739827274102518
1.3,300003,primary,2308,3.389789483412646,1,0.008088927065581,0.0068949913203478,0.0042296377817276,1.2274556929111924,1.852427223800603,0.0060095483793444,0.0113855145756953,0.0259872579834915,0.017703588837653,2.9285134789608533,0.0048616618433735,0.07739827274102518
1.3,300004,tstar,1,0.5870524551659304,-1,1.6501003614451526,1.3911741529433876,0.887392629574796,0.2532856181943332,0.4490892146965952,0.092325229460432,0.040014592352597,0.459759282574834,0.131528730962096,3.210771215346642,0.459759282574834,-0.11494665223116185
1.3,300004,primary,2108,3.7527646032760233,-1,0.0074496225314423,0.0061036087320971,0.0042711633434511,1.3579048385027437,1.994525768208899,0.0059308343180154,0.0033314992830686,0.0253954594164309,0.0162661048816904,2.9088109947220757,-0.0049812852065783,-0.11494665223116185
1.3,300005,tstar,1,0.408463945884166,1,1.868916666243004,1.3316694965769589,1.3112993011693912,0.1754222270310678,0.3173922576299183,0.0619837207783495,0.0711192781346784,0.2018684270895999,0.1561378707990943,2.3614887033229075,0.2018684270895999,0.03038172495977909
1.3,300005,primary,2173,3.6218416589805953,1,0.0085143349095222,0.0069055699534581,0.0049806628644595,1.3080559421786828,1.9218246370665428,0.0062711919447832,0.0057424822105354,0.0077534239181607,0.0153407355942512,0.4243362045601329,-0.0017410179222781,0.03038172495977909
1.3,300007,tstar,17949,0.0873744339676114,1,2.201700509048741,1.2131320251786155,1.837333889371095,0.0430447238022671,0.0698052980481409,9.804283693441944e-05,0.0001456406540322,1.941429825784348e-05,0.0001208710516114,-3.2387893530798,1.7140527805930145e-05,0.033970713434575694
1.3,300007,primary,18343,3.368597000640562,1,0.0097340301312258,0.0080777774670593,0.0054314688426134,1.246758582560723,1.851916228151964,0.0089800067473593,0.0093765579882907,0.0009432805117286,0.0082368022892888,-4.506784413809627,-0.0004333611251694,0.033970713434575694
1.3,300008,tstar,54,0.051170089171776,-1,2.0261642429887012,1.4335673271002305,1.431861116951179,0.0257524507926495,0.0408377725701007,0.0264960612090001,0.0728485639220391,0.1730265919275827,0.1760977673882584,3.7528984098542297,-0.0396233704323599,0.02981370471791478
1.3,300008,primary,2470,3.5198332896182283,-1,0.0085949358766124,0.0070798866254147,0.0048732051151529,1.2792740036596535,1.8854955429569435,0.003197278482857,0.0078307035396346,0.0131674809763596,0.0204210264973005,2.8309005075842815,-0.0022415865048418,0.02981370471791478
