a,seed,w2_abs,margin,bound,satisfies_bound,slack,w2_times_D
1.45,2,4.7791523847302555,0.02111400152999998,0.27907879072808484,True,17.124742343414884,2.296061824005338
1.45,5,5.573053067418152,0.15066802481728203,1.9914865549124634,True,2.7984387108569346,2.6774777954641222
1.45,7,5.301648807159364,0.0704275757538948,0.930891410961623,True,5.69523871928595,2.547086271886917
1.45,10,5.702454903930816,0.10701028561443948,1.4144311329291057,True,4.031624284260317,2.739646689203985
1.45,19,5.7597004400552185,0.12297692764133572,1.6254736083463377,True,3.543398312024766,2.767149325552204
1.45,63,5.425660040800892,0.013656515210186626,0.18050788454302932,True,30.057745425006782,2.6066653428999853
1.45,75,5.6381927371768095,0.07642714933357198,1.0101920464722085,True,5.581307788817482,2.70877303297089
1.45,89,5.159769104814388,0.028727733783163956,0.37971491065643365,True,13.588534345133871,2.4789226014426804
1.45,106,5.325075939569917,0.06291835487527564,0.8316366922794498,True,6.4031276986761,2.5583414359920944
1.5,1,5.2510346572860795,0.23531513603254162,2.6953475217801413,True,1.9481846458960645,2.908708969279526
1.5,2,4.799569464187649,0.11243771288945581,1.2878844765400552,True,3.726708063973139,2.658628567570348
1.5,5,5.532884483066316,0.2524720339225439,2.891866126528361,True,1.9132574749262183,3.064834222633035
1.5,7,5.242843971113431,0.15792523033072214,1.8089077709799557,True,2.8983478622976886,2.9041718972756536
1.5,10,5.660366251603245,0.20891076718198676,2.392906500155124,True,2.3654774021618907,3.1354502798034947
1.5,19,5.6937097687028215,0.21987313373196216,2.518471680582938,True,2.2607797469395914,3.153920275449075
1.5,34,4.605460664235719,0.1064429109698537,1.219218793703028,True,3.777386542941936,2.5511057564891364
1.5,38,5.291050453092938,0.016750308787639057,0.1918614503130456,True,27.577454691705586,2.930874944515428
1.5,40,4.186976019213142,0.09265422848955218,1.0612804146488461,True,3.945211803987279,2.3192942907632474
1.5,51,4.761000855429658,0.04932895238782642,0.5650238731441046,True,8.426194151650304,2.6372642335773624
1.5,63,5.405950029219115,0.10809709114036181,1.238166110472912,True,4.366094325707507,2.994521339836947
1.5,67,4.972968515680847,0.06655531276360094,0.7623381153597628,True,6.52331087149434,2.754679614508877
1.5,69,5.24902654641098,0.15071985900361007,1.7263759794535853,True,3.040488635663448,2.907596615144593
2.0,1,4.690864162540026,0.9305263158946087,4.224019489462396,True,1.1105214297051094,6.425107193831126
2.0,2,4.402167046921799,0.8163626793683854,3.7057865094407054,True,1.1879170685378189,6.029676874358271
2.0,3,3.636385267553608,0.5831794585676686,2.647277521082983,True,1.3736320573091967,4.980780583816543
2.0,5,4.836869020406935,1.0182433935574675,4.622201291822694,True,1.046442747736672,6.625090998543775
2.0,7,3.8417741665202483,0.6439819977204966,2.9232838048423284,True,1.3141981494087127,5.262103096376585
2.0,9,3.543900291875323,0.6814282027595766,3.093266638416907,True,1.1456821238304384,4.8541033102989735
2.0,10,4.9475329042165415,1.014161400829341,4.603671545221305,True,1.0746928523500272,6.7766680409234
2.0,14,3.2070565704324174,0.39777774019775514,1.805667285673981,True,1.77610603895687,4.392726271261512
2.0,15,4.560886349907989,0.9239986144677292,4.194387723463365,True,1.0873783375805803,6.247075737356733
2.0,18,4.819223417589893,0.9766136143936937,4.433227594328992,True,1.0870688037209435,6.600921701443969
2.0,19,4.891674952727173,0.9604513368785739,4.35986075445372,True,1.121979629218706,6.700159040979842
