a,endpoint,init_seed,w2_endpoint,barrier_linear,barrier_mep
1.4,constructed,1,1.0,0.06952873951357907,0.0
1.4,constructed,2,1.0,0.0,0.0
1.4,constructed,3,1.0,0.0,0.0
1.4,constructed,4,1.0,0.0,0.0
1.4,constructed,5,1.0,0.0,
1.4,constructed,6,1.0,0.010651225356591132,
1.4,constructed,7,1.0,0.026866161679304,
1.4,constructed,8,1.0,0.0,
1.4,constructed,9,1.0,0.09034827608119333,
1.4,constructed,10,1.0,0.09635320582782614,
1.4,constructed,11,1.0,0.17021223102508753,
1.4,constructed,12,1.0,0.08827775775644808,
1.4,constructed,13,1.0,0.12212609248295547,
1.4,constructed,14,1.0,0.08405578732363206,
1.4,constructed,15,1.0,0.022834632208941552,
1.4,constructed,16,1.0,0.14268819153267143,
1.4,constructed,17,1.0,0.0,
1.4,constructed,18,1.0,0.0,
1.4,constructed,19,1.0,0.0,
1.45,found,0,4.7791523847302555,1.008818468964459,0.0
1.45,found,1,4.7791523847302555,0.3288667690461582,0.0
1.45,found,2,4.7791523847302555,0.0,0.0
1.45,found,3,4.7791523847302555,0.019996327073082742,0.0
1.45,found,4,4.7791523847302555,0.008695697171953065,0.0
1.45,found,5,4.7791523847302555,0.046606124274177985,
1.45,found,6,4.7791523847302555,0.0,
1.45,found,7,4.7791523847302555,0.5533309604309887,
1.45,found,8,4.7791523847302555,0.8606099032577182,
1.45,found,9,4.7791523847302555,0.8418713489761583,
1.45,found,10,4.7791523847302555,0.6540440436763684,
1.45,found,11,4.7791523847302555,0.7030553394278698,
1.45,found,12,4.7791523847302555,1.4904210494458168,
1.45,found,13,4.7791523847302555,0.007321742677965037,
1.45,found,14,4.7791523847302555,1.5521795625101775,
1.45,found,15,4.7791523847302555,0.8216058335731766,
1.45,found,16,4.7791523847302555,1.2800832572567318,
1.45,found,17,4.7791523847302555,0.0,
1.45,found,18,4.7791523847302555,0.3843630675522398,
1.45,found,19,4.7791523847302555,0.6485746920630444,
1.45,constructed,0,1.0,0.017692449472427985,0.0
1.45,constructed,1,1.0,0.0647628461693055,0.0
1.45,constructed,2,1.0,0.0,0.0
1.45,constructed,3,1.0,0.0,0.0
1.45,constructed,4,1.0,0.0,0.0
1.45,constructed,5,1.0,0.0,
1.45,constructed,6,1.0,0.0009147268120341945,
1.45,constructed,7,1.0,0.025970562243994966,
1.45,constructed,8,1.0,0.0,
1.45,constructed,9,1.0,0.0989428934004355,
1.45,constructed,10,1.0,0.09708677829876244,
1.45,constructed,11,1.0,0.18316892921520433,
1.45,constructed,12,1.0,0.09333834152601439,
1.45,constructed,13,1.0,0.13359359883290056,
1.45,constructed,14,1.0,0.08621688495381052,
1.45,constructed,15,1.0,0.022092832533844642,
1.45,constructed,16,1.0,0.14474288925999146,
1.45,constructed,17,1.0,0.0,
1.45,constructed,18,1.0,0.0,
1.45,constructed,19,1.0,0.0,
1.5,found,0,-5.2510346572860795,0.011020625609646562,0.0
1.5,found,1,-5.2510346572860795,0.35651070609535884,0.0
1.5,found,2,-5.2510346572860795,1.2655454520818745,0.095660411559369
1.5,found,3,-5.2510346572860795,1.8792724217118018,0.009782544875097776
1.5,found,4,-5.2510346572860795,0.662150112579485,0.0
1.5,found,5,-5.2510346572860795,1.1375950122451608,
1.5,found,6,-5.2510346572860795,1.2431435290411115,
1.5,found,7,-5.2510346572860795,0.2771926038374164,
1.5,found,8,-5.2510346572860795,0.3178687428165631,
1.5,found,9,-5.2510346572860795,0.3220581232215679,
1.5,found,10,-5.2510346572860795,0.0,
1.5,found,11,-5.2510346572860795,0.4799309534605628,
1.5,found,12,-5.2510346572860795,0.06315009565150431,
1.5,found,13,-5.2510346572860795,1.4657737821217984,
1.5,found,14,-5.2510346572860795,0.0820172491305412,
1.5,found,15,-5.2510346572860795,0.0,
1.5,found,16,-5.2510346572860795,0.08522938251477996,
1.5,found,17,-5.2510346572860795,0.9217456448766144,
1.5,found,18,-5.2510346572860795,0.2836866783134393,
1.5,found,19,-5.2510346572860795,0.14309986037986788,
1.5,constructed,0,1.0,0.021518253240043528,0.0
1.5,constructed,1,1.0,0.06004935137075729,0.0
1.5,constructed,2,1.0,0.0,0.0
1.5,constructed,3,1.0,0.0,0.0
1.5,constructed,4,1.0,0.0,0.0
1.5,constructed,5,1.0,0.0,
1.5,constructed,6,1.0,0.0,
1.5,constructed,7,1.0,0.02518528919583385,
1.5,constructed,8,1.0,0.0,
1.5,constructed,9,1.0,0.10746226820234028,
1.5,constructed,10,1.0,0.09791082042040344,
1.5,constructed,11,1.0,0.19595603033611242,
1.5,constructed,12,1.0,0.09848564228498391,
1.5,constructed,13,1.0,0.14505340752445484,
1.5,constructed,14,1.0,0.08851419251070536,
1.5,constructed,15,1.0,0.021371527582164873,
1.5,constructed,16,1.0,0.1469222772177392,
1.5,constructed,17,1.0,0.0,
1.5,constructed,18,1.0,0.0,
1.5,constructed,19,1.0,0.0,
1.75,constructed,0,1.0,0.04007663043407472,0.0
1.75,constructed,1,1.0,0.03677784312872823,0.0
1.75,constructed,2,1.0,0.018080287945561713,0.0
1.75,constructed,3,1.0,0.0,0.0
1.75,constructed,4,1.0,0.010132158157847848,0.0
1.75,constructed,5,1.0,0.0,
1.75,constructed,6,1.0,0.0,
1.75,constructed,7,1.0,0.02215973371586355,
1.75,constructed,8,1.0,0.0,
1.75,constructed,9,1.0,0.1487497854506592,
1.75,constructed,10,1.0,0.10215965138741656,
1.75,constructed,11,1.0,0.2575967183812822,
1.75,constructed,12,1.0,0.12458455494178511,
1.75,constructed,13,1.0,0.20098687982790597,
1.75,constructed,14,1.0,0.10130600359098507,
1.75,constructed,15,1.0,0.018625000254440915,
1.75,constructed,16,1.0,0.15812965263858247,
1.75,constructed,17,1.0,0.0,
1.75,constructed,18,1.0,0.0,
1.75,constructed,19,1.0,0.0,
2.0,found,0,-4.690864162540026,0.0,0.0
2.0,found,1,-4.690864162540026,0.21779053048665387,0.0
2.0,found,2,-4.690864162540026,0.9756687045134178,0.009191758344732404
2.0,found,3,-4.690864162540026,1.7885818555765969,0.0
2.0,found,4,-4.690864162540026,0.4215215173882434,0.0
2.0,found,5,-4.690864162540026,0.8852838778203553,
2.0,found,6,-4.690864162540026,1.2019145669324867,
2.0,found,7,-4.690864162540026,0.21603656609607425,
2.0,found,8,-4.690864162540026,0.20206710962052354,
2.0,found,9,-4.690864162540026,0.1564259287888472,
2.0,found,10,-4.690864162540026,0.0,
2.0,found,11,-4.690864162540026,0.2902313795919522,
2.0,found,12,-4.690864162540026,0.14601588767106288,
2.0,found,13,-4.690864162540026,1.2200737198520986,
2.0,found,14,-4.690864162540026,0.4098989976651747,
2.0,found,15,-4.690864162540026,0.009542902991713564,
2.0,found,16,-4.690864162540026,0.08326756642716704,
2.0,found,17,-4.690864162540026,0.6449979207223746,
2.0,found,18,-4.690864162540026,0.1729603455933082,
2.0,found,19,-4.690864162540026,0.0,
2.0,constructed,0,1.0,0.05715925901994545,0.0
2.0,constructed,1,1.0,0.01679164758459617,0.0
2.0,constructed,2,1.0,0.0578170346568283,0.0
2.0,constructed,3,1.0,0.0,0.0
2.0,constructed,4,1.0,0.06023670216419119,0.0
2.0,constructed,5,1.0,0.0,
2.0,constructed,6,1.0,0.0,
2.0,constructed,7,1.0,0.020339816546711686,
2.0,constructed,8,1.0,0.0,
2.0,constructed,9,1.0,0.18880746589908137,
2.0,constructed,10,1.0,0.10777080639232584,
2.0,constructed,11,1.0,0.31639937317681066,
2.0,constructed,12,1.0,0.15283181237823606,
2.0,constructed,13,1.0,0.25427713008522423,
2.0,constructed,14,1.0,0.11740744436180361,
2.0,constructed,15,1.0,0.016900640228283748,
2.0,constructed,16,1.0,0.17136278343926015,
2.0,constructed,17,1.0,0.0,
2.0,constructed,18,1.0,0.0,
2.0,constructed,19,1.0,0.0,
2.5,constructed,0,1.0,0.08606288356000436,0.0
2.5,constructed,1,1.0,0.0,0.0
2.5,constructed,2,1.0,0.13752761161938198,0.0
2.5,constructed,3,1.0,0.0,0.0
2.5,constructed,4,1.0,0.164691663742221,0.0
2.5,constructed,5,1.0,0.0,
2.5,constructed,6,1.0,0.0,
2.5,constructed,7,1.0,0.05147832072610381,
2.5,constructed,8,1.0,0.0,
2.5,constructed,9,1.0,0.2666391041843753,
2.5,constructed,10,1.0,0.11975643005828684,
2.5,constructed,11,1.0,0.43072501945432207,
2.5,constructed,12,1.0,0.21127866328385247,
2.5,constructed,13,1.0,0.3580492433213678,
2.5,constructed,14,1.0,0.15157568471203908,
2.5,constructed,15,1.0,0.014697691645989441,
2.5,constructed,16,1.0,0.19967777969624745,
2.5,constructed,17,1.0,0.0,
2.5,constructed,18,1.0,0.0,
2.5,constructed,19,1.0,0.006268253765578491,
3.0,found,0,3.5441769802931815,0.1554795904734112,0.0
3.0,found,1,3.5441769802931815,0.010765074907062244,0.0
3.0,found,2,3.5441769802931815,0.21461298591556655,0.0
3.0,found,3,3.5441769802931815,0.0,0.0
