window,A,status,m_minus_lo,m_minus_hi,m_plus_lo,m_plus_hi,converged
base,0.69,plus,0.3515263489566629,0.35152640671052837,0.35152540577991886,0.35152547120233946,True
base,0.59,minus,0.3736379911216059,0.373638044196745,0.3741262497107317,0.37412633072135293,True
base,0.64,minus,0.3623971733428917,0.36239722980267397,0.36249872624044693,0.36249880136624507,True
base,0.665,minus,0.3569164881844057,0.35691654645224985,0.3569361972743189,0.3569362642580493,True
base,0.6775,minus,0.35420989966313415,0.35420996366052343,0.3542128255014916,0.3542128780852829,True
base,0.68375,minus,0.3528649083474743,0.35286497525248545,0.3528650275815767,0.35286510476848165,True
base,0.686875,plus,0.35219453636897685,0.3521946336919075,0.35219447755881567,0.35219453539656614,True
base,0.68375,minus,0.3528649083474743,0.35286497525248545,0.3528650275815767,0.35286510476848165,True
base,0.686875,plus,0.35219453636897685,0.3521946336919075,0.35219447755881567,0.35219453539656614,True
G1_wide_gap,0.35,plus,0.4069059399104326,0.4069060297001055,0.4069033887991279,0.4069034265139561,True
G1_wide_gap,0.25,minus,0.437363283840111,0.4373633116595959,0.44179617426289874,0.4417962318266573,True
G1_wide_gap,0.3,minus,0.4217264396337024,0.4217264730041096,0.4225723452578859,0.4225723962608181,True
G1_wide_gap,0.325,minus,0.4142218428792493,0.4142218793949384,0.4143901664951029,0.4143902575616405,True
G1_wide_gap,0.3375,minus,0.41054025570138974,0.41054029144911797,0.4105704868231127,0.410570564002905,True
G1_wide_gap,0.34375,minus,0.4087163377289533,0.40871637246629045,0.4087199323998735,0.40871998539503024,True
G1_wide_gap,0.346875,minus,0.40780853954252894,0.40780854014183077,0.40780855687182055,0.40780855779102865,True
G1_wide_gap,0.346875,minus,0.40780853954252894,0.40780854014183077,0.40780855687182055,0.40780855779102865,True
G1_wide_gap,0.35,plus,0.4069059399104326,0.4069060297001055,0.4069033887991279,0.4069034265139561,True
G2_narrow_gap,2.83,plus,0.14479065443319092,0.14479071577332545,0.14326247812595028,0.1432625333118965,True
G2_narrow_gap,2.73,plus,0.15061867798703887,0.1506187348267368,0.14927432832218165,0.14927438003668794,True
G2_narrow_gap,2.63,plus,0.15678887686607595,0.15678892899096003,0.15562857896978494,0.15562862625141435,True
G2_narrow_gap,2.53,plus,0.16332474950624853,0.1633248437303811,0.1623470644810246,0.16234711212056507,True
G2_narrow_gap,2.43,plus,0.1702516852915354,0.1702517691262987,0.1694528997993525,0.1694529444380683,True
G2_narrow_gap,2.33,plus,0.17759682226223322,0.17759689532244394,0.17697050190218377,0.17697054668333143,True
G2_narrow_gap,2.23,plus,0.18538943375492353,0.18538949555596027,0.18492564712321527,0.18492569157552757,True
G2_narrow_gap,2.13,plus,0.19366104506317963,0.19366114481364194,0.19334550427503883,0.1933455445844421,True
