dataset,activation,monotonic,depth,width,seed,final_eval_accuracy,passed,perfect_eval,at_chance,layer,layer_width,linking_raw,linking_rounded,linking_residual,min_distance,defined,artifact_regime,projected,reportable,regime,projection_convention
linked_tori,gelu,False,5,3,3,0.9655,False,False,False,4,3,,,,0.00016610875898393109,True,True,False,False,artifact (too close),
linked_tori,gelu,False,5,3,3,0.9655,False,False,False,5,3,,,,0.0001441836830670473,True,True,False,False,artifact (too close),
linked_tori,gelu,False,5,3,4,0.953,False,False,False,0,3,-1.000025100237454,-1.0,2.510023745405654e-05,0.9999999999999998,True,False,False,True,exact (d=3),
linked_tori,gelu,False,5,3,4,0.953,False,False,False,1,3,,,,0.006860982357912822,True,True,False,False,artifact (too close),
linked_tori,gelu,False,5,3,4,0.953,False,False,False,2,3,,,,0.009823326950208594,True,True,False,False,artifact (too close),
linked_tori,gelu,False,5,3,4,0.953,False,False,False,3,3,,,,0.003933393669775311,True,True,False,False,artifact (too close),
linked_tori,gelu,False,5,3,4,0.953,False,False,False,4,3,,,,0.0035996050328151465,True,True,False,False,artifact (too close),
linked_tori,gelu,False,5,3,4,0.953,False,False,False,5,3,,,,0.00511176721193074,True,True,False,False,artifact (too close),
linked_tori,gelu,False,8,3,0,0.9545,False,False,False,0,3,-1.000025100237454,-1.0,2.510023745405654e-05,0.9999999999999998,True,False,False,True,exact (d=3),
linked_tori,gelu,False,8,3,0,0.9545,False,False,False,1,3,,,,0.013712907549992569,True,True,False,False,artifact (too close),
linked_tori,gelu,False,8,3,0,0.9545,False,False,False,2,3,-0.9999777001146825,-1.0,2.22998853175449e-05,0.026058585816836052,True,False,False,True,exact (d=3),
linked_tori,gelu,False,8,3,0,0.9545,False,False,False,3,3,,,,0.00919783770571865,True,True,False,False,artifact (too close),
linked_tori,gelu,False,8,3,0,0.9545,False,False,False,4,3,,,,0.003565755967521216,True,True,False,False,artifact (too close),
linked_tori,gelu,False,8,3,0,0.9545,False,False,False,5,3,,,,0.0032597998349524052,True,True,False,False,artifact (too close),
linked_tori,gelu,False,8,3,0,0.9545,False,False,False,6,3,,,,0.004590065606856935,True,True,False,False,artifact (too close),
linked_tori,gelu,False,8,3,0,0.9545,False,False,False,7,3,,,,0.006973673430421527,True,True,False,False,artifact (too close),
linked_tori,gelu,False,8,3,0,0.9545,False,False,False,8,3,,,,0.007142262630237926,True,True,False,False,artifact (too close),
linked_tori,gelu,False,8,3,1,0.979,False,False,False,0,3,-1.000025100237454,-1.0,2.510023745405654e-05,0.9999999999999998,True,False,False,True,exact (d=3),
linked_tori,gelu,False,8,3,1,0.979,False,False,False,1,3,0.9999887266459769,1.0,1.127335402306695e-05,0.03266786295633722,True,False,False,True,exact (d=3),
linked_tori,gelu,False,8,3,1,0.979,False,False,False,2,3,-1.0000475542327079,-1.0,4.755423270785819e-05,0.047548107763204735,True,False,False,True,exact (d=3),
