arm,seed,data_seed,eval_errors,dense_errors,separated,init_spec_product,final_spec_product,final_norms
scaled_up,1038,38,44,,False,2635.6602632508598,39395.231633788666,"[2.8268, 7.9784, 5.1499, 6.8702, 7.1238, 6.9302]"
scaled_up,1039,39,70,,False,2635.660046128749,29359.791785797177,"[4.7547, 5.5535, 4.5579, 6.824, 7.6139, 4.6952]"
scaled_up,1040,40,55,,False,2635.659743922531,339827.6213036902,"[6.109, 4.1144, 10.2632, 9.8031, 20.313, 6.6155]"
scaled_up,1041,41,44,,False,2635.6604712270027,3101.858369051296,"[2.7691, 3.0277, 4.9359, 4.1905, 4.8534, 3.6854]"
scaled_up,1042,42,55,,False,2635.659798308132,11287.311331774115,"[3.7732, 4.1375, 4.5599, 5.1609, 6.2942, 4.8811]"
scaled_up,1043,43,7,,False,2635.6602242021127,41221.02389481703,"[2.1491, 5.6562, 9.4427, 6.795, 7.6287, 6.9278]"
scaled_up,1044,44,0,0.0,True,2635.661790217446,4004.909946668073,"[2.0764, 3.6522, 3.8328, 4.6982, 4.8639, 6.0296]"
scaled_up,1045,45,0,0.0,True,2635.660375435294,21691.03892476474,"[2.6122, 6.4654, 6.2111, 4.7274, 7.9132, 5.5277]"
scaled_up,1046,46,22,,False,2635.660446159696,71390.78433900693,"[3.6588, 7.5836, 7.6972, 6.407, 5.2345, 9.9669]"
scaled_up,1047,47,93,,False,2635.6603396377413,13077.861167143255,"[4.2565, 4.5718, 4.2209, 5.4885, 5.758, 5.0381]"
scaled_up,1048,48,0,0.0,True,2635.6613792205776,22727.04725749018,"[1.9655, 4.4761, 4.7357, 6.5818, 9.9419, 8.3363]"
scaled_up,1049,49,0,0.0,True,2635.660419215498,2489.3862008791457,"[1.6939, 4.5173, 4.069, 4.2196, 4.9248, 3.8475]"
scaled_up,1050,50,0,19.0,False,2635.659537954936,12031.922156219734,"[2.5742, 4.5609, 6.0674, 5.7742, 4.0143, 7.2869]"
scaled_up,1051,51,0,0.0,True,2635.6601660975707,12685.157136652437,"[3.0728, 4.3373, 3.8904, 4.7504, 6.1758, 8.3393]"
scaled_up,1052,52,6,,False,2635.6597244137433,40459.973838243015,"[2.9115, 5.1079, 4.8517, 8.1604, 9.8027, 7.0099]"
scaled_up,1053,53,40,,False,2635.6606441757895,36630.88663950185,"[4.6456, 3.9444, 4.0009, 5.9949, 9.0844, 9.1743]"
scaled_up,1054,54,36,,False,2635.659833372678,11800.455963360719,"[4.0918, 4.3688, 4.927, 4.5148, 6.4629, 4.5916]"
scaled_up,1055,55,79,,False,2635.6601154361633,19359.81861075334,"[3.9037, 4.0754, 4.6148, 9.801, 6.29, 4.2774]"
scaled_up,1056,56,122,,False,2635.660402577915,40006.58820040441,"[2.0526, 3.2895, 4.9423, 8.2415, 7.8947, 18.4256]"
scaled_up,1057,57,22,,False,2635.660301603935,94360.16368699726,"[5.5425, 6.2466, 7.9446, 5.0684, 8.8922, 7.6118]"
scaled_up,1058,58,65,,False,2635.659723810941,7589.468733685829,"[2.7675, 3.3751, 3.9145, 3.9334, 3.9537, 13.3469]"
scaled_up,1059,59,0,35.0,False,2635.6600333104043,16731.631686438606,"[2.1669, 4.7512, 7.5095, 5.5816, 5.7916, 6.6947]"
scaled_up,1060,60,74,,False,2635.6590373152458,5896.26719997202,"[2.2443, 4.5957, 5.6637, 4.602, 5.831, 3.7614]"
scaled_up,1061,61,61,,False,2635.659684799336,5701.076856445775,"[3.9587, 2.7974, 3.8619, 4.5405, 4.767, 6.1588]"
scaled_up,1062,62,25,,False,2635.6592674485933,87234.12243401069,"[2.4204, 6.4488, 5.9959, 8.4257, 10.3869, 10.6505]"
scaled_up,1063,63,108,,False,2635.6615929726736,5466.4072113727,"[3.3875, 3.2939, 4.7307, 3.4652, 6.0049, 4.9768]"
scaled_up,1064,64,0,0.0,True,2635.6603240151608,12057.497108577769,"[1.883, 3.8584, 6.3649, 4.2622, 6.9767, 8.7688]"
scaled_up,1065,65,0,0.0,True,2635.6589909237505,22701.77271431927,"[2.5534, 5.2432, 4.9556, 4.6383, 9.2196, 8.0018]"
scaled_up,1066,66,0,0.0,True,2635.6606915189136,14923.289498299277,"[3.3108, 5.3479, 4.326, 4.7471, 7.1815, 5.7151]"
scaled_up,1067,67,0,0.0,True,2635.6599643032496,40052.997185927736,"[2.3234, 3.9701, 5.7939, 5.848, 12.2815, 10.4345]"
scaled_up,1068,68,23,,False,2635.659407380598,18909.739548979305,"[3.2201, 3.9803, 4.3597, 6.5538, 6.927, 7.4541]"
scaled_up,1069,69,52,,False,2635.6599956788664,36952.6282040947,"[4.1867, 4.9262, 4.0282, 5.71, 7.2991, 10.672]"
scaled_up,1070,70,60,,False,2635.6611008872283,14985.81336866546,"[2.9185, 4.0431, 6.8769, 7.465, 6.3908, 3.871]"
scaled_up,1071,71,90,,False,2635.6597971396855,121616.14743723912,"[6.6552, 4.0753, 4.0931, 8.4455, 9.9347, 13.0567]"
scaled_up,1072,72,60,,False,2635.6604199741573,40126.41406217158,"[3.2938, 6.0249, 12.4655, 5.0493, 8.2924, 3.8741]"
scaled_up,1073,73,18,,False,2635.6605875772616,33368.29866381632,"[2.6386, 5.4914, 6.2793, 6.8882, 6.8544, 7.7675]"
scaled_up,1074,74,69,,False,2635.659473416153,7447.094770177876,"[3.3059, 3.6424, 4.1184, 4.8542, 7.7396, 3.9971]"
scaled_up,1075,75,0,0.0,True,2635.66015227196,27136.305355296023,"[2.3923, 3.4655, 2.9841, 9.0267, 10.875, 11.1739]"
scaled_up,1076,76,62,,False,2635.660951108256,7914.7224430130655,"[2.3126, 4.1098, 3.7075, 5.2547, 8.0234, 5.3274]"
scaled_up,1077,77,42,,False,2635.6591866727636,21973.885045936233,"[3.3434, 4.1883, 3.9073, 8.3438, 10.253, 4.6945]"
scaled_up,1078,78,11,,False,2635.6607039017126,28133.481125409526,"[1.3789, 6.488, 4.3661, 3.8604, 7.6491, 24.3919]"
scaled_up,1079,79,16,,False,2635.6592620215315,44098.440154470016,"[3.2847, 4.9907, 7.5228, 12.1109, 5.8918, 5.0114]"
scaled_up,1080,80,0,0.0,True,2635.6596156478104,8618.880118991197,"[2.2549, 4.3091, 4.6109, 5.4867, 6.6599, 5.2647]"
scaled_up,1081,81,7,,False,2635.66043559684,15209.381069376066,"[2.513, 4.0366, 3.628, 4.3695, 9.5042, 9.9516]"
scaled_up,1082,82,100,,False,2635.6602194706225,18210.856440830652,"[2.5259, 3.8428, 3.8819, 6.3197, 9.7055, 7.8797]"
scaled_up,1083,83,12,,False,2635.660048137296,36062.13133748316,"[3.7492, 4.5436, 6.9238, 8.8912, 7.8062, 4.4052]"
scaled_up,1084,84,26,,False,2635.660640950213,34234.66326341547,"[3.3016, 5.7367, 7.9161, 4.8567, 7.2448, 6.4894]"
scaled_up,1085,85,78,,False,2635.66040904548,52126.100473733626,"[2.175, 4.8197, 5.3286, 3.7235, 9.8202, 25.5202]"
scaled_up,1086,86,2,,False,2635.6613377720964,54354.08544856565,"[3.501, 4.225, 6.0798, 6.3174, 10.4201, 9.1814]"
scaled_up,1087,87,7,,False,2635.658951272299,27181.004804806085,"[2.486, 8.1717, 5.1476, 6.2265, 9.6426, 4.3292]"
scaled_up,1088,88,47,,False,2635.661280258932,23250.035789119687,"[3.4967, 5.0925, 3.4191, 6.0568, 7.5036, 8.4026]"
scaled_up,1089,89,60,,False,2635.660296679487,11989.483913862485,"[2.5621, 3.1665, 4.7514, 5.3281, 5.1094, 11.425]"
scaled_up,1090,90,3,,False,2635.659833975469,19741.36563467148,"[2.4625, 4.3679, 6.1139, 5.6433, 7.2909, 7.2962]"
scaled_up,1091,91,73,,False,2635.6597423124535,8271.821615654435,"[3.5815, 3.8895, 4.107, 4.5084, 5.5002, 5.8308]"
scaled_up,1092,92,63,,False,2635.65955358517,6167.367899804749,"[2.1862, 3.8807, 4.7463, 5.3947, 5.256, 5.4016]"
scaled_up,1093,93,42,,False,2635.6592528756496,8083.889021501926,"[3.418, 5.0182, 4.9387, 4.2869, 5.8497, 3.8055]"
scaled_up,1094,94,0,0.0,True,2635.6609119036852,12211.176042279567,"[2.7805, 4.4748, 5.7566, 4.7268, 6.6745, 5.4039]"
scaled_up,1095,95,55,,False,2635.658880695811,85961.97435816911,"[3.376, 3.0491, 4.0661, 6.6797, 12.3785, 24.839]"
scaled_up,1096,96,51,,False,2635.662145194206,8134.502122443103,"[3.7752, 3.9832, 3.2975, 4.6426, 6.1501, 5.7455]"
