act,a,depth,seed,budget,heldout_errors,heldout_acc,strat_errors,big_errors,train_acc,perfect,wout_fro,train_loss
relu,,5,1,1000,1801,0.90995,10356,,0.9089000225067139,False,1.4911001920700073,0.2328103482723236
relu,,5,1,4000,159,0.99205,71,,0.9936000108718872,False,3.1550490856170654,0.02084476500749588
relu,,5,1,16000,129,0.99355,36,,0.9959999918937683,False,5.722753047943115,0.01680758222937584
relu,,5,1,64000,121,0.99395,35,,0.9962999820709229,False,7.12702751159668,0.015696227550506592
relu,,5,2,1000,1252,0.9374,6979,,0.941100001335144,False,1.3896958827972412,0.14377737045288086
relu,,5,2,4000,257,0.98715,87,,0.9908999800682068,False,2.715672731399536,0.036859698593616486
relu,,5,2,16000,940,0.953,2836,,0.9569000005722046,False,4.448293685913086,0.13488084077835083
relu,,5,2,64000,518,0.9741,281,,0.9847999811172485,False,25.466291427612305,0.05826383829116821
relu,,5,0,1000,1822,0.9089,10125,,0.9057999849319458,False,1.7546478509902954,0.25695309042930603
relu,,5,0,4000,1749,0.91255,10176,,0.9104999899864197,False,2.7672922611236572,0.2239762246608734
relu,,5,0,16000,1755,0.91225,10117,,0.911300003528595,False,15.00049114227295,0.2179253101348877
relu,,5,0,64000,1753,0.91235,10145,,0.9110999703407288,False,51.230865478515625,0.2167423814535141
gelu,,5,4,1000,1170,0.9415,8148,,0.9452000260353088,False,1.7034895420074463,0.13534186780452728
gelu,,5,4,4000,2,0.9999,0,,1.0,False,2.9927382469177246,0.0009121023467741907
gelu,,5,4,16000,0,1.0,0,0,1.0,True,3.4830026626586914,2.9398320222639995e-08
gelu,,5,4,64000,0,1.0,0,0,1.0,True,3.912424325942993,1.474167038439944e-10
3.0,3.0,5,5,1000,105,0.99475,0,,0.9976000189781189,False,1.2144476175308228,0.017380492761731148
3.0,3.0,5,5,4000,1,0.99995,0,,1.0,False,1.8675123453140259,0.00036272822762839496
3.0,3.0,5,5,16000,0,1.0,0,0,1.0,True,3.0186517238616943,6.226559321476088e-07
3.0,3.0,5,5,64000,0,1.0,0,0,1.0,True,4.541620254516602,1.3420441424827345e-09
3.0,3.0,5,2,1000,2,0.9999,0,,1.0,False,0.8075371980667114,0.003356268396601081
3.0,3.0,5,2,4000,0,1.0,0,0,1.0,True,1.0779446363449097,0.00015343772247433662
3.0,3.0,5,2,16000,0,1.0,0,0,1.0,True,1.6982887983322144,2.2736973903647595e-07
3.0,3.0,5,2,64000,0,1.0,0,0,1.0,True,2.7386109828948975,6.994426149375954e-10
3.0,3.0,5,8,1000,0,1.0,0,0,1.0,True,0.9527838230133057,0.002090701600536704
3.0,3.0,5,8,4000,0,1.0,0,0,1.0,True,1.1913851499557495,9.018754644785076e-05
3.0,3.0,5,8,16000,0,1.0,0,0,1.0,True,1.7560323476791382,1.0180466603060268e-07
3.0,3.0,5,8,64000,0,1.0,0,0,1.0,True,2.749669313430786,1.2119630299345374e-10
3.0,3.0,5,4,1000,0,1.0,0,2,1.0,True,1.0229432582855225,0.0019393134862184525
3.0,3.0,5,4,4000,0,1.0,0,0,1.0,True,1.3145886659622192,0.00012157766468590125
3.0,3.0,5,4,16000,0,1.0,0,0,1.0,True,2.062690019607544,1.644257707766883e-07
3.0,3.0,5,4,64000,0,1.0,0,0,1.0,True,2.844893217086792,1.2201181176507703e-09
