a,n,imputed,G1_mean_diff,G1_lo,G1_hi,G1,G2_spearman,G2,G3_median_resid_own,G3_median_resid_pop,EXT_pred,EXT_obs_imputed,EXT_tol,EXT,median_final_over_own_noncrossers
1.3,40,10,-0.030098042302417395,-0.056360063230375644,-0.004293338553340828,PASS,0.5016653424919602,FAIL,0.027684476543675895,0.053387777395194735,0.02513353149982995,0.027684476543676007,0.01,PASS,0.1512442447733992
1.5,40,10,-0.028882803533995676,-0.05568774879940557,-0.0026177641688609346,PASS,0.5067330072024776,FAIL,0.058626728955433194,0.08882345703281103,0.05302960089679768,0.05862672895543308,0.01325740022419942,PASS,0.29642457218538854
