type,dmu,var,c,G
pair_c_nonzero,2.356600938066844,6.023955063665819,-1.7913244225812717,-3.4533039189831425
single_unit,2.356600938066844,6.0239550636628,-1.7913244225810412,-3.453303918980995
single_unit,2.356600938066844,6.023955063665811,-1.7913244225812703,-3.4533039189831336
single_unit,2.356600938066845,6.02395506298134,1.7913244226195852,-3.4533039187390964
single_unit,2.3566009380668445,6.023955063665775,-1.7913244225812688,-3.453303918983111
pair_c_nonzero,2.356600938066845,6.023955067682442,1.7913244229498302,-3.453303922008186
pair_c_nonzero,2.356600938066844,6.023955063513075,1.7913244225567397,-3.4533039188398815
single_unit,2.3566009380668445,6.023955073817705,-1.7913244249397346,-3.453303930459466
single_unit,2.3566009380668436,6.023955063665811,1.7913244225812703,-3.4533039189831345
single_unit,2.3566009380668436,6.02395506366575,-1.7913244225812626,-3.4533039189830816
single_unit,2.356600938066846,6.023955063665815,-1.7913244225812714,-3.4533039189831367
single_unit,2.356600938066844,6.023955063665819,1.7913244225812737,-3.453303918983148
single_unit,2.356600938066844,6.02395506366581,1.7913244225812703,-3.453303918983133
single_unit,2.356600938066844,6.023955063666023,1.7913244225812985,-3.453303918983317
pair_c_nonzero,2.3566009380668445,6.023955065809987,1.7913244229056922,-3.4533039209407246
single_unit,2.356600938066845,6.023955063671069,-1.7913244225826628,-3.453303918989537
single_unit,2.356600938066845,6.02395506144476,1.7913244220653484,-3.4533039164724992
pair_c_nonzero,2.356600938066845,6.023955058174277,1.7913244219866409,-3.453303914603709
single_unit,2.3566009380668436,6.0239550636658,-1.7913244225812688,-3.4533039189831234
single_unit,2.356600938066844,6.023955063664864,-1.7913244225811047,-3.453303918982209
single_unit,2.3566009380668436,6.023955063665849,-1.791324422581278,-3.4533039189831753
pair_c_nonzero,2.3566009380668453,6.023955066455999,1.7913244226848786,-3.4533039206753555
pair_c_nonzero,2.3566009380668445,6.023955073981994,-1.7913244219179174,-3.453303922430675
single_unit,2.3566009380668436,6.02395506366581,-1.7913244225812701,-3.4533039189831323
single_unit,2.356600938066844,6.023955060150663,-1.791324421469758,-3.453303914217785
single_unit,2.356600938066844,6.023955063665811,-1.7913244225812703,-3.453303918983134
single_unit,2.356600938066844,6.023955063665811,1.7913244225812703,-3.4533039189831336
single_unit,2.3566009380668445,6.023955063665794,1.7913244225812688,-3.453303918983121
pair_c_nonzero,2.3566009380668445,6.023955063661099,-1.7913244225801375,-3.4533039189777046
single_unit,2.3566009380668436,6.023955063665809,-1.7913244225812697,-3.4533039189831305
single_unit,2.356600938066844,6.023955063665811,-1.7913244225812703,-3.4533039189831336
pair_c_nonzero,2.356600938066844,6.023955063608916,-1.7913244225696021,-3.4533039189229737
single_unit,2.3566009380668436,6.023955063665811,1.7913244225812703,-3.4533039189831345
pair_c_nonzero,2.356600938066845,6.023955063590717,1.7913244225803802,-3.4533039189426855
pair_c_nonzero,2.3566009380668445,6.023955065188525,-1.7913244227458116,-3.453303920196565
single_unit,2.3566009380668436,6.023955063665845,-1.7913244225812794,-3.453303918983176
single_unit,2.3566009380668436,6.023955063665859,-1.7913244225812863,-3.4533039189832015
single_unit,2.3566009380668436,6.023955063665815,-1.7913244225812766,-3.4533039189831527
single_unit,2.356600938066844,6.023955063665796,1.791324422581269,-3.4533039189831243
single_unit,2.356600938066843,6.023955063665801,1.7913244225812437,-3.453303918983058
single_unit,2.3566009380668445,6.023955062798096,1.791324422440788,-3.4533039181662475
pair_c_nonzero,2.3566009380668453,6.023955043414129,-1.7913244176340561,-3.4533038954386743
pair_c_nonzero,2.356600938066845,6.023955063168167,1.7913244225854503,-3.453303918742147
single_unit,2.356600938066844,6.023955063666178,1.7913244225813418,-3.4533039189835124
single_unit,2.3566009380668334,6.023955063666445,1.7913244225814378,-3.4533039189838917
