a,thickness_w1,thickness_b1,thickness_w2,thickness_b2,step_w1,step_b1,step_w2,step_b2
1.02,0.02259999999999751,0.05143518650653345,0.0,0.0,0.0031793639063835144,0.0015651099383831024,0.00075550377368927,0.000978732481598854
1.1,0.05219999999999425,0.11499561269568392,0.0019999999999997797,0.006267317073724854,0.0030132271349430084,0.0015882235020399094,0.0007483363151550293,0.0009608250111341476
1.25,0.08479999999999066,0.18092748184200858,0.007999999999999119,0.02494706094427812,0.002837982028722763,0.0017118500545620918,0.000729389488697052,0.0009178407490253448
1.35,0.10239999999998872,0.21175062939621814,0.01379999999999848,0.04353149787582389,0.002827996853739023,0.0016767596825957298,0.0007168352603912354,0.0008856002241373062
1.45,0.11739999999998707,0.24103394979583026,0.02059999999999773,0.06463822025602184,0.0026892125606536865,0.0016169464215636253,0.0006997361779212952,0.0008791256695985794
1.5,0.12459999999998628,0.2540937924812683,0.02459999999999729,0.0757994910261015,0.0025778375566005707,0.0015943031758069992,0.0006911605596542358,0.0008758734911680222
2.0,0.1879999999999793,0.34264303875136015,0.07319999999999194,0.22949538553543292,0.0021210461854934692,0.0012786025181412697,0.0005683004856109619,0.0008759498596191406
3.0,0.28394540879790986,0.43113363419417006,0.20579999999997733,0.6648209357738786,0.0020050834864377975,0.0010354616679251194,0.0006376653909683228,0.0009498707950115204
