a,seed,w2,margin,solved,gstar,bound
1.25,0,3.5914117592672654,-0.3622518344295873,False,0.06624635170956061,
1.25,1,4.488471256271273,-0.4245359235252444,False,0.06624635170956061,
1.25,2,4.333668549244257,-0.3822739819135652,False,0.06624635170956061,
1.25,3,2.812856317327038,-0.6477550255307776,False,0.06624635170956061,
1.25,4,0.8010858346896718,-0.006516285537669697,False,0.06624635170956061,
1.25,5,5.077511768565957,-0.3607227201825438,False,0.06624635170956061,
1.25,6,0.49664957448985464,-0.03272193941956647,False,0.06624635170956061,
1.25,7,5.146992509837878,-0.32264334420901797,False,0.06624635170956061,
1.25,8,0.39611268860942245,-0.0054171217389963056,False,0.06624635170956061,
1.25,9,2.5988933536014995,-0.6045487713267308,False,0.06624635170956061,
1.25,10,5.611401900781452,-0.3298016407111106,False,0.06624635170956061,
1.25,11,3.39114213886451,-0.5281359674970822,False,0.06624635170956061,
1.25,12,0.5720007274685182,-0.09577786548514072,False,0.06624635170956061,
1.25,13,3.694082388320497,-0.5257293994530521,False,0.06624635170956061,
1.25,14,4.446922472223752,-0.3733368825536356,False,0.06624635170956061,
1.25,15,5.576423337114949,-0.3092198666539723,False,0.06624635170956061,
1.25,16,0.3632856813915059,-0.017836145118458328,False,0.06624635170956061,
1.25,17,0.4151906435819188,-0.006772269426113281,False,0.06624635170956061,
1.25,18,5.309768527085565,-0.2480957558631296,False,0.06624635170956061,
1.25,19,5.836745624847583,-0.32425115338696386,False,0.06624635170956061,
1.25,20,3.420567402559982,-0.5343602566735068,False,0.06624635170956061,
1.25,21,3.5610081034939935,-0.5314875148700455,False,0.06624635170956061,
1.25,22,5.314167735795235,-0.329852788636245,False,0.06624635170956061,
1.25,23,4.1918639421252175,-0.4392080963232097,False,0.06624635170956061,
1.25,24,3.929841809893968,-0.5325047766434583,False,0.06624635170956061,
1.25,25,4.444616581674203,-0.45661132142115335,False,0.06624635170956061,
1.25,26,3.4612305374586563,-0.47871210996983393,False,0.06624635170956061,
1.25,27,3.347210337743628,-0.7031517334554991,False,0.06624635170956061,
1.25,28,3.057718071513729,-0.5354673441210949,False,0.06624635170956061,
1.25,29,2.1638544540107594,-0.6798072843640819,False,0.06624635170956061,
1.25,30,0.4485955381580462,-0.015184855256205443,False,0.06624635170956061,
1.25,31,2.7750062811077014,-0.7777772401066274,False,0.06624635170956061,
1.25,32,2.398989735857896,-0.6627646348169813,False,0.06624635170956061,
1.25,33,2.8267296199433214,-0.6813674587913638,False,0.06624635170956061,
1.25,34,3.7859059612235817,-0.47125823688378965,False,0.06624635170956061,
1.25,35,2.7454785248496774,-0.6214675171787514,False,0.06624635170956061,
1.25,36,3.269427547106398,-0.5976405703054031,False,0.06624635170956061,
1.25,37,4.552337125993038,-0.45557786117441346,False,0.06624635170956061,
1.25,38,4.981378365098958,-0.561153427629888,False,0.06624635170956061,
