a,seed,w2_lo,w2_hi,evals,note,Ghat_cert,w2_own,R_own,w2_pop,own_over_pop
1.3,200000,4.525,4.53125,10,,0.0861017938777792,4.528125,0.1949398427014095,4.956250000000001,0.9136191677175283
1.3,200001,5.15,5.15625,7,,0.0861017938777792,5.153125,0.22184665328821548,4.956250000000001,1.0397225725094577
1.3,200002,4.9375,4.94375,6,,0.0861017938777792,4.940625,0.21269833768870144,4.956250000000001,0.9968474148802016
1.3,200003,4.91875,4.925,6,,0.0861017938777792,4.921875,0.21189113337109727,4.956250000000001,0.9930643127364437
1.3,200004,5.01875,5.025,6,,0.0861017938777792,5.021875,0.2161962230649862,4.956250000000001,1.0132408575031524
1.3,200005,4.65625,4.6625,8,,0.0861017938777792,4.659375,0.20059027292463874,4.956250000000001,0.9401008827238334
1.3,200006,6.38125,6.3875,20,,0.0861017938777792,6.384375,0.27485307014422333,4.956250000000001,1.2881462799495584
1.3,200007,5.4875,5.49375,11,,0.0861017938777792,5.490625,0.2363763310050907,4.956250000000001,1.1078184110970994
1.3,200008,6.24375,6.25,18,,0.0861017938777792,6.246875,0.268933571815126,4.956250000000001,1.260403530895334
1.3,200009,5.11875,5.125,7,,0.0861017938777792,5.121875,0.2205013127588752,4.956250000000001,1.0334174022698612
1.3,200010,4.9625,4.96875,6,,0.0861017938777792,4.965625,0.2137746101121737,4.956250000000001,1.0018915510718789
1.3,200011,5.075,5.08125,7,,0.0861017938777792,5.078125,0.21861783601779877,4.956250000000001,1.0245901639344261
1.3,200012,5.01875,5.025,6,,0.0861017938777792,5.021875,0.2161962230649862,4.956250000000001,1.0132408575031524
1.3,200013,5.14375,5.15,7,,0.0861017938777792,5.146875,0.2215775851823474,4.956250000000001,1.0384615384615383
1.3,200014,4.58125,4.5875,9,,0.0861017938777792,4.584375,0.197361455654222,4.956250000000001,0.9249684741488018
1.3,200015,5.3875,5.39375,10,,0.0861017938777792,5.390625,0.23207124131120177,4.956250000000001,1.0876418663303908
1.3,200016,4.8,4.80625,7,,0.0861017938777792,4.803125,0.20677883935960412,4.956250000000001,0.9691046658259771
1.3,200017,4.68125,4.6875,8,,0.0861017938777792,4.684375,0.201666545348111,4.956250000000001,0.9451450189155106
1.3,200018,5.7125,5.71875,13,,0.0861017938777792,5.715625,0.2460627828163409,4.956250000000001,1.153215636822194
1.3,200019,5.21875,5.225,8,,0.0861017938777792,5.221875,0.22480640245276415,4.956250000000001,1.0535939470365698
1.3,200020,5.3875,5.39375,10,,0.0861017938777792,5.390625,0.23207124131120177,4.956250000000001,1.0876418663303908
1.3,200021,4.8875,4.89375,6,,0.0861017938777792,4.890625,0.21054579284175698,4.956250000000001,0.9867591424968473
1.3,200022,5.36875,5.375,10,,0.0861017938777792,5.371875,0.2312640369935976,4.956250000000001,1.0838587641866329
1.3,200023,5.01875,5.025,6,,0.0861017938777792,5.021875,0.2161962230649862,4.956250000000001,1.0132408575031524
1.3,200024,5.39375,5.4,10,,0.0861017938777792,5.396875,0.23234030941706982,4.956250000000001,1.08890290037831
1.3,200025,6.35625,6.3625,20,,0.0861017938777792,6.359375,0.2737767977207511,4.956250000000001,1.2831021437578813
1.3,200026,5.11875,5.125,7,,0.0861017938777792,5.121875,0.2205013127588752,4.956250000000001,1.0334174022698612
1.3,200027,5.51875,5.525,11,,0.0861017938777792,5.521875,0.23772167153443102,4.956250000000001,1.1141235813366959
1.3,200028,5.83125,5.8375,14,,0.0861017938777792,5.834375,0.251175076827834,4.956250000000001,1.1771752837326606
1.3,200029,4.70625,4.7125,8,,0.0861017938777792,4.709375,0.2027428177715832,4.956250000000001,0.9501891551071877
1.3,200030,5.34375,5.35,9,,0.0861017938777792,5.346875,0.23018776457012535,4.956250000000001,1.0788146279949558
1.3,200031,5.55,5.55625,11,,0.0861017938777792,5.553125,0.23906701206377132,4.956250000000001,1.1204287515762923
1.3,200032,5.05625,5.0625,7,,0.0861017938777792,5.059375,0.2178106317001946,4.956250000000001,1.0208070617906682
1.3,200033,5.1125,5.11875,7,,0.0861017938777792,5.115625,0.22023224465300711,4.956250000000001,1.0321563682219417
1.3,200034,5.0125,5.01875,6,,0.0861017938777792,5.015625,0.21592715495911816,4.956250000000001,1.011979823455233
1.3,200035,4.9,4.90625,6,,0.0861017938777792,4.903125,0.2110839290534931,4.956250000000001,0.9892812105926859
1.3,200036,5.3875,5.39375,10,,0.0861017938777792,5.390625,0.23207124131120177,4.956250000000001,1.0876418663303908
1.3,200037,5.5375,5.54375,11,,0.0861017938777792,5.540625,0.23852887585203522,4.956250000000001,1.1179066834804539
1.3,200038,4.80625,4.8125,7,,0.0861017938777792,4.809375,0.2070479074654722,4.956250000000001,0.9703656998738965
1.3,200039,5.5125,5.51875,11,,0.0861017938777792,5.515625,0.23745260342856297,4.956250000000001,1.1128625472887765
1.3,200040,4.79375,4.8,7,,0.0861017938777792,4.796875,0.20650977125373607,4.956250000000001,0.9678436317780579
