a,w2,best_loss,best_gap,best_solves,frac_restarts_gap_pos,gstar
1.3,1.0,0.5050554032867393,-0.821328591915278,False,0.0,0.08578310157628577
1.3,1.25,0.48872838750352604,-0.6135922489232186,False,0.0,0.08578310157628577
1.3,1.5,0.4743502351395471,-0.47153904180051676,False,0.0,0.08578310157628577
1.3,1.75,0.46125487618459104,-0.36903173436434145,False,0.0,0.08578310157628577
1.3,2.0,0.44908448934089606,-0.2919169147583127,False,0.0,0.08578310157628577
1.3,2.25,0.4376257886031887,-0.23198179517956552,False,0.0,0.08578310157628577
1.3,2.5,0.42674145052106716,-0.18417058855126722,False,0.0,0.08578310157628577
1.3,2.75,0.41633769364097334,-0.14521452477608765,False,0.0,0.08578310157628577
1.3,3.0,0.40634743822292135,-0.11291240946761283,False,0.0,0.08578310157628577
1.3,3.25,0.39672088232300806,-0.08573055952206898,False,0.0,0.08578310157628577
1.3,3.5,0.3874199010950241,-0.06311832188369682,False,0.0,0.08578310157628577
1.3,3.75,0.37841454951543596,-0.04685226824709554,False,0.0,0.08578310157628577
1.3,4.0,0.3696807865498595,-0.0327105533826102,False,0.0,0.08578310157628577
1.3,4.25,0.3611989415841832,-0.02031682172111049,False,0.0,0.08578310157628577
1.3,4.5,0.35295264974848933,-0.009377988812089288,False,0.0,0.08578310157628577
1.3,4.75,0.3449280935026941,0.0003374790733916555,False,0.25,0.08578310157628577
1.3,5.0,0.33711345015845817,0.009014853535412204,False,0.4583333333333333,0.08578310157628577
1.3,5.25,0.3294984814530807,0.016804098537825052,False,0.4583333333333333,0.08578310157628577
1.3,5.5,0.32207422334255914,0.023827872239468473,False,0.4583333333333333,0.08578310157628577
1.3,5.75,0.31483274793251576,0.030187434537351177,False,0.4583333333333333,0.08578310157628577
1.3,6.0,0.3077669782741474,0.03596711287401755,False,0.4583333333333333,0.08578310157628577
1.3,6.25,0.30087054253158657,0.04123768150058282,False,0.4583333333333333,0.08578310157628577
1.3,6.5,0.294137657901692,0.046058970120438136,False,0.4583333333333333,0.08578310157628577
1.3,6.75,0.28756303731633387,0.0504818875110673,False,0.4583333333333333,0.08578310157628577
1.3,7.0,0.28114181380089703,0.05455002626367378,False,0.4583333333333333,0.08578310157628577
1.3,7.25,0.27486947866685824,0.058300894381719814,False,0.4583333333333333,0.08578310157628577
1.3,7.5,0.2687418306528372,0.061766959392450804,False,0.4583333333333333,0.08578310157628577
1.3,7.75,0.2627549338101772,0.06497646700321624,False,0.4166666666666667,0.08578310157628577
1.3,8.0,0.25690508243014126,0.06795457315103848,False,0.4166666666666667,0.08578310157628577
1.3,8.25,0.2511887716896247,0.07072178403955753,True,0.375,0.08578310157628577
1.35,1.0,0.4931716789711318,-0.7645324771315498,False,0.0,0.1067705918459203
1.35,1.25,0.4747792246217138,-0.5568451898482873,False,0.0,0.1067705918459203
1.35,1.5,0.458472529340587,-0.4150784595410415,False,0.0,0.1067705918459203
1.35,1.75,0.4435645870960053,-0.3129442932860398,False,0.0,0.1067705918459203
1.35,2.0,0.42968427247501934,-0.2362290019840878,False,0.0,0.1067705918459203
1.35,2.25,0.4166091160106237,-0.17669453395211576,False,0.0,0.1067705918459203
1.35,2.5,0.40419506583006737,-0.129274410309959,False,0.0,0.1067705918459203
1.35,2.75,0.39234317308191385,-0.09069558820958035,False,0.0,0.1067705918459203
1.35,3.0,0.38098222944981314,-0.06247126587069873,False,0.0,0.1067705918459203
1.35,3.25,0.3700590189638407,-0.040642288910358815,False,0.0,0.1067705918459203
1.35,3.5,0.35953250642975393,-0.022075190410073997,False,0.0,0.1067705918459203
1.35,3.75,0.3493701980362979,-0.006116854411179595,False,0.0,0.1067705918459203
1.35,4.0,0.33954576702054173,0.007723828392205423,False,0.4583333333333333,0.1067705918459203
1.35,4.25,0.33003745031424503,0.019823019764448002,False,0.4583333333333333,0.1067705918459203
1.35,4.5,0.3208269335861339,0.030473553431563882,False,0.4583333333333333,0.1067705918459203
1.35,4.75,0.3118985561452993,0.03990669675415637,False,0.4583333333333333,0.1067705918459203
1.35,5.0,0.30323873147943714,0.0483074547308453,False,0.4583333333333333,0.1067705918459203
1.35,5.25,0.29483551689617643,0.055825538224096416,False,0.4583333333333333,0.1067705918459203
1.35,5.5,0.2866782885946559,0.0625833613818525,False,0.4583333333333333,0.1067705918459203
1.35,5.75,0.27875749277970974,0.0686819717270657,False,0.4583333333333333,0.1067705918459203
1.35,6.0,0.2710644526003525,0.07420549139427335,False,0.4583333333333333,0.1067705918459203
1.35,6.25,0.26359121672260544,0.07922451129421759,False,0.4583333333333333,0.1067705918459203
1.35,6.5,0.2563304393965788,0.08379868058720774,False,0.4583333333333333,0.1067705918459203
1.35,6.75,0.24927528465221938,0.08797877957935407,True,0.4583333333333333,0.1067705918459203
1.4,1.0,0.4813911409249807,-0.7064822123494139,False,0.0,0.1286030010801844
1.4,1.25,0.4609734675511756,-0.49883062708189385,False,0.0,0.1286030010801844
1.4,1.5,0.4427890054392501,-0.3573450011335968,False,0.0,0.1286030010801844
1.4,1.75,0.4261308244708327,-0.25558489081204794,False,0.0,0.1286030010801844
1.4,2.0,0.41061503900025675,-0.17927514690844726,False,0.0,0.1286030010801844
1.4,2.25,0.3960102464969054,-0.12015142634262466,False,0.0,0.1286030010801844
1.4,2.5,0.38216571087868784,-0.07662554094391583,False,0.0,0.1286030010801844
1.4,2.75,0.3689772035773727,-0.04563423419572343,False,0.0,0.1286030010801844
1.4,3.0,0.35636915033512634,-0.020023606122620663,False,0.0,0.1286030010801844
1.4,3.25,0.34428458063822476,0.0014429935653170745,False,0.2916666666666667,0.1286030010801844
1.4,3.5,0.33267912173110703,0.019653653377856184,False,0.4583333333333333,0.1286030010801844
1.4,3.75,0.3215172302974274,0.035261947406706184,False,0.4583333333333333,0.1286030010801844
1.4,4.0,0.3107697307493228,0.048759151852063365,False,0.4583333333333333,0.1286030010801844
1.4,4.25,0.30041215183755293,0.06052144503985879,False,0.4583333333333333,0.1286030010801844
1.4,4.5,0.29042357019123416,0.07084158148646047,False,0.4583333333333333,0.1286030010801844
1.4,4.75,0.2807857865918569,0.07995070395738058,False,0.4583333333333333,0.1286030010801844
