a,seed,optimizer,budget,w2_abs,R_certified,R_restricted,placement_G,placement_ok,bias_ok,bias_miss,bias_lo,bias_hi,b2,dense_viol_inner,dense_viol_outer,viol_x_lo,viol_x_hi,worst_logit,sample_errors,w1,b1,kind
3.0,13,adam,2000,1.099398,0.578447,0.57658,0.768428,True,False,0.010958,2.342373,3.187182,2.331415,0,11,1.2,1.204,-0.010958,1,-1.452066,-1.944588,bias near-miss
3.0,82,adam,2000,0.951985,0.500886,0.499269,-0.216202,False,,,,,-0.284067,1847,2000,-2.0,0.8,0.054299,185,0.019358,0.07346,"placement failure, w1~0 constant-predictor region"
