layer,student_activation,eval_mse,worst_point_distance,errors_with_teacher_suffix,teacher_errors,student_seed
1,tanh,0.18856149911880493,1.881540060043335,1023,0,0
1,tanh,0.18856148421764374,1.881540060043335,1023,0,1
1,tanh,0.18856149911880493,1.881540298461914,1023,0,2
2,tanh,4.678814888000488,9.89781379699707,731,0,0
2,tanh,4.726995944976807,9.89696216583252,668,0,1
2,tanh,4.718365669250488,9.896709442138672,583,0,2
3,tanh,20.789060592651367,22.10344886779785,89,0,0
3,tanh,20.792692184448242,22.103404998779297,88,0,1
3,tanh,21.158639907836914,22.148530960083008,1000,0,2
