a,threshold,n,spearman_rho,residual_median_log,offset_vs_pop_median_log,median_threshold_over_pop
1.3,registered: own global threshold,38,0.8768262772042668,0.030820260150877896,0.091609195448931,1.0592686002522067
1.3,branch occupied at the crossing,38,0.99742819401394,0.029911703192831395,0.091609195448931,1.0643127364438838
1.3,branch selected by initialisation,38,0.12967117161171893,0.02998809074555466,0.091609195448931,1.0416141235813365
1.5,registered: own global threshold,38,0.8805823592093854,0.06396980434132524,0.11893987443497078,1.05679012345679
1.5,branch occupied at the crossing,38,0.9949655486251764,0.06253400395362724,0.11893987443497078,1.0604938271604938
1.5,branch selected by initialisation,38,0.12279742003711891,0.06253400395362724,0.11893987443497078,1.0419753086419754
