data,pair,diff,ci90_lo,ci90_hi,ci95_lo,ci95_hi,delta,verdict
"existing (untargeted, context only)",adam - adamw,-0.011570020649618262,-0.028682016008805863,0.1882846115020611,-0.0342961203731798,0.19782858490430122,0.024,inconclusive
"existing (untargeted, context only)",adam - sgd,-0.035950375184890804,-0.0510049821384029,0.16102914601024026,-0.05288817954979912,0.16987819421456454,0.024,inconclusive
"existing (untargeted, context only)",adamw - sgd,-0.02438035453527254,-0.0455875032268678,0.0021167326187511797,-0.04641386113064117,0.009315728375833983,0.024,inconclusive
