width,a,seed,steps,test_accuracy,train_accuracy
1,0.0,0,2000,0.8700000047683716,0.8816999793052673
1,0.0,1,2000,0.8797000050544739,0.9057999849319458
1,0.0,2,2000,0.8676999807357788,0.9003999829292297
1,0.0,3,2000,0.8676999807357788,0.8894000053405762
1,0.0,4,2000,0.863099992275238,0.879800021648407
1,1.0,0,2000,0.8725000023841858,0.8884000182151794
1,1.0,1,2000,0.8780999779701233,0.8996999859809875
1,1.0,2,2000,0.8600000143051147,0.8697999715805054
1,1.0,3,2000,0.8446999788284302,0.8550999760627747
1,1.0,4,2000,0.8543000221252441,0.8695999979972839
1,1.5,0,2000,0.8384000062942505,0.8770999908447266
1,1.5,1,2000,0.7876999974250793,0.8113999962806702
1,1.5,2,2000,0.7279000282287598,0.7336999773979187
1,1.5,3,2000,0.7835999727249146,0.8004999756813049
1,1.5,4,2000,0.823199987411499,0.8260999917984009
1,2.5,0,2000,0.8431000113487244,0.8730999827384949
1,2.5,1,2000,0.7955999970436096,0.8195000290870667
1,2.5,2,2000,0.7037000060081482,0.7199000120162964
1,2.5,3,2000,0.6413000226020813,0.6571000218391418
1,2.5,4,2000,0.789900004863739,0.8127999901771545
1,4.0,0,2000,0.853600025177002,0.8859999775886536
1,4.0,1,2000,0.7836999893188477,0.8079000115394592
1,4.0,2,2000,0.7114999890327454,0.7310000061988831
1,4.0,3,2000,0.651199996471405,0.6686999797821045
1,4.0,4,2000,0.8379999995231628,0.8582000136375427
2,0.0,0,2000,0.9456999897956848,0.9695000052452087
2,0.0,1,2000,0.9562000036239624,0.9747999906539917
2,0.0,2,2000,0.9449999928474426,0.9692000150680542
2,0.0,3,2000,0.9456999897956848,0.9643999934196472
2,0.0,4,2000,0.944100022315979,0.9634000062942505
2,1.0,0,2000,0.9365000128746033,0.9510999917984009
2,1.0,1,2000,0.9430999755859375,0.9585000276565552
2,1.0,2,2000,0.9380999803543091,0.9570000171661377
2,1.0,3,2000,0.9305999875068665,0.9526000022888184
2,1.0,4,2000,0.9401999711990356,0.9539999961853027
2,1.5,0,2000,0.9503999948501587,0.9718999862670898
2,1.5,1,2000,0.9491999745368958,0.9696999788284302
2,1.5,2,2000,0.9538000226020813,0.9715999960899353
2,1.5,3,2000,0.9404000043869019,0.9611999988555908
2,1.5,4,2000,0.9519000053405762,0.9674000144004822
2,2.5,0,2000,0.9416000247001648,0.9656000137329102
2,2.5,1,2000,0.9521999955177307,0.9735000133514404
2,2.5,2,2000,0.9524000287055969,0.9704999923706055
2,2.5,3,2000,0.9387000203132629,0.9595999717712402
2,2.5,4,2000,0.9488000273704529,0.9703999757766724
2,4.0,0,2000,0.9472000002861023,0.9642999768257141
2,4.0,1,2000,0.9550999999046326,0.9732999801635742
2,4.0,2,2000,0.9480000138282776,0.9664999842643738
2,4.0,3,2000,0.941100001335144,0.9649999737739563
2,4.0,4,2000,0.9521999955177307,0.9682000279426575
3,0.0,0,2000,0.9635999798774719,0.9821000099182129
3,0.0,1,2000,0.9678999781608582,0.9818000197410583
3,0.0,2,2000,0.9638000130653381,0.9818999767303467
3,0.0,3,2000,0.965399980545044,0.9814000129699707
3,0.0,4,2000,0.9598000049591064,0.9749000072479248
3,1.0,0,2000,0.9606999754905701,0.9771000146865845
3,1.0,1,2000,0.9562000036239624,0.9742000102996826
3,1.0,2,2000,0.9542999863624573,0.9726999998092651
3,1.0,3,2000,0.9605000019073486,0.975600004196167
3,1.0,4,2000,0.9537000060081482,0.9696000218391418
3,1.5,0,2000,0.9639000296592712,0.9825000166893005
3,1.5,1,2000,0.9671000242233276,0.9801999926567078
3,1.5,2,2000,0.9549000263214111,0.9750999808311462
3,1.5,3,2000,0.9592999815940857,0.9793999791145325
3,1.5,4,2000,0.9617000222206116,0.974399983882904
3,2.5,0,2000,0.96670001745224,0.9825999736785889
3,2.5,1,2000,0.9623000025749207,0.9825000166893005
3,2.5,2,2000,0.9595000147819519,0.9797000288963318
3,2.5,3,2000,0.9642999768257141,0.9824000000953674
3,2.5,4,2000,0.9639999866485596,0.9811000227928162
3,4.0,0,2000,0.9656999707221985,0.9833999872207642
3,4.0,1,2000,0.9653000235557556,0.9829000234603882
3,4.0,2,2000,0.9556999802589417,0.9763000011444092
3,4.0,3,2000,0.9652000069618225,0.9846000075340271
3,4.0,4,2000,0.963100016117096,0.982200026512146
