a,kappa_lo,kappa_hi
1.02,0.3077470213836607,0.3079915928483759
1.05,0.3083955537408968,0.3084591715861418
1.1,0.3094056072683204,0.3095232629645215
1.25,0.3122362188821734,0.3124052347263389
1.3,0.3130917881713532,0.313225603940872
1.35,0.3139090087739596,0.3140194061806204
1.4,0.3146879451001646,0.3147817855848426
1.45,0.3154349607950654,0.3155165538826394
1.5,0.3161518590818352,0.316224070289113
1.6,0.3174895289521884,0.3177838673481982
2.0,0.32199155071518215,0.3221667707333152
3.0,0.32936432860975845,0.3294644871289312
