a,model,mean_over_windows_of_window_mean_abslogerr,mean_over_runs_abslogerr,n_runs,n_windows
1.3,U,0.12202681088026691,0.12212096736311373,460,8
1.3,C,0.07106374728303363,0.07101523299089202,460,8
1.3,own,0.05239906278475745,0.05241276887163229,460,8
1.3,Cown,0.026310377814265228,0.026317330272761345,460,8
1.3,PL,0.0720573881166729,0.07201804123965501,460,8
1.3,PL5,0.07139272603485448,0.0713479116426825,460,8
1.3,RK,0.14346013854323575,0.14336978580538384,460,8
1.3,RKa,0.14617316923579632,0.1461221694243322,460,8
1.3,RG,0.14316211032879075,0.14309617487941914,460,8
1.5,U,0.16600423960216149,0.16621430623877095,460,8
1.5,C,0.0738762116103596,0.07388188764544715,460,8
1.5,own,0.09649905330259903,0.09659125933085869,460,8
1.5,Cown,0.042066607190696194,0.04213631177868832,460,8
1.5,PL,0.07271175620178803,0.07269461595750942,460,8
1.5,PL5,0.0726430527647838,0.0726196639111175,460,8
1.5,RK,0.13538226328748848,0.13540010202527755,460,8
1.5,RKa,0.13260450802281476,0.13258470615513962,460,8
1.5,RG,0.1272868958372012,0.12724457404080844,460,8
