a,window,obs_median_R,err_mix,err_mix_fitted,err_U,err_C,err_U_own_setting
1.3,V10,0.21277964396199614,0.05603029173102116,0.026471489489476807,0.10667562211199225,0.0020621840744714905,0.04079222069265816
1.3,V20,0.22733746745803848,0.06636049465779532,0.0368016924162509,0.10647901265777353,0.002258793528690195,0.039835462477514495
1.3,V30,0.23421795861614475,0.07251686606673366,0.04295806382518919,0.10617282780097217,0.0025649783854916736,0.044855672635447076
1.3,V40,0.24225818449200576,0.06800289139524808,0.03844408915370373,0.09353960782532061,0.015198198361143113,0.04373279204663508
1.3,V50,0.23463194017980116,0.05764081654699091,0.0280820143054464,0.1534701580524684,0.04473235186600451,0.042874411776958124
1.3,V60,0.2378736745441334,0.052763649646112507,0.023204847404568064,0.13060238980102132,0.021864583614557613,0.039724596073620215
1.3,V70,0.24693059588829339,0.05736821211472721,0.027809409873182884,0.10981402494882311,0.001076218762359335,0.046880126949180215
1.3,V80,0.2511036550483312,0.062302678746862496,0.03274387650531809,0.10422523962384535,0.004512566562618308,0.05273970752250824
1.5,V10,0.22623098096149405,0.08902454950286161,0.02792945014305082,0.14216716033546045,0.010038772553870663,0.07191993056730794
1.5,V20,0.24455274211411018,0.09179021632404548,0.030695116964234773,0.14638873358282736,0.005817199306503776,0.07645109011983262
1.5,V30,0.2501899698746167,0.07794770953695629,0.016852610177145608,0.13429098356073577,0.01791494932859548,0.07366001340505378
1.5,V40,0.2670701579838439,0.11785792291744525,0.056762823557634526,0.1548816837126435,0.0026757508233123096,0.10169584324007401
1.5,V50,0.2596836113948327,0.12352316098545421,0.06242806162564333,0.2243326710953775,0.07212673820604631,0.10561729750566902
1.5,V60,0.26946672991255405,0.1315112383339302,0.07041613897411937,0.21424608104023732,0.06204014815090615,0.12256216080623135
1.5,V70,0.2776641632580763,0.12131659083710113,0.060221491477290306,0.17752211255340256,0.025316179664071452,0.11508974075166664
1.5,V80,0.28423374526063333,0.1365348206437871,0.07543972128397618,0.17962932286168298,0.027423389972351817,0.1247939270924027
