act,seed,placed_at_init,cross_step,ck_step,n_saved
tanh,630013,False,88,81,22
tanh,630014,False,59,57,20
tanh,630015,False,110,97,23
tanh,630016,False,74,68,21
tanh,630017,False,63,57,20
tanh,630018,False,86,81,22
tanh,630019,False,108,97,23
tanh,630020,False,67,57,20
tanh,630021,False,124,115,24
tanh,630022,False,102,97,23
tanh,630023,False,110,97,23
tanh,630024,False,163,137,25
tanh,630025,False,73,68,21
tanh,630026,False,454,395,31
tanh,630027,False,28,24,15
tanh,630028,False,63,57,20
tanh,630029,False,659,561,33
tanh,630030,False,51,48,19
tanh,630031,False,135,115,24
tanh,630032,False,103,97,23
tanh,630033,False,142,137,25
tanh,630034,False,141,137,25
tanh,630035,False,264,233,28
tanh,630036,False,,32000,56
tanh,630037,False,83,81,22
tanh,630038,False,82,81,22
tanh,630039,False,94,81,22
tanh,630040,False,,32000,56
tanh,630041,False,123,115,24
tanh,630042,False,130,115,24
tanh,630043,False,141,137,25
tanh,630044,False,13,12,11
tanh,630045,False,48,40,18
tanh,630046,False,,32000,56
tanh,630047,False,156,137,25
tanh,630048,False,124,115,24
tanh,630049,False,13,12,11
tanh,630050,False,195,164,26
tanh,630051,False,714,669,34
tanh,630052,False,119,115,24
tanh,630053,False,165,164,26
tanh,630054,False,58,57,20
tanh,630055,False,97,81,22
tanh,630056,False,104,97,23
tanh,630057,False,113,97,23
tanh,630058,False,127,115,24
tanh,630059,False,18,17,13
tanh,630060,False,105,97,23
tanh,630061,False,98,97,23
tanh,630062,False,129,115,24
tanh,630063,False,140,137,25
tanh,630064,False,116,115,24
tanh,630065,False,19,17,13
tanh,630066,False,183,164,26
tanh,630067,False,190,164,26
tanh,630068,False,160,137,25
tanh,630069,False,10,8,9
tanh,630070,False,160,137,25
tanh,630071,False,5654,5515,46
tanh,630072,False,149,137,25
tanh,630073,False,133,115,24
tanh,630074,False,202,195,27
tanh,630075,False,30,28,16
tanh,630076,False,205,195,27
tanh,630077,False,338,331,30
tanh,630078,False,26,24,15
tanh,630079,False,350,331,30
