act,seed,R2,variant,step,H,ck_step,drift,placed,G_lo,sign_correct,share1,share2,alpha1,alpha2,beta1,beta2,cancel_index,knockout,pair,pair_strict,max_abs_alpha,grad_max,grad_rel,hess_min,hess_min_rel,endpoint_type
f1.30,630000,0.003,preserved,1000,16000,97,1.734723475976807e-18,True,0.0009226496521081585,True,0.43298593716129047,0.5670140628387095,1.3443615839825296,-1.4464021042374509,-1.4063300439355817,-1.4172493987292656,0.16975986245059493,shared,False,False,1.4464021042374509,0.08747468671095976,17.30355566731526,-0.059583999824853386,-11.78643898728564,"other: placed, not the pair"
f1.30,630000,0.003,preserved,4000,16000,97,1.734723475976807e-18,True,0.003123249372663484,True,0.5005834729623686,0.49941652703763145,1.8871389462298025,-1.7143373193509914,-1.5444710913590893,-1.6221105384678403,0.04914497050296165,shared,True,False,1.8871389462298025,0.12202104189397867,24.137244389029963,0.0012425386909614249,0.24578924733834176,placed pair
f1.30,630000,0.003,preserved,16000,16000,97,1.734723475976807e-18,True,0.0031427897399886415,True,0.5000000161565891,0.499999983843411,1.8875152120431136,-1.7143322221425827,-1.5445387374193649,-1.6221138148215437,0.048081743933652,shared,True,False,1.8875152120431136,0.1220270659159648,24.13843601375818,0.0012439249853760262,0.24606347321414976,placed pair
f1.30,630000,0.003,reset,1000,16000,97,1.734723475976807e-18,True,0.003190287764446126,True,0.4986705162039292,0.5013294837960708,1.8875253682363682,-1.7143203954451063,-1.5445371668467798,-1.6221216255551525,0.04543467909208694,shared,True,False,1.8875253682363682,0.1220419722062539,24.141384659057856,0.0012439152404932314,0.24606154555795284,placed pair
f1.30,630000,0.003,reset,4000,16000,97,1.734723475976807e-18,True,0.0031444448204272467,True,0.49995575705915823,0.5000442429408418,1.8875150661674351,-1.7143310602065915,-1.544553410027794,-1.6221156890137318,0.04799372955914983,shared,True,False,1.8875150661674351,0.1220438705118041,24.141760166956157,0.0012440752672173297,0.24609320078797206,placed pair
f1.30,630000,0.003,reset,16000,16000,97,1.734723475976807e-18,True,0.003145935134588029,True,0.4999981273596948,0.500001872640305,1.8870769709712745,-1.714748634583221,-1.5449713464063088,-1.6227527187786834,0.04784098295934961,shared,True,False,1.8870769709712745,0.12206192694121942,24.14533194804265,0.0012442257245534095,0.246122963076793,placed pair
f1.30,630000,0.01,preserved,1000,16000,97,3.469446951953614e-18,True,0.012668537632852191,True,0.49325880965505964,0.5067411903449403,1.7244068817873894,-1.7004691012448596,-1.5141995550658496,-1.6243640239714625,0.00649360651943521,shared,True,False,1.7244068817873894,0.11633777760144515,6.903907701630433,0.002649284504196328,0.15721819747142898,placed pair
f1.30,630000,0.01,preserved,4000,16000,97,3.469446951953614e-18,True,0.010511634798204803,True,0.49993347471607563,0.5000665252839244,1.8869976625404596,-1.7147982447582222,-1.544662952096241,-1.6217281928269234,0.047676574003676246,shared,True,False,1.8869976625404596,0.12057990732608903,7.155651139412252,0.004122438866962874,0.24464054608837643,placed pair
f1.30,630000,0.01,preserved,16000,16000,97,3.469446951953614e-18,True,0.010503865227811913,True,0.499999909692885,0.5000000903071149,1.8869948617868635,-1.7147990846976997,-1.544679651122798,-1.6217384952090168,0.04780815632412077,shared,True,False,1.8869948617868635,0.12057896465856022,7.1555951980856545,0.00412211584456431,0.24462137676203008,placed pair
f1.30,630000,0.01,reset,1000,16000,97,3.469446951953614e-18,True,0.010681983554360005,True,0.49849076804727055,0.5015092319527293,1.8870343087265238,-1.714755553876377,-1.5446572427775478,-1.621756327491057,0.044819435666842704,shared,True,False,1.8870343087265238,0.12063349296879511,7.158831106736731,0.004121833506017919,0.244604621763739,placed pair
f1.30,630000,0.01,reset,4000,16000,97,3.469446951953614e-18,True,0.010510087361326366,True,0.49994660642640254,0.5000533935735976,1.8869972227392697,-1.7147986897767444,-1.5446629914940488,-1.6217279074364401,0.047702531961211186,shared,True,False,1.8869972227392697,0.1205794204860342,7.155622248549171,0.004122374092569113,0.24463670213978836,placed pair
f1.30,630000,0.01,reset,16000,16000,97,3.469446951953614e-18,True,0.010506585982563335,True,0.500000048173993,0.49999995182600704,1.8870139951467682,-1.7150365804057845,-1.54464294508971,-1.6217879017091554,0.047744404858560685,shared,True,False,1.8870139951467682,0.12057684233388088,7.155469251604634,0.004122208642340441,0.2446268837202559,placed pair
f1.30,630000,0.03,preserved,1000,16000,97,1.3877787807814457e-17,True,0.033374345839742164,True,0.49562983980205555,0.5043701601979445,1.8822207822774444,-1.7156432528069416,-1.544296834170632,-1.6209451344541494,0.037573890817473636,shared,True,False,1.8822207822774444,0.11701031280948127,2.3146061306157906,0.012106890880634606,0.23948900897855396,placed pair
f1.30,630000,0.03,preserved,4000,16000,97,1.3877787807814457e-17,True,0.031812368730449875,True,0.49981654476618415,0.5001834552338158,1.8855228887476145,-1.7161140421596932,-1.5450174216887762,-1.6206391844809414,0.04667052022802676,shared,True,False,1.8855228887476145,0.11650440725251376,2.3045987041287237,0.012137426576773306,0.2400930421427105,placed pair
f1.30,630000,0.03,preserved,16000,16000,97,1.3877787807814457e-17,True,0.03174892211601194,True,0.5000000015034978,0.4999999984965023,1.8855088766383679,-1.716129306955451,-1.545019501927062,-1.6206281983037105,0.04702848311099975,shared,True,False,1.8855088766383679,0.11648431201116993,2.304201195843396,0.01213622200093935,0.24006921416940527,placed pair
f1.30,630000,0.03,reset,1000,16000,97,1.3877787807814457e-17,True,0.03247371642856507,True,0.4979028389842347,0.5020971610157652,1.8856689065352548,-1.7159445587595596,-1.5449945475135758,-1.6207500710077585,0.04293869669729972,shared,True,False,1.8856689065352548,0.11671377674754291,2.3087402870808815,0.01213408124461879,0.24002686740880994,placed pair
f1.30,630000,0.03,reset,4000,16000,97,1.3877787807814457e-17,True,0.03178105117840094,True,0.499907188995008,0.500092811004992,1.885515816221848,-1.716122141246203,-1.545018489804811,-1.6206339494398163,0.0468471863958669,shared,True,False,1.885515816221848,0.1164944935318315,2.304402598690516,0.012136862549185222,0.24008188499184174,placed pair
f1.30,630000,0.03,reset,16000,16000,97,1.3877787807814457e-17,True,0.0317489533398418,True,0.5000000008916318,0.49999999910836823,1.8855092768967996,-1.716130496730897,-1.5450191695641573,-1.6206282439134632,0.047028241917643765,shared,True,False,1.8855092768967996,0.11648429783513159,2.3042009154241363,0.012136222567692295,0.24006922538046696,placed pair
