s_r,frac_available,final_computed,frac_final,frac_final_upper_bound,below_earliest_crossing
0.0031622776601683,0.0125523012552301,False,,0.0125523012552301,True
0.0042169650342858,0.0167364016736401,False,,0.0167364016736401,True
0.0056234132519034,0.0251046025104602,False,,0.0251046025104602,True
0.0074989420933245,0.0376569037656903,False,,0.0376569037656903,True
0.01,0.0418410041841004,False,,0.0418410041841004,True
0.0133352143216332,0.0753138075313807,True,0.016736401673640166,0.0753138075313807,True
0.0177827941003892,0.104602510460251,False,,0.104602510460251,False
0.0237137370566165,0.1548117154811715,False,,0.1548117154811715,False
0.0316227766016837,0.2761506276150627,False,,0.2761506276150627,False
0.0421696503428582,0.5271966527196653,False,,0.5271966527196653,False
0.0562341325190349,0.694560669456067,False,,0.694560669456067,False
0.0749894209332455,0.7782426778242678,True,0.5481171548117155,0.7782426778242678,False
0.1,0.7573221757322176,False,,0.7573221757322176,False
0.1333521432163324,0.7112970711297071,False,,0.7112970711297071,False
0.1778279410038923,0.6820083682008368,False,,0.6820083682008368,False
0.2371373705661655,0.6778242677824268,False,,0.6778242677824268,False
0.3162277660168379,0.6485355648535565,False,,0.6485355648535565,False
0.4216965034285822,0.6108786610878661,False,,0.6108786610878661,False
0.5623413251903491,0.5983263598326359,False,,0.5983263598326359,False
0.7498942093324559,0.5983263598326359,False,,0.5983263598326359,False
1.0,0.5983263598326359,False,,0.5983263598326359,False
1.333521432163324,0.5983263598326359,False,,0.5983263598326359,False
1.7782794100389228,0.5983263598326359,False,,0.5983263598326359,False
2.371373705661655,0.5983263598326359,False,,0.5983263598326359,False
3.1622776601683795,0.5983263598326359,False,,0.5983263598326359,False
4.216965034285822,0.5941422594142259,False,,0.5941422594142259,False
