s_r,n_runs,n_available,frac_available,below_earliest_crossing,frac_available_T2-3b,frac_available_T2-3c,frac_available_T2-3d
0.0031622776601683794,239,3,0.012552301255230125,True,0.0125,0.0,0.02531645569620253
0.004216965034285823,239,4,0.016736401673640166,True,0.025,0.0,0.02531645569620253
0.005623413251903491,239,6,0.02510460251046025,True,0.05,0.0,0.02531645569620253
0.007498942093324558,239,9,0.03765690376569038,True,0.0625,0.025,0.02531645569620253
0.01,239,10,0.04184100418410042,True,0.0625,0.025,0.0379746835443038
0.01333521432163324,239,18,0.07531380753138076,True,0.0875,0.0625,0.0759493670886076
0.01778279410038923,239,25,0.10460251046025104,False,0.125,0.0625,0.12658227848101267
0.023713737056616554,239,37,0.15481171548117154,False,0.175,0.125,0.16455696202531644
0.03162277660168379,239,66,0.27615062761506276,False,0.2875,0.3125,0.22784810126582278
0.042169650342858224,239,126,0.5271966527196653,False,0.4875,0.575,0.5189873417721519
0.05623413251903491,239,166,0.694560669456067,False,0.6625,0.725,0.6962025316455697
0.07498942093324558,239,186,0.7782426778242678,False,0.7375,0.8,0.7974683544303798
0.1,239,181,0.7573221757322176,False,0.725,0.75,0.7974683544303798
0.1333521432163324,239,170,0.7112970711297071,False,0.675,0.7125,0.7468354430379747
0.1778279410038923,239,163,0.6820083682008368,False,0.6625,0.6625,0.7215189873417721
0.23713737056616552,239,162,0.6778242677824268,False,0.6625,0.6625,0.7088607594936709
0.31622776601683794,239,155,0.6485355648535565,False,0.6125,0.625,0.7088607594936709
0.4216965034285822,239,146,0.6108786610878661,False,0.6125,0.6125,0.6075949367088608
0.5623413251903491,239,143,0.5983263598326359,False,0.6125,0.575,0.6075949367088608
0.7498942093324559,239,143,0.5983263598326359,False,0.6125,0.575,0.6075949367088608
1.0,239,143,0.5983263598326359,False,0.6125,0.575,0.6075949367088608
1.333521432163324,239,143,0.5983263598326359,False,0.6125,0.575,0.6075949367088608
1.7782794100389228,239,143,0.5983263598326359,False,0.6125,0.575,0.6075949367088608
2.371373705661655,239,143,0.5983263598326359,False,0.6125,0.575,0.6075949367088608
3.1622776601683795,239,143,0.5983263598326359,False,0.6125,0.575,0.6075949367088608
4.216965034285822,239,142,0.5941422594142259,False,0.6125,0.5625,0.6075949367088608
