arm,seed,crossed,s_r,s_cross,cross_step,passage_step,available
T2-3b,600160,True,0.0031622776601683794,0.04156922558428673,61.0,,False
T2-3b,600160,True,0.004216965034285823,0.04156922558428673,61.0,,False
T2-3b,600160,True,0.005623413251903491,0.04156922558428673,61.0,,False
T2-3b,600160,True,0.007498942093324558,0.04156922558428673,61.0,,False
T2-3b,600160,True,0.01,0.04156922558428673,61.0,,False
T2-3b,600160,True,0.01333521432163324,0.04156922558428673,61.0,,False
T2-3b,600160,True,0.01778279410038923,0.04156922558428673,61.0,,False
T2-3b,600160,True,0.023713737056616554,0.04156922558428673,61.0,,False
T2-3b,600160,True,0.03162277660168379,0.04156922558428673,61.0,,False
T2-3b,600160,True,0.042169650342858224,0.04156922558428673,61.0,36.0,True
T2-3b,600160,True,0.05623413251903491,0.04156922558428673,61.0,,False
T2-3b,600160,True,0.07498942093324558,0.04156922558428673,61.0,,False
T2-3b,600160,True,0.1,0.04156922558428673,61.0,,False
T2-3b,600160,True,0.1333521432163324,0.04156922558428673,61.0,,False
T2-3b,600160,True,0.1778279410038923,0.04156922558428673,61.0,,False
T2-3b,600160,True,0.23713737056616552,0.04156922558428673,61.0,,False
T2-3b,600160,True,0.31622776601683794,0.04156922558428673,61.0,,False
T2-3b,600160,True,0.4216965034285822,0.04156922558428673,61.0,,False
T2-3b,600160,True,0.5623413251903491,0.04156922558428673,61.0,,False
T2-3b,600160,True,0.7498942093324559,0.04156922558428673,61.0,,False
T2-3b,600160,True,1.0,0.04156922558428673,61.0,,False
T2-3b,600160,True,1.333521432163324,0.04156922558428673,61.0,,False
T2-3b,600160,True,1.7782794100389228,0.04156922558428673,61.0,,False
T2-3b,600160,True,2.371373705661655,0.04156922558428673,61.0,,False
T2-3b,600160,True,3.1622776601683795,0.04156922558428673,61.0,,False
T2-3b,600160,True,4.216965034285822,0.04156922558428673,61.0,,False
T2-3b,600161,True,0.0031622776601683794,0.11229965140305391,500.0,,False
T2-3b,600161,True,0.004216965034285823,0.11229965140305391,500.0,,False
T2-3b,600161,True,0.005623413251903491,0.11229965140305391,500.0,,False
T2-3b,600161,True,0.007498942093324558,0.11229965140305391,500.0,,False
T2-3b,600161,True,0.01,0.11229965140305391,500.0,,False
T2-3b,600161,True,0.01333521432163324,0.11229965140305391,500.0,,False
T2-3b,600161,True,0.01778279410038923,0.11229965140305391,500.0,,False
T2-3b,600161,True,0.023713737056616554,0.11229965140305391,500.0,,False
T2-3b,600161,True,0.03162277660168379,0.11229965140305391,500.0,,False
T2-3b,600161,True,0.042169650342858224,0.11229965140305391,500.0,,False
T2-3b,600161,True,0.05623413251903491,0.11229965140305391,500.0,96.0,True
T2-3b,600161,True,0.07498942093324558,0.11229965140305391,500.0,226.0,True
T2-3b,600161,True,0.1,0.11229965140305391,500.0,436.0,True
T2-3b,600161,True,0.1333521432163324,0.11229965140305391,500.0,,False
T2-3b,600161,True,0.1778279410038923,0.11229965140305391,500.0,,False
T2-3b,600161,True,0.23713737056616552,0.11229965140305391,500.0,,False
T2-3b,600161,True,0.31622776601683794,0.11229965140305391,500.0,,False
T2-3b,600161,True,0.4216965034285822,0.11229965140305391,500.0,,False
T2-3b,600161,True,0.5623413251903491,0.11229965140305391,500.0,,False
T2-3b,600161,True,0.7498942093324559,0.11229965140305391,500.0,,False
T2-3b,600161,True,1.0,0.11229965140305391,500.0,,False
T2-3b,600161,True,1.333521432163324,0.11229965140305391,500.0,,False
T2-3b,600161,True,1.7782794100389228,0.11229965140305391,500.0,,False
T2-3b,600161,True,2.371373705661655,0.11229965140305391,500.0,,False
T2-3b,600161,True,3.1622776601683795,0.11229965140305391,500.0,,False
T2-3b,600161,True,4.216965034285822,0.11229965140305391,500.0,,False
