seed,s_own_lo,s_own_hi,s_own,note,scan
600000,0.35226946514731017,0.3651741272548377,0.3586637624484769,ok,"[[0.1, ""unplaced""], [0.1333521432163324, ""unplaced""], [0.1778279410038923, ""unplaced""], [0.23713737056616552, ""unplaced""], [0.31622776601683794, ""unplaced""], [0.4216965034285822, ""placed""], [0.3651741272548377, ""placed""], [0.33982083289425596, ""unplaced""], [0.35226946514731017, ""unplaced""]]"
600001,0.4216965034285822,0.43714448126110894,0.42935102100834815,ok,"[[0.1, ""unplaced""], [0.1333521432163324, ""unplaced""], [0.1778279410038923, ""unplaced""], [0.23713737056616552, ""unplaced""], [0.31622776601683794, ""unplaced""], [0.4216965034285822, ""unplaced""], [0.5623413251903491, ""placed""], [0.4869675251658631, ""placed""], [0.4531583637600818, ""placed""], [0.43714448126110894, ""placed""]]"
600002,0.33982083289425596,0.35226946514731017,0.34598916608699326,ok,"[[0.1, ""unplaced""], [0.1333521432163324, ""unplaced""], [0.1778279410038923, ""unplaced""], [0.23713737056616552, ""unplaced""], [0.31622776601683794, ""unplaced""], [0.4216965034285822, ""placed""], [0.3651741272548377, ""placed""], [0.33982083289425596, ""unplaced""], [0.35226946514731017, ""placed""]]"
600003,0.378551524925863,0.3924189758484536,0.3854228868623107,ok,"[[0.1, ""unplaced""], [0.1333521432163324, ""unplaced""], [0.1778279410038923, ""unplaced""], [0.23713737056616552, ""unplaced""], [0.31622776601683794, ""unplaced""], [0.4216965034285822, ""placed""], [0.3651741272548377, ""unplaced""], [0.3924189758484536, ""placed""], [0.378551524925863, ""unplaced""]]"
600004,0.5048065716667471,0.5232991146814947,0.5139696800771514,ok,"[[0.1, ""unplaced""], [0.1333521432163324, ""unplaced""], [0.1778279410038923, ""unplaced""], [0.23713737056616552, ""unplaced""], [0.31622776601683794, ""unplaced""], [0.4216965034285822, ""unplaced""], [0.5623413251903491, ""placed""], [0.4869675251658631, ""unplaced""], [0.5232991146814947, ""placed""], [0.5048065716667471, ""unplaced""]]"
600005,0.4869675251658631,0.5048065716667471,0.4958068241684656,ok,"[[0.1, ""unplaced""], [0.1333521432163324, ""unplaced""], [0.1778279410038923, ""unplaced""], [0.23713737056616552, ""unplaced""], [0.31622776601683794, ""unplaced""], [0.4216965034285822, ""unplaced""], [0.5623413251903491, ""placed""], [0.4869675251658631, ""unplaced""], [0.5232991146814947, ""placed""], [0.5048065716667471, ""placed""]]"
600006,0.4531583637600818,0.46975888167064916,0.4613839682733214,ok,"[[0.1, ""unplaced""], [0.1333521432163324, ""unplaced""], [0.1778279410038923, ""unplaced""], [0.23713737056616552, ""unplaced""], [0.31622776601683794, ""unplaced""], [0.4216965034285822, ""unplaced""], [0.5623413251903491, ""placed""], [0.4869675251658631, ""placed""], [0.4531583637600818, ""unplaced""], [0.46975888167064916, ""placed""]]"
600007,0.4531583637600818,0.46975888167064916,0.4613839682733214,ok,"[[0.1, ""unplaced""], [0.1333521432163324, ""unplaced""], [0.1778279410038923, ""unplaced""], [0.23713737056616552, ""unplaced""], [0.31622776601683794, ""unplaced""], [0.4216965034285822, ""unplaced""], [0.5623413251903491, ""placed""], [0.4869675251658631, ""placed""], [0.4531583637600818, ""unplaced""], [0.46975888167064916, ""placed""]]"
600008,0.5623413251903491,0.5829415347136074,0.5725487884358379,ok,"[[0.1, ""unplaced""], [0.1333521432163324, ""unplaced""], [0.1778279410038923, ""unplaced""], [0.23713737056616552, ""unplaced""], [0.31622776601683794, ""unplaced""], [0.4216965034285822, ""unplaced""], [0.5623413251903491, ""unplaced""], [0.7498942093324559, ""placed""], [0.6493816315762113, ""placed""], [0.6042963902381329, ""placed""], [0.5829415347136074, ""placed""]]"
600009,0.4216965034285822,0.43714448126110894,0.42935102100834815,ok,"[[0.1, ""unplaced""], [0.1333521432163324, ""unplaced""], [0.1778279410038923, ""unplaced""], [0.23713737056616552, ""unplaced""], [0.31622776601683794, ""unplaced""], [0.4216965034285822, ""unplaced""], [0.5623413251903491, ""placed""], [0.4869675251658631, ""placed""], [0.4531583637600818, ""placed""], [0.43714448126110894, ""placed""]]"
